review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,1,B017,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The statement describes an all-or-nothing failure judgment after a specific plan deviation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,2,B006,4,4,4,4,4,4,4,low,low,moderate,pass,"The hypothetical fatigue condition and confidence judgment target one feasible eating step.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,3,B008,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Returning at the next meal is concrete but can also reflect plan resumption behavior.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,4,B040,4,4,3,4,3,4,4,moderate,low,moderate,pass,"Deliberating before eating is an observable inverse indicator of automaticity but also reflects self-monitoring.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,5,B035,4,4,4,4,4,4,4,low,low,moderate,pass,"The busy-day condition and use of a preselected simple meal option form one specific behavior.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,6,B037,4,4,4,4,4,4,3,low,low,moderate,pass,"The hypothetical deviation and next-meal recovery are clearly tied to confidence.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,7,B033,4,2,4,4,3,2,4,low,low,low,revise,"The phrase Тодорхой газар болоход is awkward because a place does not literally occur.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,8,B018,4,4,4,4,4,4,3,low,moderate,moderate,pass,"Eating more than the initially intended amount is direct and behaviorally specific.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,9,B003,4,4,3,4,4,4,3,moderate,moderate,moderate,pass,"Tolerating an unpleasant feeling instead of eating is clear but also captures general emotion regulation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,10,B015,3,4,3,4,4,4,4,moderate,low,low,pass,"Perceived similarity among questions is clear although it is narrower than overall semantic consistency.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,11,B005,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Redirecting attention after seeing food is concrete but also reflects attentional control.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
