persona_code,age_band,gender,setting,education_reading_comfort,work_pattern,caregiving_load,digital_literacy,prior_weight_loss_attempt,schedule_pressure,cost_pressure,movement_context,emotional_eating_tendency,body_image_concern,prior_strict_diet_experience,adversarial_lens,synthetic_review_only
P01,18–24,woman,Ulaanbaatar,secondary_low_comfort,student_part_time,none,high,none,moderate,high,public_transport_mixed_walking,low,low,none,literal_reader_no_prior_attempt,true
P02,18–24,man,provincial_center,vocational_medium_comfort,shift_service_work,shared_family_duties,medium,one_informal_attempt,high,moderate,standing_work_low_leisure,external_cue_sensitive,low,brief,irregular_schedule_external_cues,true
P03,18–24,nonbinary_or_self_described,Ulaanbaatar,university_high_comfort,remote_flexible,none,high,repeated_attempts,moderate,low,sedentary_home_work,moderate,high,repeated,strong_body_avoidance_high_education,true
P04,25–34,woman,rural_soum,secondary_medium_comfort,seasonal_self_employment,high_childcare,low,one_attempt,high,high,physically_active_seasonal,low,moderate,none,low_digital_cost_pressure_nonapplicable_apps,true
P05,25–34,man,Ulaanbaatar,university_high_comfort,office_regular,low,high,repeated_attempts,moderate,low,sedentary_commute,high,low,repeated,repeated_strict_diets_emotional_eating,true
P06,25–34,woman,provincial_center,vocational_low_comfort,rotating_night_shift,moderate_eldercare,medium,one_attempt,very_high,moderate,prior_injury_limits_some_movement,moderate,moderate,brief,low_reading_comfort_injury_irregularity,true
P07,25–34,man,rural_soum,secondary_medium_comfort,herding_variable,high_family_duties,low,none,high,moderate,high_daily_movement,low,low,none,many_items_genuinely_not_applicable,true
P08,25–34,woman,Ulaanbaatar,postgraduate_high_comfort,freelance_variable,none,high,repeated_attempts,high,moderate,home_based_low_movement,external_cue_sensitive,high,repeated,construct_boundary_analytical_reader,true
P09,35–44,woman,Ulaanbaatar,vocational_medium_comfort,service_split_shift,high_childcare,medium,repeated_attempts,very_high,high,standing_work_commute,high,moderate,repeated,schedule_cost_and_strict_diet,true
P10,35–44,man,provincial_center,university_high_comfort,public_sector_regular,moderate_caregiving,medium,one_attempt,moderate,low,recreational_movement,none,low,none,no_emotional_eating_social_desirability_check,true
P11,35–44,woman,rural_soum,primary_or_lower_low_comfort,home_and_seasonal_work,very_high_caregiving,low,none,high,high,physically_active_home_tasks,low,moderate,none,literal_low_comfort_opportunity_gaps,true
P12,35–44,man,Ulaanbaatar,secondary_medium_comfort,long_hour_driver,low,medium,repeated_attempts,very_high,moderate,very_sedentary,external_cue_sensitive,low,repeated,automaticity_vs_external_cues,true
P13,45–54,woman,provincial_center,university_high_comfort,teacher_regular_seasonal,high_elder_and_childcare,medium,repeated_attempts,high,moderate,moderate_movement,moderate,high,repeated,body_image_vs_social_context,true
P14,45–54,man,rural_soum,vocational_medium_comfort,manual_variable,moderate_caregiving,low,one_attempt,high,high,prior_injury_variable_movement,low,low,brief,injury_context_and_not_applicable,true
P15,45–54,woman,Ulaanbaatar,secondary_low_comfort,retail_shift,none,medium,repeated_attempts,high,moderate,standing_work,high,high,repeated,shame_and_reverse_wording_stress,true
P16,45–54,man,Ulaanbaatar,postgraduate_high_comfort,executive_long_hours,low,high,one_structured_attempt,very_high,low,sedentary_office,none,moderate,brief,high_education_no_emotional_eating,true
P17,55–64,woman,provincial_center,secondary_medium_comfort,part_time_regular,high_eldercare,low,repeated_attempts,moderate,high,limited_by_joint_pain_context,moderate,high,repeated,sensitive_body_and_movement_context,true
P18,55–64,man,rural_soum,primary_or_lower_low_comfort,seasonal_manual,moderate_family_duties,low,none,high,moderate,high_seasonal_movement,low,low,none,literal_reader_scale_boundaries,true
P19,55–64,woman,Ulaanbaatar,university_high_comfort,regular_office_near_retirement,low,medium,repeated_attempts,moderate,low,moderate_walking,external_cue_sensitive,moderate,repeated,cue_sensitivity_without_loss_of_control,true
P20,55–64,man,provincial_center,vocational_medium_comfort,small_business_variable,high_caregiving,medium,one_attempt,high,high,standing_and_driving_mix,moderate,low,brief,implementation_vs_objective_constraints,true
P21,65+,woman,Ulaanbaatar,secondary_medium_comfort,retired,moderate_grandchild_care,medium,one_attempt,low,moderate,regular_walking,none,moderate,none,body_concern_without_diet_history,true
P22,65+,man,rural_soum,primary_or_lower_low_comfort,retired_seasonal_tasks,low,low,none,low,high,variable_daily_movement,low,low,none,digital_items_not_applicable_low_comfort,true
P23,65+,woman,provincial_center,university_high_comfort,retired_volunteer,high_family_care,medium,repeated_attempts,moderate,low,prior_injury_adapted_movement,high,high,repeated,emotion_body_and_injury_boundary,true
P24,65+,prefer_not_to_say,Ulaanbaatar,vocational_medium_comfort,retired_part_time,none,high,one_attempt,low,low,sedentary_hobby_with_walks,external_cue_sensitive,low,brief,digital_cues_high_literacy_low_schedule_pressure,true
