review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,1,B009,3,3,3,4,4,3,4,low,low,moderate,pass,The item asks about perceived pressure to repeat a prior response and matches the current-questionnaire frame.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,2,B026,4,4,4,4,4,4,4,none,low,low,pass,A single time-pressure scenario is paired directly with a confidence response scale.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,3,B024,3,3,3,4,4,3,3,moderate,moderate,moderate,revise,The wording links an unplanned eating event with failure to resume at the next meal but the negative phrasing adds processing burden.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,4,B036,4,4,4,4,4,4,4,low,low,low,pass,The item describes persistent food-related thoughts after a clearly specified advertising cue.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,5,B004,4,4,4,4,4,4,4,low,low,moderate,pass,The sentence focuses on the observable ability to pause and consider whether to continue eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,6,B031,4,4,4,4,4,4,4,none,low,low,pass,The item directly assesses noticing hunger before it becomes very strong within a defined period.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,7,B039,4,4,4,4,4,4,4,low,low,low,pass,A proximal food-availability cue is clearly linked to confidence in making an eating choice.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,8,B016,3,3,3,4,4,4,4,moderate,low,moderate,revise,The item combines noticing fullness with difficulty deciding whether to stop and therefore spans awareness and behavioral control.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,9,B022,4,4,4,4,4,4,4,low,low,moderate,pass,The social eating context and confidence judgment are explicit and limited to personal choice.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,10,B011,4,4,4,4,4,4,3,low,moderate,moderate,pass,The item clearly captures an all-or-nothing reaction to a small departure from food rules.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,11,B002,3,4,3,4,4,4,3,moderate,moderate,moderate,revise,The sentence clearly links sadness-related eating with temporary relief but includes both behavior and perceived effect.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,12,B013,4,4,4,4,3,4,4,low,low,low,pass,The item expresses delayed awareness after eating begins and fits a general typicality judgment.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,13,B034,3,3,4,4,3,3,4,low,low,low,revise,The sequence cue is observable but the phrase that eating starts by itself may sound unnatural or overly absolute.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,14,B010,4,4,4,4,4,4,4,low,moderate,moderate,pass,The item describes participation despite body-related discomfort without specifying a judged body ideal.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,15,B019,4,4,4,4,4,4,4,low,low,moderate,pass,The item targets advance preparation of a simpler plan for busy days within the stated recall window.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,1,B005,4,4,4,4,4,4,4,low,low,moderate,pass,The item focuses on redirecting attention after seeing food and uses an opportunity-sensitive frequency scale.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,2,B020,4,4,4,4,4,4,4,low,low,low,pass,The item identifies preparation burden as the stated reason for postponing a plan.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,3,B015,3,4,3,4,4,4,4,moderate,low,low,pass,The item clearly asks whether questions felt overly similar during the current questionnaire.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,4,B023,4,4,4,4,3,4,4,low,low,low,pass,The wording directly links a familiar setting to beginning to eat without deliberation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,5,B027,4,4,4,4,4,4,4,low,low,low,pass,The item presents food smell as a single cue preceding a decision to eat.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,6,B037,4,4,4,4,4,4,4,low,low,moderate,pass,The recovery scenario is specific and directly matched to confidence in resuming at the next meal.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,7,B033,3,3,4,4,3,3,4,low,low,low,revise,The location-triggered automatic reach is concrete but the phrase for being at a certain place is grammatically awkward.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,8,B029,4,4,4,4,4,4,3,low,moderate,moderate,pass,The item clearly links concern about appearance with avoidance of activities around other people.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,9,B007,3,4,3,4,4,4,4,moderate,low,moderate,revise,The item contrasts eating with any other soothing method and may capture both affect tolerance and coping repertoire.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,10,B018,4,4,4,4,4,4,3,low,moderate,moderate,pass,The item makes a direct comparison between intended and consumed amount without adding a cause.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,11,B006,4,3,3,4,4,3,4,moderate,low,moderate,revise,The fatigue scenario is clear but the unspecified simple eating step may vary substantially across respondents.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_2,12,B017,4,4,4,4,4,4,3,low,moderate,moderate,pass,The item directly represents dichotomous self-evaluation after not following a plan exactly.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,1,B014,4,4,4,4,4,4,3,low,moderate,moderate,pass,The item describes eating after anger or frustration within a defined two-week period.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,2,B038,4,4,4,4,4,4,4,none,low,low,pass,The item directly assesses noticing comfortable fullness while eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,3,B025,3,3,3,4,3,3,4,moderate,low,low,revise,The item combines selecting a snack without deliberation and not checking desire which are related but distinct processes.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,4,B035,4,4,4,4,4,4,4,low,low,moderate,pass,The item focuses on using a preselected simple meal option when busy.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,5,B028,4,4,4,4,4,4,3,low,moderate,moderate,pass,The wording directly assesses perceived difficulty controlling whether eating stops or continues.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,6,B012,4,4,4,4,4,4,3,low,moderate,moderate,pass,The item links an unplanned eating event with abandoning the plan for the remainder of that day.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,7,B001,4,4,4,4,4,4,4,none,low,low,pass,The item clearly describes delayed hunger recognition marked by pronounced weakness.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,8,B003,3,4,3,4,4,4,4,moderate,low,moderate,revise,The item contrasts eating with tolerating discomfort and may reflect both distress tolerance and eating inhibition.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,9,B008,4,4,4,4,4,4,4,low,low,moderate,pass,The wording captures return to usual eating at the next meal after a deviation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,10,B040,4,4,4,4,3,4,4,low,low,moderate,pass,The item assesses deliberate choice before eating in a recurring context and fits a typicality scale.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,11,B041,3,3,3,4,4,4,4,moderate,low,low,revise,The item combines noticing initial hunger with difficulty deciding whether to begin eating and spans awareness and action selection.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,12,B032,4,4,4,4,4,4,4,low,low,moderate,pass,The fatigue scenario and confidence in partial plan implementation are clearly specified.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,13,B030,4,4,4,4,4,4,4,low,low,moderate,pass,The item clearly describes resuming the plan at the next opportunity after one omission.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,14,B021,4,4,4,4,4,4,4,low,low,moderate,pass,A stressful-day scenario is directly paired with confidence in following an eating plan.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_3,15,B042,4,4,4,4,3,4,4,low,low,low,pass,The item identifies a repeated daily action as the cue for eating without deliberation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,1,B029,4,4,4,4,4,4,4,low,moderate,moderate,pass,Links body concern to avoiding social activities.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,2,B038,4,3,4,4,4,3,4,low,none,low,pass,Identifies noticing comfortable fullness while eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,3,B024,4,3,3,3,4,4,4,moderate,moderate,moderate,revise,Combines an unplanned eating event with later plan continuation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,4,B004,4,4,3,4,4,4,4,moderate,low,moderate,pass,Describes pausing to consider whether to continue eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,5,B010,4,4,3,4,4,4,4,moderate,low,moderate,pass,Describes participation despite discomfort about the body.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,6,B027,4,4,4,4,4,4,4,low,none,moderate,pass,Specifies food smell as the immediate eating cue.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,7,B022,4,4,4,4,4,4,4,low,low,moderate,pass,Uses a specific social eating situation and confidence response.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,8,B003,4,3,3,3,4,4,4,moderate,low,moderate,pass,Contrasts tolerating an unpleasant feeling with eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,9,B018,4,4,4,4,4,4,4,low,moderate,moderate,pass,Compares intended and actual amount eaten.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
