construct_a,construct_b,conceptual_overlap,discriminating_feature,likely_item_cross_loading,report_confusion_risk,validation_test_needed,preliminary_recommendation
emotional_eating,external_cue_reactivity,"Both can increase eating desire without physical hunger.","Emotional eating is affect-contingent; external reactivity is food-cue/thought-contingent.","EE01/EE03 may load with cue items when stress or boredom contexts contain food.","Moderate: both may be reported as triggers.","Correlated-factor CFA/ESEM; latent correlation; event-level trigger discrimination; convergent/discriminant comparators","Keep separate as a hypothesis; do not merge without evidence."
emotional_eating,uncontrolled_eating,"Emotion may initiate episodes that later feel hard to stop.","Emotional eating concerns antecedent affect; uncontrolled eating concerns subjective control after initiation.","EE behavior items with UC01/UC05, especially under stress.","High: report could confuse why eating starts with ability to stop.","ESEM; event-level temporal ordering; incremental validity; diagnostic non-equivalence review","Keep separate; explicitly distinguish antecedent from control."
emotional_eating,restrictive_rebound,"Distress and rigid-rule violation can both precede increased eating.","Emotional eating is affect-regulation; restrictive rebound requires inflexible rules/deviation appraisal.","EE05 with RR04 if rule violation creates distress.","Moderate.","Factor correlations; scenario-based cognitive interviews; longitudinal event analysis","Keep separate; test whether rebound is mediated by affect."
emotional_eating,hunger_satiety_awareness,"Both involve distinguishing affective urge from physical hunger.","EE is affect-linked action/desire; HS is access to internal signals.","HS02 with EE01/EE04.","Moderate: unclear hunger could be described as emotional eating.","CFA/ESEM; hunger-discrimination task or diary; discriminant comparator","Keep separate and avoid causal report language."
emotional_eating,eating_self_efficacy,"Confidence may be lower in emotional situations.","EE measures behavior/desire; SE measures perceived capability.","SE01 with EE01/EE05; inverse wording association expected.","High if low confidence is reported as actual emotional eating.","Multitrait-multimethod model; latent correlation; prospective behavior criterion","Keep separate; report behavior and confidence distinctly."
emotional_eating,habit_automaticity,"Affect can become a recurring cue for automatic eating.","EE requires affect trigger; HA requires low deliberation/repeated context.","EE03/EE05 with HA01/HA03.","Moderate.","Event-level mediation/moderation; ESEM; prospective diary","Keep separate; automaticity is mechanism hypothesis only."
emotional_eating,body_image_avoidance,"Body-related distress can prompt avoidance or eating-related coping.","EE outcome is eating; BI outcome is avoidance of body-salient situations.","EE02/EE05 with BI04/BI06 via general distress.","Moderate; risk of stigmatizing causal story.","Discriminant measures of distress/social anxiety; CFA/ESEM","Keep separate; never infer body distress causes eating."
emotional_eating,implementation_maintenance_friction,"Stress may disrupt plan execution.","EE is eating in affective states; IM is action-plan initiation/repetition/resumption.","EE01 with IM04 during stressful schedule change.","Moderate.","Latent discriminant validity; context-adjusted prospective adherence model","Keep separate; treat stress exposure as context."
external_cue_reactivity,uncontrolled_eating,"Cues may initiate eating that becomes hard to stop.","EC concerns attention/initiation due to cues; UC concerns control/continuation.","EC03 with UC05; EC05 with UC04.","High: cue-triggered eating can be mislabeled loss of control.","ESEM; temporal diary; incremental validity of each factor","Keep separate if antecedent-versus-continuation distinction survives."
external_cue_reactivity,restrictive_rebound,"Restricted foods may become more salient as external cues.","EC does not require rules; RR requires rigid rules and deviation response.","EC01/EC05 with RR02.","Moderate.","Factor model; manipulation/diary evidence; restraint comparator","Keep separate; do not assume restriction created cue reactivity."
external_cue_reactivity,hunger_satiety_awareness,"Both compare external desire with internal hunger/fullness signals.","EC is external attentional pull; HS is perception/use of internal cues.","EC01 hunger qualifier with HS02; EC06 with HS awareness.","High due to shared hunger wording.","Bifactor/ESEM; local-dependence checks; diary validation","Keep separate; reduce shared wording if local dependence is high."
external_cue_reactivity,eating_self_efficacy,"Confidence may be lower when food is visible/available.","EC measures reactivity/behavior; SE measures confidence.","EC03 with SE04 in opposite directions.","High if report treats low confidence as cue response.","MTMM; prospective cue-exposure behavior; discriminant validity","Keep separate; preserve different response scales."
external_cue_reactivity,habit_automaticity,"Recurring external cues can trigger automatic sequences.","EC includes attention/desire; HA includes low deliberation and learned sequence.","EC03/EC04 with HA01/HA04.","Very high.","ESEM; nested factor alternatives; prospective cue-action timing; incremental prediction","Key scientific decision; keep separate until factor and criterion evidence."
external_cue_reactivity,body_image_avoidance,"Both may involve avoidance, but of different stimuli.","EC concerns food attention; BI concerns avoiding body-salient activities.","Low, except general avoidance response style.","Low.","CFA discriminant validity; HTMT as descriptive aid; response-style factor","Keep separate."
external_cue_reactivity,implementation_maintenance_friction,"Cue-rich environments can disrupt plan implementation.","EC is reactivity; IM is plan architecture/repeatability.","EC03 with IM04/IM06.","Moderate.","Context-adjusted prospective adherence; latent discriminant validity","Keep separate; context exposure must not inflate IM score."
uncontrolled_eating,restrictive_rebound,"A rigid-rule deviation may be followed by subjective loss of control.","UC can occur without rules; RR requires rule rigidity and rebound appraisal.","UC04/UC05 with RR04.","Very high.","ESEM; event-level sequence; alternative higher-order/bifactor models","Keep separate as hypothesized sequence; no automatic merge."
uncontrolled_eating,hunger_satiety_awareness,"Difficulty noticing/using fullness may accompany difficulty stopping.","UC is subjective control; HS is signal perception/use.","UC03 with HS04/HS05; UC01 with HS06.","Very high.","Local-dependence review; ESEM; external interoception/behavior criteria","Rewrite shared satiety wording before testing; keep constructs provisionally separate."
uncontrolled_eating,eating_self_efficacy,"Past control difficulty may lower perceived capability.","UC is experienced behavior; SE is confidence about future/situational ability.","UC01/UC05 with SE05.","High.","MTMM; prospective behavior; temporal separation","Keep separate; distinguish experience from expectancy in reports."
uncontrolled_eating,habit_automaticity,"Low-awareness initiation may feel uncontrolled.","UC focuses difficulty stopping/amount; HA focuses automatic initiation/sequence.","UC05 with HA03; UC04 with HA04.","High.","ESEM; item-level temporal facets; prospective observation","Keep separate only if initiation-versus-continuation factors are recoverable."
uncontrolled_eating,body_image_avoidance,"Both can be consequences/correlates of eating-related distress.","Behavioral domains differ: eating control versus body-salient avoidance.","General shame response style could cross-load UC04 and BI items.","Moderate reporting stigma risk.","Method-factor model; distress/social desirability measures; discriminant validity","Keep separate and avoid shared shame language."
uncontrolled_eating,implementation_maintenance_friction,"Uncontrolled episodes may interrupt maintenance; poor fallback may affect resumption.","UC measures eating control; IM measures plan execution architecture.","UC05 with IM04 after disruption.","Moderate.","Prospective adherence model controlling schedule/context; CFA/ESEM","Keep separate; do not report implementation failure as loss of control."
restrictive_rebound,hunger_satiety_awareness,"Rigid rules can override internal signals.","RR requires rule rigidity; HS measures signal clarity/use independent of rules.","RR02 with HS06.","Moderate.","Factor model; diary of rule use and signals; discriminant comparator","Keep separate; relationship is an unvalidated hypothesis."
