review_run_id,role_id,role_name,prompt_variant,model_family,model_variant,item_order_index,item_key,construct,facet,construct_relevance,facet_relevance,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_cultural_appropriateness,safety_ethical_acceptability,adjacent_construct_overlap,double_barreled_risk,leading_wording_risk,social_desirability_risk,shame_moral_judgment_risk,reverse_wording_risk,likely_cross_loading,potential_copyright_similarity,suggested_disposition,observable_rationale,optional_rewrite,synthetic_review_only
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,1,EC01,external_cue_reactivity,visual_cue,4,4,4,4,4,4,4,4,low,none,none,low,none,none,low,none,retain,"Харааны өдөөгчийн дараах идэх хүсэл тодорхой бөгөөд өлсгөлөнгөөс тусгаарласан.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,2,HA02,habit_automaticity,sequence,4,4,2,3,4,3,3,4,moderate,low,none,low,none,none,moderate,none,minor_rewrite,"Ямар өмнөх үйлдэл болон ямар идэх үйлдэл болох нь тодорхойгүй.","Давтагддаг нэг үйлдлийнхээ дараа бодолгүйгээр юм идсэн.",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,3,RR05,restrictive_rebound,tightening,4,4,4,4,4,4,4,3,moderate,none,low,moderate,moderate,none,moderate,none,retain,"Төлөвлөгөөнөөс хазайх antecedent ба дараагийн дүрэм чангалах үйлдлийг шууд холбосон.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,4,UC03,uncontrolled_eating,momentum,4,4,4,3,4,4,4,3,moderate,none,none,moderate,moderate,none,moderate,none,retain,"Цадалтыг анзаарсны дараах үргэлжлүүлэн идэх үйлдэл тодорхой боловч цадалтын дохионы хэрэглээтэй давхцана.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,5,RR04,restrictive_rebound,rebound,4,4,3,3,4,4,4,3,moderate,moderate,low,moderate,moderate,none,moderate,none,minor_rewrite,"Нэг хазайлт ба үлдсэн өдрийн хяналтаа орхихыг холбосон ч хяналтгүй гэдэг нь тодорхой бус.","Нэг удаа төлөвлөснөөс өөр идсэний дараа тэр өдөртөө хоолны төлөвлөгөөгөө дагахаа больсон.",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,6,HS05,hunger_satiety_awareness,satiety_clarity,4,4,4,4,4,4,4,4,low,none,none,low,none,none,low,none,retain,"Цадалтын дохиог ялган таних эргэлзээг нэг утгаар асуусан.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,7,HS06,hunger_satiety_awareness,signal_use,4,3,3,2,4,4,4,4,moderate,high,none,low,none,none,moderate,none,major_rewrite,"Идэхийг эхлэх ба зогсоох гэсэн хоёр өөр шийдвэрийг нэг хариултад нэгтгэсэн.","Биеийн дохио тодорхой байсан ч идэхээ хэзээ зогсоохоо шийдэхэд ашиглаж чадаагүй.",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,8,SE04,eating_self_efficacy,cues,4,4,4,4,4,4,4,4,moderate,none,none,moderate,none,none,moderate,none,retain,"Хоол ойр байх нөхцөл дэх сонголтын итгэлийг confidence хуваарьтай нийцүүлсэн.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,9,IM02,implementation_maintenance_friction,setup_burden,4,4,3,4,4,4,4,4,low,none,low,low,none,none,low,none,minor_rewrite,"Бэлтгэлийн ачаалал ба хойшлолт тодорхой ч ямар төлөвлөгөө болох нь заагаагүй.","Хоолны төлөвлөгөөг хэрэгжүүлэхэд олон бэлтгэл шаардсанаас эхлүүлэхээ хойшлуулсан.",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,10,HS02,hunger_satiety_awareness,hunger_discrimination,4,4,4,4,4,4,4,4,low,none,none,moderate,none,low,low,none,retain,"Идэх хүсэл үүсэх үед биеийн өлсгөлөнг ялгах үйлдлийг шууд хэмжинэ.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,11,EC06,external_cue_reactivity,disengagement,3,4,4,2,4,4,4,4,high,none,none,moderate,none,moderate,high,none,major_rewrite,"Өдөөгчид хариу үзүүлэхээс илүү анхаарлаа удирдах чадварыг асууж байна.","Хоол харсан эсвэл үнэртсэн үед анхаарал минь түүн дээр тогтсоор байсан.",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,12,BI05,body_image_avoidance,movement_participation,4,4,4,4,4,4,4,3,low,none,low,moderate,moderate,none,low,none,retain,"Бусдын анзааралтаас болгоомжилсон antecedent ба хөдөлгөөнөөс зайлсхийх үйлдэл тодорхой.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,13,BI04,body_image_avoidance,social_participation,4,4,4,4,4,4,4,3,low,none,low,moderate,moderate,none,low,none,retain,"Биеийн төрхийн санаа зовнил ба нийгмийн оролцооноос татгалзахыг шууд холбосон.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,14,HA06,habit_automaticity,deliberate_choice,3,4,4,2,4,4,4,4,high,none,none,moderate,none,moderate,high,none,major_rewrite,"Зориуд сонголт хийх нь автомат дадлын эсрэг туйл боловч өөрийгөө зохицуулах чадварт хүчтэй давхцана.","Танил нөхцөлд идэхийн өмнө түр зогсож сонголтоо зориуд хийсэн.",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,15,UC05,uncontrolled_eating,unplanned_continuation,4,4,4,4,4,4,4,3,low,none,none,moderate,moderate,none,low,none,retain,"Анхны бага хэмжээгээр идэх санаа ба дараах үргэлжлэл нэг зан үйлийн дарааллыг илэрхийлнэ.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,16,SE05,eating_self_efficacy,recovery,4,4,4,4,4,4,4,4,moderate,none,none,moderate,low,none,moderate,none,retain,"Хазайлтын дараагийн боломж дахь эргэн үргэлжлэх итгэлийг тодорхой асуусан.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,17,EC05,external_cue_reactivity,preoccupation,4,4,4,4,4,4,4,4,moderate,none,none,low,low,none,moderate,none,retain,"Хоолны бодлын үр дагавар болох анхаарал сарнилтыг ажиглагдахуйц байдлаар асуусан.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,18,EE03,emotional_eating,boredom,4,4,3,3,4,4,4,4,moderate,moderate,low,moderate,none,none,moderate,none,minor_rewrite,"Уйдлыг antecedent болгосон ч хийх зүйл хайхтай хиймэл харьцуулалт оруулсан.","Уйдсан үедээ юм идэж эхэлсэн.",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,19,SE06,eating_self_efficacy,fatigue,2,2,2,2,4,4,3,4,high,none,none,moderate,none,none,high,none,major_rewrite,"Хамгийн жижиг хувилбар юунд хамаарах нь тодорхойгүй бөгөөд хэрэгжилтийн төлөвлөлттэй давхцана.","Ядарсан үедээ ч өөрт тохирох боломжит хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,20,HS01,hunger_satiety_awareness,early_hunger,4,4,4,4,4,4,4,4,low,none,none,moderate,none,low,low,none,retain,"Өлсөлт хүчтэй болохоос өмнөх биеийн дохио анзаарах хугацааг тодорхой барьсан.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,21,SE02,eating_self_efficacy,time_pressure,4,4,4,4,4,4,4,4,moderate,none,none,moderate,none,none,moderate,none,retain,"Цагийн дарамттай нөхцөлд боломжит хоол сонгох итгэлийг шууд асуусан.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,22,EE01,emotional_eating,stress,4,4,4,4,4,4,4,3,moderate,none,none,moderate,moderate,none,moderate,none,retain,"Стресс ба өлсгөлөнгүй үед идсэн зан үйлийн холбоо тодорхой.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,23,AC02,response_quality,semantic_consistency,3,3,3,3,2,3,4,4,low,none,moderate,low,none,none,low,none,hold,"Нэг ижил хариулт шаардлагатай мэт санагдах нь давтамжийн нэгж тодорхой бус тул 0–4 frequency хуваарьтай сул нийцнэ.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,24,UC01,uncontrolled_eating,stopping,4,4,4,4,4,4,4,3,low,none,none,moderate,moderate,none,low,none,retain,"Идэж эхэлсний дараах зогсоох хүндрэлийг нэг зан үйлээр шууд асуусан.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,25,UC06,uncontrolled_eating,pause_capacity,3,4,4,2,4,4,4,3,high,none,none,moderate,moderate,moderate,high,none,major_rewrite,"Түр зогсох стратегийн чадамж нь хяналт алдалтаас гадна ухамсарт сонголттой давхцана.","Идэж байхдаа зогсох эсэхээ бодохын тулд түр завсарласан.",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,26,HA05,habit_automaticity,low_deliberation,4,4,4,4,4,4,4,4,moderate,none,none,moderate,none,none,moderate,none,retain,"Зууш сонгохын өмнөх бодолгүй үйлдлийг тодорхой барьсан.","",true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,27,IM05,implementation_maintenance_friction,resumption,4,4,4,4,4,4,4,4,moderate,none,none,moderate,none,low,moderate,none,retain,"Алгасалтын дараагийн боломж дахь сэргээх зан үйлийг тодорхой хэмжинэ.","",true
