review_run_id,role_id,role_name,prompt_variant,model_family,model_variant,item_order_index,item_key,construct,facet,construct_relevance,facet_relevance,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_cultural_appropriateness,safety_ethical_acceptability,adjacent_construct_overlap,double_barreled_risk,leading_wording_risk,social_desirability_risk,shame_moral_judgment_risk,reverse_wording_risk,likely_cross_loading,potential_copyright_similarity,suggested_disposition,observable_rationale,optional_rewrite,synthetic_review_only
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,1,RR03,restrictive_rebound,dichotomous_evaluation,4,4,4,4,4,4,4,2,low,none,low,moderate,high,none,low,none,minor_rewrite,"“Бүтэлгүй” нь өөрийгөө буруутгах өнгөтэй бөгөөд нийгэмд таалагдах хариулт өгөх дарамт үүсгэж болно.","Төлөвлөгөөгөө яг дагаагүй үед тэр өдрийг бүхэлд нь бүтэлгүй болсон мэт үзсэн.",true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,2,HA03,habit_automaticity,awareness_lag,4,4,4,4,4,4,4,4,low,none,none,low,low,none,low,none,retain,"Идэж эхэлснээ дараа нь анзаарах нэг үйл явдлыг энгийнээр асууж байна.",,true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,3,AC01,response_quality,instructional_check,4,4,4,4,2,4,4,4,none,none,high,moderate,none,none,none,none,hold,"“Заримдаа” гэсэн заавар нь давтамжийн асуулт мэт харагдах мөрөнд шууд хариултыг зааж өгнө.",,true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,4,BI04,body_image_avoidance,social_participation,4,4,4,4,4,4,4,2,low,none,low,high,high,none,moderate,none,minor_rewrite,"Биеийн төрх ба нийгмийн оролцоог холбосон нь эмзэг, өөрийгөө шүүх хариулт үүсгэж болно.","Биеийн төрхдөө санаа зовсноос хүссэн үйл ажиллагаандаа оролцохоос зайлсхийсэн.",true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,5,SE05,eating_self_efficacy,recovery,4,4,4,4,4,3,4,3,low,none,low,moderate,moderate,none,low,none,minor_rewrite,"14 хоногийн доторхи итгэл болон боломж бүрийн зан үйлийг хамт эргэн санахад хэцүү байж болно.","Төлөвлөснөөс өөр идсэний дараа дараагийн боломж дээрээ эргэн үргэлжлүүлж чадна гэдэгтээ хэр итгэлтэй вэ?",true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,6,IM04,implementation_maintenance_friction,disruption,4,4,4,4,4,4,4,4,low,none,low,moderate,moderate,none,low,none,retain,"Хуваарь өөрчлөгдөхөд төлөвлөгөө тасрахыг нэг нөхцөлд тодорхой асууж байна.",,true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,7,BI03,body_image_avoidance,clothing,4,4,4,4,4,4,4,2,low,none,low,high,high,none,moderate,none,minor_rewrite,"Хувцасны сонголтод биеийн төрхийг шалтгаан болгосон нь ичгүүр, нууцлах хариу өдөөж болно.","Биеийн төрхдөө тавгүй санагдсанаас өмсөхийг хүссэн хувцсаа сонгоогүй.",true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,8,RR05,restrictive_rebound,tightening,4,4,4,4,4,4,4,2,low,none,moderate,moderate,high,none,low,none,minor_rewrite,"“Дүрмээ улам чангалсан” нь хатуу хоолны дүрмийг хэвийн мэт ойлгуулж, буруутгал төрүүлж болно.","Төлөвлөгөөнөөс хазайсны дараа маргааш нь хоолны дүрмээ илүү хатуу болгосон.",true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,9,EC01,external_cue_reactivity,visual_cue,4,4,4,4,4,4,4,4,moderate,none,low,moderate,low,none,moderate,none,retain,"Өлсгөлөн ба харааны дохионы дараах хүсэл хоёрыг шууд ялган асууж байна.",,true
ER-R7-B,R7,ethics_safety,plain-language-v2,GPT-5.6,gpt-5.6-terra,10,EC06,external_cue_reactivity,disengagement,4,4,4,4,4,4,4,4,low,none,low,moderate,low,moderate,low,none,retain,"Анхаарлаа буцаах чадварыг энгийнээр асуусан; эерэг хариулт бага зэрэг тааламжтай сонсогдоно.",,true
