review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_order_hash,input_file,output_file,synthetic_review_only,status_label
SP-R1-A,R1,psychometrician,GPT-5.6,gpt-5.6-sol,literal-v2-1,3395a4b92ef2c7277fe72dee23cadfff37965a015e2d7caaae7ba6e7d686a9f6,second-pass-expert-inputs/SP-R1-A.json,second-pass-expert-outputs/SP-R1-A.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,fd04cdecfe50a312bfa661acf080d40663162713b8ea707e26a546b50449d475,second-pass-expert-inputs/SP-R1-B.json,second-pass-expert-outputs/SP-R1-B.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,424796ff7b8b5b3bf1be332d0871a24a93dfcfe704f008c2ef7a016495c3b50c,second-pass-expert-inputs/SP-R2-A.json,second-pass-expert-outputs/SP-R2-A.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,7afff5100b6406d79ab0ee4d8f4d5565f106ae3d73ea87b34d2566512ee3834c,second-pass-expert-inputs/SP-R2-B.json,second-pass-expert-outputs/SP-R2-B.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R3-A,R3,behavioral_science,GPT-5.6,gpt-5.6-sol,literal-v2-1,c2a02159d66fd90af4f87d74da08907c2fba512875512fcde5b75e1cbd9fe555,second-pass-expert-inputs/SP-R3-A.json,second-pass-expert-outputs/SP-R3-A.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,1599584b7a7ba5e3f19fd1508ddfaf26daae97a7f7b7f13a55c5b50e3354a5ee,second-pass-expert-inputs/SP-R3-B.json,second-pass-expert-outputs/SP-R3-B.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-A,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-terra,literal-v2-1,b2dcaec1850b51207165b31839624fa8eaebc578c0481371f03fa1a026efef24,second-pass-expert-inputs/SP-R4-A.json,second-pass-expert-outputs/SP-R4-A.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,dcd5b4cb5548a17f8303f0413dc96cb8e77cfb0af3f06da545c25fc991790a18,second-pass-expert-inputs/SP-R4-B.json,second-pass-expert-outputs/SP-R4-B.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-A,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-sol,literal-v2-1,180014da878ba351f5e63c828232facf99a951837025ca0dce0dd48abdc5c1da,second-pass-expert-inputs/SP-R5-A.json,second-pass-expert-outputs/SP-R5-A.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,1fed4ddd6026f891e2429cb383f94b02fd820be84e6eafd7c5bbda04b1e2b012,second-pass-expert-inputs/SP-R5-B.json,second-pass-expert-outputs/SP-R5-B.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,51cf429782e3b1b53f067721932349cf105ac6a9fa934cfa2022c08c6d7f143f,second-pass-expert-inputs/SP-R6-A.json,second-pass-expert-outputs/SP-R6-A.csv,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
