review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,1,B028,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,"Names difficulty controlling whether to stop or continue while eating.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,2,B030,4,4,4,4,4,4,4,low,low,moderate,pass,"States resuming the plan after one missed instance.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,3,B002,4,4,3,4,4,4,4,moderate,moderate,moderate,pass,"Links sadness eating with a short-lived calming feeling.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,4,B025,4,4,4,4,4,4,4,moderate,low,low,pass,"Describes choosing a snack without considering desire to eat.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,5,B032,4,3,4,4,4,4,4,low,low,moderate,revise,"Asks confidence about partly implementing a plan when tired; partial implementation is broad.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,6,B014,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,"Specifies eating after anger or frustration.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,7,B007,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Describes using an alternative soothing action during unpleasant feelings.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,8,B039,4,4,4,4,4,4,4,moderate,low,moderate,pass,"Asks confidence in choosing whether to eat when food is nearby.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,9,B022,4,4,3,4,4,4,4,moderate,low,high,pass,"Asks confidence in making one's own choice while eating with others.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,10,B012,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,"Captures abandoning the day's plan after eating differently than planned.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R3-B,R3,behavioral_science,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,11,B033,4,4,4,4,4,4,4,moderate,low,low,pass,"Identifies a place cue followed by reaching for food without deliberation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
