persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
SPR-SP01,SP01,1,B013,Идэж байгаагаа хэсэг хугацааны дараа л мэдсэн.,Хичээлийн завсарлагаар утсаа үзэж байхдаа зууш идэж эхэлснээ дараа нь анзаарна.,true,Бага зэрэг тохирно,true,хэсэг хугацааны дараа,false,false,false,false,4,Утсаа үзэх үед анзааралгүй идэж эхлэх нь хааяа тохиолдож болох тул бага зэрэг тохирно гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,2,B016,Цадсан ч идэхээ болих эсэхээ шийдэхэд хэцүү байсан.,Кафед хоол идсэний дараа цадсан ч үлдсэнийг нь идэх үү гэж эргэлзэнэ.,true,Ховор,true,хэцүү,false,false,false,false,3,Цадсан үедээ идэхээ зогсоох тухай эргэлзэх нь ховор гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,3,B033,Тодорхой газар очихоороо бодолгүй идэх зүйл авсан.,Дэлгүүрийн кассын дэргэд очоод чихэр рүү шууд гараа сунгана.,true,Бага зэрэг тохирно,true,тодорхой газар,false,false,false,false,4,Кассын дэргэдэх зуушийг шууд авах нь хааяа байж болох тул бага зэрэг тохирно гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,4,B009,Өмнөх хариулттай адил сонголт хийх ёстой юм шиг санагдсан.,Ойролцоо асуултуудад дараалан хариулахдаа өмнөх сонголтоо давтах хэрэгтэй мэт бодогдоно.,true,Бага зэрэг санал нийлнэ,true,адил сонголт хийх ёстой,false,false,false,false,3,Асуултууд ойролцоо санагдахад өмнөх сонголтоо давтах ёстой мэт бага зэрэг санагдаж болно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,5,B018,Бодсоноосоо илүү идсэн.,Найзуудтайгаа хооллоод анх төлөвлөснөөсөө илүү порц иднэ.,true,Ховор,true,эхэндээ иднэ гэж бодсоноосоо,false,false,false,false,4,Найзуудтайгаа хооллох үед илүү идэх нь ховор гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,6,B036,Хоолны сурталчилгаа үзсэний дараа хоолны тухай бодсоор байсан.,Сошиалаар хоолны бичлэг үзсэний дараа дараа нь юу идэхээ бодно.,true,Заримдаа,true,бодол үргэлжилсэн,false,false,false,false,4,Сошиалын хоолны сурталчилгаа харсны дараа хоол бодогдох нь заримдаа тохиолдоно гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,7,B030,Нэг удаа төлөвлөгөөгөө алгассан ч дараа нь дахин үргэлжлүүлсэн.,Хоолны тодорхой төлөвлөгөө алгасаад дараагийн хоолондоо буцаад дагана.,true,Ийм нөхцөл тохиолдоогүй,true,төлөвлөгөөгөө,false,false,false,false,5,Өмнө нь хоолны төлөвлөгөө барьж байгаагүй тул ийм нөхцөл тохиолдоогүй гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,8,B032,Ядарсан үедээ хоолны төлөвлөгөөнийхөө зарим хэсгийг хийж чадна гэдэгтээ хэр итгэлтэй вэ?,Ядарсан орой хоолны төлөвлөгөөний дагуу ядаж нэг сонголтыг хийх эсэхээ төсөөлнө.,true,Ийм нөхцөл тохиолдоогүй,true,хэсэгчлэн хэрэгжүүлэх,false,false,false,false,5,Хоолны төлөвлөгөө барьж байгаагүй тул энэ нөхцөл тохиолдоогүй гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,9,B001,Маш их сульдсаны дараа л өлссөнөө мэдсэн.,Хичээл ба ажилтай өдөр удаан юм идээгүйгээ дараа нь бие сулрахаар анзаарна.,true,Ховор,true,маш их сульдсаны,false,false,false,false,4,Завгүй өдөр хоол алгасах нь ховор тул ховор гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,10,B017,Төлөвлөгөөгөө дагаагүй өдрөө бүтэлгүйтсэн гэж бодсон.,Хоолны төлөвлөгөөнөөс өөр зүйл идсэн өдрөө өөрийгөө бүтэлгүйтсэн гэж үзнэ.,true,Ийм нөхцөл тохиолдоогүй,true,бүтэлгүйтсэн,false,true,false,false,5,Өмнө нь хоолны төлөвлөгөө барьж байгаагүй тул ийм нөхцөл тохиолдоогүй гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP01,SP01,11,B024,Төлөвлөснөөс өөр идсэний дараа дараагийн хоолондоо төлөвлөгөөгөө үргэлжлүүлээгүй.,Нэг хоолонд төлөвлөгөөнөөс өөр идсэний дараа дараагийн хоолондоо төлөвлөгөөгөө дагахгүй орхино.,true,Ийм нөхцөл тохиолдоогүй,true,төлөвлөснөөс өөр идсэн,false,false,false,false,5,Өмнө нь хоолны төлөвлөгөө барьж байгаагүй тул ийм нөхцөл тохиолдоогүй гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
