item_key,source_item_key,construct,facet,version,item_text,behavioral_context,recall_period,response_scale_id,response_options,wording_polarity,scoring_direction,reverse_coded,sensitive,status,revision_type,synthetic_issue_addressed,adjacent_overlap,rationale,requires_human_review,production_ready,status_label,pilot_role,second_pass_gate,adjudication_rationale
EE01-V21,EE01,emotional_eating,stress,2.1,Сүүлийн 14 хоногт стресстсэн үедээ өлсөөгүй байсан ч юм идсэн.,Стресстэй мөч,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,true,pilot_scored_candidate,unchanged,Whether stress needs a specified threshold,expert_moderate_or_high=15/24;synthesis=moderate,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,not_required_unchanged,Unchanged candidate retained for human review; first-panel retain proposal is not validity evidence.
EE02-V21,EE02,emotional_eating,sadness,2.1,Гунигтай үед хоол идэхээр хэсэг зуур тайвширсан мэт санагдсан.,Гунигтай мөч,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,true,pilot_scored_candidate,minor_rewrite,Temporary relief can be read as outcome rather than eating motive; social-desirability cue; judgment/shame cue; construct overlap,expert_moderate_or_high=23/24;synthesis=moderate,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,pass,All four paraphrases retained sadness-linked eating and temporary relief; scale and recall fit all four personas; overlap fell from 23/24 to 8/16.
EE03-V21,EE03,emotional_eating,boredom,2.1,Уйдсан үедээ хийх зүйл хайхын оронд юм идэж эхэлсэн.,Уйдсан мөч,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,false,pilot_scored_candidate,unchanged,Whether behavioral substitution is part of the facet,expert_moderate_or_high=22/24;synthesis=moderate,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,not_required_unchanged,Unchanged candidate retained for human review; first-panel retain proposal is not validity evidence.
EE04-V21,EE04,emotional_eating,loneliness,2.1,Ганцаардсан мэдрэмж төрөхөд идэх хүсэл нэмэгдсэн.,Ганцаардсан мөч,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,true,pilot_scored_candidate,unchanged,Whether loneliness wording needs contextual anchoring,expert_moderate_or_high=11/24;synthesis=low,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,not_required_unchanged,Unchanged candidate retained for human review; first-panel retain proposal is not validity evidence.
EE05-V21,EE05,emotional_eating,frustration,2.1,Уурласан эсвэл бухимдсаны дараа юм идсэн.,Уур бухимдал,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,true,pilot_scored_candidate,minor_rewrite,Хоол руу хандсан can mean desire or eating; social-desirability cue; judgment/shame cue; construct overlap,expert_moderate_or_high=20/24;synthesis=moderate,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,pass,All four paraphrases retained eating after anger or frustration; scale and recall fit all four personas; overlap fell from 20/24 to 7/16.
EE06-V21-A,EE06,emotional_eating,affect_tolerance,2.1,Таагүй мэдрэмж төрөхөд хоол идэхээс өөр аргаар өөрийгөө тайвшруулсан.,Таагүй мэдрэмж,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,favorable_capability,higher_capability,false,true,pilot_scored_candidate,major_rewrite_alternative,Таагүй мэдрэмж and successful coping are broad; social-desirability cue; judgment/shame cue; construct overlap; reverse wording,expert_moderate_or_high=24/24;synthesis=high;emotional_eating_vs_self_efficacy,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,pass,All four paraphrases retained non-eating self-soothing during unpleasant affect and all persona scale and recall judgments were usable.
EC01-V21,EC01,external_cue_reactivity,visual_cue,2.1,Өлсөөгүй байсан ч хоол хараад идэх хүсэл төрсөн.,Хоол харагдах,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,false,pilot_scored_candidate,unchanged,Whether visual cue response should distinguish desire from eating,expert_moderate_or_high=17/24;synthesis=moderate,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,not_required_unchanged,Unchanged candidate retained for human review; first-panel retain proposal is not validity evidence.
EC02-V21,EC02,external_cue_reactivity,smell_cue,2.1,Хоолны үнэрээс болж идэхээр шийдсэн.,Хоолны үнэр,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,false,pilot_scored_candidate,minor_rewrite,Нөлөөлсөн is a broad causal link; construct overlap,expert_moderate_or_high=15/24;synthesis=moderate,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,pass,All four paraphrases retained a smell-triggered eating decision; scale and recall fit all four personas; overlap fell from 15/24 to 7/16.
EC03-V21,EC03,external_cue_reactivity,availability,2.1,Идэх зүйл ойрхон бэлэн байснаас төлөвлөөгүй үедээ идсэн.,Ойр бэлэн хоол,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,false,pilot_scored_candidate,unchanged,Whether unplanned eating is sufficiently defined,expert_moderate_or_high=20/24;synthesis=moderate,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,not_required_unchanged,Unchanged candidate retained for human review; first-panel retain proposal is not validity evidence.
EC04-V21,EC04,external_cue_reactivity,digital_cue,2.1,Хоолны сурталчилгаа харсны дараа хоолны тухай бодол үргэлжилсэн.,Апп ба сурталчилгаа,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,false,pilot_scored_candidate,minor_rewrite,App use and advertising are separate triggers; construct overlap,expert_moderate_or_high=17/24;synthesis=moderate,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,pass,All four paraphrases retained continued food thoughts after advertising and all persona scale and recall judgments were usable.
EC05-V21,EC05,external_cue_reactivity,preoccupation,2.1,Хоолны тухай бодол хийж байсан зүйлээс минь анхаарал сарниулсан.,Өдөр тутмын ажил,Сүүлийн 14 хоног,frequency_14d_opportunity_0_4_na,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж | Ийм нөхцөл тохиолдоогүй,barrier_or_difficulty,higher_barrier,false,true,pilot_scored_candidate,unchanged,Whether the intended facet is attention disruption or food preoccupation,expert_moderate_or_high=23/24;synthesis=high,Wording and response mode are candidates for blinded AI pretesting; construct preservation remains a human and empirical decision.,true,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS,scored_core_candidate,not_required_unchanged,Unchanged candidate retained for human review; first-panel retain proposal is not validity evidence.
