persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
SPR-SP09,SP09,1,B025,Зууш сонгохдоо үнэхээр өлсөж эсвэл идэх хүсэлтэй байгаа эсэхээ шалгалгүй сонгосон.,Ажлын завсарлагаар лангуун дээрх зуушнаас шууд авсан.,true,Ихэнхдээ тохирно,true,false,false,false,false,false,4,Завсарлага богино бөгөөд бэлэн зууш ойрхон байх үед шууд сонгох нь энэ хүний хэвшилтэй нийцнэ.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,2,B027,Хоолны үнэр үнэртэхээр идэхээр шийдсэн.,Ажлаасаа харих замд шинэхэн боовны үнэр үнэртээд авч идсэн.,true,Олон удаа,true,false,false,false,false,false,4,Өдөр тутмын явж өнгөрдөг газар хоолны үнэр таарах үед идэх шийдвэр олонтаа гарч болно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,3,B029,Биеийн төрхдөө санаа зовсноос болж бусадтай хамт хийх үйл ажиллагаанд оролцоогүй.,Найзуудын хамтын дасгал эсвэл арга хэмжээнд очихоос татгалзсан.,true,Заримдаа,true,false,false,false,false,false,3,Хүмүүсийн дунд байх зарим үйл ажиллагаанаас зайлсхийх тохиолдол гарч болох ч бүх нөхцөлд биш.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,4,B033,Тодорхой газарт очихоороо бодолгүйгээр идэх зүйл авсан.,Ажлын ойролцоох дэлгүүрт ороод кассын дэргэдэх амттанаас авсан.,true,Ихэнхдээ тохирно,true,Тодорхой газар,false,false,false,false,3,Ажил болон зорчих замын тогтмол газруудад идэх зүйл рүү шууд гараа сунгах нь тохирно; аль газар гэдэг нь тодорхойгүй байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,5,B002,Гунигтай үед хоол идэхэд түр тайвширсан мэт санагдсан.,Орой хүүхдээ унтуулсны дараа гунигтай санагдахад амттан идсэн.,true,Олон удаа,true,false,false,false,false,false,4,Таагүй сэтгэл хөдлөл болон ачаалалтай өдрийн дараа хоол идэх нь түр тайвшрахтай олонтаа холбоотой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,6,B007,Таагүй мэдрэмж төрөхөд хоол идэхийн оронд өөр аргаар өөрийгөө тайвшруулсан.,Стресстэй үед богино алхах эсвэл хүнтэй ярилцахаар оролдсон.,true,Ховор,true,false,false,false,true,false,3,Өөр аргаар тайвшрах боломж заримдаа гардаг боловч цагийн дарамттай үед тэр бүр хийхэд хүндрэлтэй.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,7,B039,Идэх зүйл ойрхон байхад идэх эсэхээ өөрөө сонгож чадна гэдэгтээ хэр итгэлтэй вэ?,Ажлын ширээн дээр амттан байхад идэхгүй байхаар шийдэх.,true,Бага зэрэг итгэлтэй,true,false,false,false,true,false,4,Идэх зүйл ойрхон байх нь шийдвэрт нөлөөлдөг тул ийм үед өөрийгөө удирдах итгэл бага зэрэг байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,8,B037,Төлөвлөснөөс өөр идсэний дараа дараагийн хоолондоо төлөвлөгөөндөө буцаж орж чадна гэдэгтээ хэр итгэлтэй вэ?,Төлөвлөөгүй амттан идсэний дараа оройн хоолоо төлөвлөснөөрөө идэх.,true,Дунд зэрэг итгэлтэй,true,false,false,false,true,false,4,Нэг удаагийн өөрчлөлтийн дараа дараагийн хоолондоо буцах боломж бий гэж дунд зэрэг итгэнэ.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,9,B016,Цадсанаа мэдсэн ч идэхээ зогсоох эсэхээ шийдэхэд хэцүү байсан.,Оройн хоолны дараа цадсан ч үлдсэн хоолоо үргэлжлүүлэн идсэн.,true,Олон удаа,true,false,false,false,false,false,4,Цадах дохиог анзаарсан ч идэхээ зогсоох шийдвэр хэцүү болох нь энэ хүний хариулттай нийцнэ.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,10,B024,Төлөвлөснөөс өөр идсэний дараа дараагийн хоолондоо төлөвлөгөөгөө үргэлжлүүлээгүй.,Өдрийн завсарлагаар төлөвлөөгүй хоол идсэний дараа оройн хоолны төлөвлөгөөгөө орхисон.,true,Заримдаа,true,false,false,false,false,false,4,Төлөвлөөгүй идсэний дараа дараагийн хоолны төлөвлөгөө алдагдах нь заримдаа тохиолдоно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,11,B004,Идэж байхдаа үргэлжлүүлэх эсэхээ бодохын тулд түр зогсож чадсан.,Хоол идэж байхдаа цадсан эсэхээ шалгахаар хэсэг завсарласан.,true,Ховор,true,false,false,false,true,false,3,Идэхээ үргэлжлүүлэхээсээ өмнө түр зогсож бодох нь хааяа боломжтой боловч ихэнхдээ биш.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
