persona_run_id,persona_code,model_family,model_variant,prompt_variant,item_order_hash,input_file,output_file,synthetic_review_only
PR-P01,P01,GPT-5.6,gpt-5.6-terra,literal-comprehension-v2,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,persona-run-inputs/P01.json,persona-run-outputs/P01.csv,true
PR-P02,P02,GPT-5.6,gpt-5.6-sol,context-retrieval-v2,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,persona-run-inputs/P02.json,persona-run-outputs/P02.csv,true
PR-P03,P03,GPT-5.6,gpt-5.6-terra,response-selection-v2,d114c57ff2edc48f15e35a2777ba5167777aa471435809cd78d20247c8a3d367,persona-run-inputs/P03.json,persona-run-outputs/P03.csv,true
PR-P04,P04,GPT-5.6,gpt-5.6-sol,literal-comprehension-v2,36f7953cfa9142ce2797ca0710000c423d073ccf3064b42ae498a04e996fb7d0,persona-run-inputs/P04.json,persona-run-outputs/P04.csv,true
PR-P05,P05,GPT-5.6,gpt-5.6-terra,context-retrieval-v2,28e9812ecff73b301f7a6c32a65167eff73795351339e4f3227f4577a5b9cdce,persona-run-inputs/P05.json,persona-run-outputs/P05.csv,true
PR-P06,P06,GPT-5.6,gpt-5.6-sol,response-selection-v2,e192f2ba34857493e00c58384552cbe530f2a17ad8930156efaaacf2275b7c51,persona-run-inputs/P06.json,persona-run-outputs/P06.csv,true
PR-P07,P07,GPT-5.6,gpt-5.6-terra,literal-comprehension-v2,a03496a6cfe3817070332a4b55c31e68122e64b892d9d8dd0bb3c99ee90ee37c,persona-run-inputs/P07.json,persona-run-outputs/P07.csv,true
PR-P08,P08,GPT-5.6,gpt-5.6-sol,context-retrieval-v2,011e45f1af9a84dc07ab1758df19e8f91c0b708427474e22841f18160261cd16,persona-run-inputs/P08.json,persona-run-outputs/P08.csv,true
PR-P09,P09,GPT-5.6,gpt-5.6-terra,response-selection-v2,6f0485418a455fd1fb12f762bce11a855a1719d65b038b2f164f2604b962d47e,persona-run-inputs/P09.json,persona-run-outputs/P09.csv,true
PR-P10,P10,GPT-5.6,gpt-5.6-sol,literal-comprehension-v2,9d54a43eef7b913909b43323a4ed57de14b68e690fb17cce813417495f367d14,persona-run-inputs/P10.json,persona-run-outputs/P10.csv,true
PR-P11,P11,GPT-5.6,gpt-5.6-terra,context-retrieval-v2,f934484af633f28056869c19ae173062cc39f9becf81fb3bb165d240ca801d0c,persona-run-inputs/P11.json,persona-run-outputs/P11.csv,true
PR-P12,P12,GPT-5.6,gpt-5.6-sol,response-selection-v2,5275c8a34626ec28c3e39a57a8f83dc85d70569c465e7f00baa84ce47c803b1f,persona-run-inputs/P12.json,persona-run-outputs/P12.csv,true
PR-P13,P13,GPT-5.6,gpt-5.6-terra,literal-comprehension-v2,f592e688093fa40acb772114f29054d4a1ee1beed28e9b5e407a32746e591037,persona-run-inputs/P13.json,persona-run-outputs/P13.csv,true
PR-P14,P14,GPT-5.6,gpt-5.6-sol,context-retrieval-v2,761dac83752550fa8be1911319ae0dac15e835aef51e30dc80516d72b1986e11,persona-run-inputs/P14.json,persona-run-outputs/P14.csv,true
PR-P15,P15,GPT-5.6,gpt-5.6-terra,response-selection-v2,06db07b03c6e52d07c6fa5566972756314852577e65f114bfb8bc33a593c6ee3,persona-run-inputs/P15.json,persona-run-outputs/P15.csv,true
PR-P16,P16,GPT-5.6,gpt-5.6-sol,literal-comprehension-v2,ccd27f1d477ac344f93a63d090bbf32aeb8f13d31d87346f1cd72a00e74bd549,persona-run-inputs/P16.json,persona-run-outputs/P16.csv,true
PR-P17,P17,GPT-5.6,gpt-5.6-terra,context-retrieval-v2,ab02f84b85fce9bbbfc13a2035633a451ca491a9ba54b85615bb2a0d1a66711f,persona-run-inputs/P17.json,persona-run-outputs/P17.csv,true
PR-P18,P18,GPT-5.6,gpt-5.6-sol,response-selection-v2,ac33a70369b8628bb60d3e6601809a522e4116ef76cb8ba2fd1374553995928f,persona-run-inputs/P18.json,persona-run-outputs/P18.csv,true
PR-P19,P19,GPT-5.6,gpt-5.6-terra,literal-comprehension-v2,a5bcd7a0c40631b55f7913d87ea62f011d7758c1c0bad8a9a2d7e239170793b4,persona-run-inputs/P19.json,persona-run-outputs/P19.csv,true
PR-P20,P20,GPT-5.6,gpt-5.6-sol,context-retrieval-v2,39047dce1eb0822d6334416e17335cd70c657decfd9635fdea9c6ab37a749b48,persona-run-inputs/P20.json,persona-run-outputs/P20.csv,true
PR-P21,P21,GPT-5.6,gpt-5.6-terra,response-selection-v2,7e4a6e4fdcc655eb53fd15d23457c8a5a3b5fa9d742c03c55f985ab7c9d64977,persona-run-inputs/P21.json,persona-run-outputs/P21.csv,true
PR-P22,P22,GPT-5.6,gpt-5.6-sol,literal-comprehension-v2,5b65d264dda6423fb2de68d8b98dac85619a9a227d3a2d32757fab06766c8ef5,persona-run-inputs/P22.json,persona-run-outputs/P22.csv,true
PR-P23,P23,GPT-5.6,gpt-5.6-terra,context-retrieval-v2,48ff6286f94f9df33f468b8a2367c277fd8d0bd8bda4d74a00ba9660e4455645,persona-run-inputs/P23.json,persona-run-outputs/P23.csv,true
PR-P24,P24,GPT-5.6,gpt-5.6-sol,response-selection-v2,72692f6542acb0be2689afa8d7ac9599d379cb15c803475c0eba9c83019b5013,persona-run-inputs/P24.json,persona-run-outputs/P24.csv,true
