review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,1,B017,4,4,4,4,4,4,4,low,moderate,moderate,pass,"The statement presents one judgment in plain wording; the 14-day frequency options fit, while “failed” may feel evaluative.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,2,B028,4,4,4,4,4,4,4,low,low,moderate,pass,"The item asks about one perceived control difficulty during eating, and its event frequency can be recalled over 14 days.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,3,B003,4,4,4,4,4,4,4,moderate,low,moderate,pass,"The behavior and trigger are explicit, and the opportunity option covers respondents without unpleasant-feeling eating situations.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,4,B021,3,3,3,4,4,4,4,moderate,low,moderate,revise,"“Stressful day” and “meal plan” are broad, so respondents may imagine different situations and different standards for following the plan.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,5,B033,3,3,4,3,2,3,4,low,low,low,revise,"“A certain place” is unspecified, and a general typicality judgment is harder to form than a judgment about a defined recurring setting.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,6,B015,4,4,4,4,4,4,4,low,low,low,pass,"The wording refers directly to the current questionnaire and asks for one perceived similarity judgment matched by the agreement scale.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,7,B024,3,3,4,4,4,4,4,moderate,moderate,moderate,revise,"The sentence requires tracking an initial deviation and a later meal, while “the plan” may differ across respondents.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,8,B006,3,3,4,4,4,4,4,moderate,low,low,revise,"The fatigue condition is clear, but “one simple step” is respondent-defined and may produce noncomparable confidence judgments.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,9,B005,4,4,4,4,4,4,4,moderate,low,low,pass,"The visual food cue and attention-return behavior are concrete, and the 14-day opportunity-based scale maps to occurrences.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,10,B037,3,3,4,4,4,4,4,moderate,low,moderate,revise,"The recovery sequence is understandable, but “return” leaves the intended plan or behavior implicit and respondent-defined.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,11,B039,4,4,4,4,4,4,4,moderate,low,moderate,pass,"The nearby-food condition and confidence judgment are explicit; the item does not prescribe which eating choice is correct.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,12,B034,3,3,4,3,2,3,4,low,low,low,revise,"“One thing done regularly” does not identify the routine, making the general typicality judgment dependent on which sequence is recalled.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,13,B031,4,4,4,4,4,4,4,low,low,low,pass,"The item describes noticing early hunger as one observable internal event, with a defined 14-day recall period and suitable frequency options.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,14,B011,4,4,4,4,4,4,4,low,moderate,moderate,pass,"The minor rule deviation and all-or-nothing reaction are clearly linked; “failed” language introduces some evaluative tone.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,15,B019,3,3,3,4,4,4,4,moderate,low,moderate,revise,"The item combines defining a simple version with preparing it in advance, so one frequency response may cover two different actions.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,1,B036,4,4,4,4,4,4,4,moderate,low,low,pass,"The advertisement cue and persistence of food thoughts are explicit, and the opportunity response covers those not exposed to such cues.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,2,B025,3,3,4,3,2,3,4,low,low,low,revise,"The snack context is recognizable, but “without thinking whether I wanted to eat” is cumbersome and general typicality lacks a defined reference window.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,3,B018,4,4,4,4,4,4,4,moderate,low,moderate,pass,"The comparison with the initially intended amount is concise and maps directly to event frequency over 14 days.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R6-B,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,4,B014,4,4,4,4,4,4,4,moderate,low,moderate,pass,"The emotional trigger and eating behavior are stated in one short sentence, and the 14-day opportunity scale is suitable.",true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
