"persona_code","block_order","item_key","paraphrase_mn","example_situation_mn","recall_period_usable","selected_response","response_options_fit","ambiguous_word_or_phrase","asks_more_than_one_thing","judgmental_or_shaming","socially_desirable_answer_obvious","missing_not_applicable_option","response_confidence_1_5","observable_decision_summary","synthetic_review_only"
"P20","1","AC02","Өнгөрсөн хоёр долоо хоногт бүх асуултад адилхан хариулах ёстой юм шиг санагдсан эсэх.","Асуулга бөглөхдөө өмнөх хариултаа дагаж сонгох хэрэгтэй мэт нэг удаа бодсон.","true","Ховор","true","нэг ижил хариулт сонгох шаардлагатай мэт","false","false","false","false","4","Хугацааг санахад боломжтой, давтамжийн сонголт асуултад таарч байна.","true"
"P20","2","UC02","Идэхээр бодсон хэмжээнээсээ илүү идсэн эсэх.","Ажил ихтэй өдөр оройн хоолон дээр төлөвлөснөөсөө ахиу порц идсэн.","true","Заримдаа","true","","false","false","true","false","5","Төлөвлөсөн ба бодитоор идсэн хэмжээг харьцуулж заримдаа гэж сонгов.","true"
"P20","3","BI03","Биеийн харагдах байдлаасаа болоод хүссэн хувцсаа өмсөөгүй эсэх.","Дэлгүүр орохдоо таалагдсан цамцаа биеийн төрхөөс бус үнээс нь болж аваагүй.","true","Огт байгаагүй","true","","false","false","true","false","4","Хувцас сонгосон шалтгаанаа ялгаж болох тул огт байгаагүй гэж хариулав.","true"
"P20","4","RR05","Төлөвлөгөөгөө зөрчсөний маргааш дүрмээ илүү хатуу болгосон эсэх.","Хоолны төлөвлөгөөнөөс нэг орой хазайгаад маргааш нь порцоо эрс багасгасан.","true","Ховор","true","дүрмээ улам чангалсан","true","false","true","true","4","Хазайлт ба маргаашийн чангалалтыг хамтад нь санах шаардлагатай, төлөвлөгөөгүй хүнд тохирохгүй.","true"
"P20","5","EE02","Гунигтай үед хоол идэхээр хэсэг зуур тайвширсан мэт болсон эсэх.","Гэр бүлийн асуудалд санаа зовсон орой цайтай юм идээд түр тайвширсан.","true","Заримдаа","true","түр тайвшруулна","false","false","true","false","4","Сүүлийн хоёр долоо хоногийн гунигтай үе ба идсэний дараах мэдрэмжийг санаж сонгов.","true"
"P20","6","EC05","Хоол бодогдоод хийж байсан ажлаасаа анхаарал сарнисан эсэх.","Машин жолоодож явахдаа хоолны тухай бодоод замын ажлаа түр орхигдуулсан.","true","Ховор","true","","false","false","true","false","4","Анхаарал сарнисан тодорхой тохиолдлыг тоолж ховор гэж сонгож болно.","true"
"P20","7","HS02","Идмээр санагдах үедээ үнэхээр өлссөн үү гэдгээ ялгаж мэдсэн эсэх.","Орой амттан идмээр болоход өлсөөгүй, зүгээр ядарснаа таньсан.","true","Олон удаа","true","ялгаж чадсан","false","false","true","false","4","Идэх хүсэл төрсөн үе бүрт өлсгөлөнгөө таньсан давтамжаар хариулав.","true"
"P20","8","BI06","Биеэсээ санаа зовсон ч хүссэн ажил, арга хэмжээндээ оролцсон эсэх.","Биеийнхээ талаар тавгүй мэдрэмж төрөөгүй тул оролцоогоо энэ шалтгаанаар үнэлж чадсангүй.","true","not_applicable","false","хүссэн үйл ажиллагаа","true","false","true","true","3","Тавгүй байсан гэсэн нөхцөл тохиолдоогүй тул давтамжийн хариулт утга хоёрдмол болно.","true"
"P20","9","HA06","Дахин давтагддаг үед хоол идэхээсээ өмнө сонголтоо санаатай хийсэн эсэх.","Замд гарахын өмнө авдаг хоолоо яаралгүй харж байгаад сонгосон.","true","Заримдаа","true","давтагддаг нөхцөл","false","false","true","false","3","Ямар нөхцөлийг давтагддаг гэж үзэх нь тодорхойгүй ч жишээгээр давтамж сонгов.","true"
"P20","10","SE03","Бусадтай хооллохдоо өөрийн идэх зүйлээ тайван сонгож чадна гэдэгтээ хэр итгэлтэй байсан эсэх.","Хамаатнуудтай хооллоход санал болгосон бүхнийг авахгүйгээр порцоо өөрөө сонгосон.","true","Дунд зэрэг итгэлтэй","true","тайван хийж чадна","false","false","true","false","4","Хамт хооллосон хэдэн тохиолдолд өөрийн сонголтоо хийсэн ч үргэлж амар байгаагүй.","true"
"P20","11","EC06","Хоол харах эсвэл үнэрлэхэд татагдсан ч анхаарлаа буцаан өөр зүйлд төвлөрүүлсэн эсэх.","Дэлгүүрт нарийн боов үнэртэхэд харсан ч худалдан авалтын жагсаалтдаа буцаж анхаарсан.","true","Олон удаа","true","өөр зүйлд","false","false","true","false","4","Харах ба үнэрлэх өдөөлтийн аль алинд нэг давтамж сонгох боломжтой.","true"
"P20","12","UC05","Жаахан идэхээр эхэлсэн боловч зогсолгүй цааш идсэн эсэх.","Зочинд амттанг нэг ширхэг иднэ гэж аваад дахин хэдийг идсэн.","true","Заримдаа","true","үргэлжлүүлээд идсэн","false","false","true","false","5","Эхний зорилго ба дараа идсэн хэмжээг санаж заримдаа гэж сонгов.","true"
"P20","13","IM06","Нэг өдөр хийсэн зүйлээ дараагийн өдрүүдэд дахин хийхэд хэцүү байсан эсэх.","Нэг өдөр ажлын дараа алхсан ч дараагийн өдрүүдэд ажил, асаргаанаас болж давтаж чадаагүй.","true","Олон удаа","true","хийж чадсан зүйл","false","false","true","false","3","Ямар үйлдлийг хэлж буй нь өргөн боловч давтаж чадаагүй тохиолдол олон байсан.","true"
"P20","14","SE06","Ядарсан ч хийж болох хамгийн бага хувилбарыг сонгоно гэдэгтээ хэр итгэлтэй байсан эсэх.","Ядарсан орой бүтэн алхахын оронд арван минут алхаж чадна гэж бодсон.","true","Дунд зэрэг итгэлтэй","true","хамгийн жижиг хувилбар","false","false","true","false","4","Жижиг хувилбарын утга тодорхойгүй ч өөрийн жишээгээр дунд зэрэг итгэлтэй гэж сонгов.","true"
