review_round,reviewer_id,item_key,construct,facet,rating_dimension,rating_value,reviewer_comment,suggested_rewrite,conflict_flag
,,EE01,emotional_eating,stress,relevance,,,,
,,EE01,emotional_eating,stress,comprehensibility,,,,
,,EE01,emotional_eating,stress,cultural_appropriateness,,,,
,,EE01,emotional_eating,stress,response_recall_fit,,,,
,,EE01,emotional_eating,stress,safety_ethical_acceptability,,,,
,,EE01,emotional_eating,stress,copyright_originality_concern,,,,
,,EE02,emotional_eating,sadness,relevance,,,,
,,EE02,emotional_eating,sadness,comprehensibility,,,,
,,EE02,emotional_eating,sadness,cultural_appropriateness,,,,
,,EE02,emotional_eating,sadness,response_recall_fit,,,,
,,EE02,emotional_eating,sadness,safety_ethical_acceptability,,,,
,,EE02,emotional_eating,sadness,copyright_originality_concern,,,,
,,EE03,emotional_eating,boredom,relevance,,,,
,,EE03,emotional_eating,boredom,comprehensibility,,,,
,,EE03,emotional_eating,boredom,cultural_appropriateness,,,,
,,EE03,emotional_eating,boredom,response_recall_fit,,,,
,,EE03,emotional_eating,boredom,safety_ethical_acceptability,,,,
,,EE03,emotional_eating,boredom,copyright_originality_concern,,,,
,,EE04,emotional_eating,loneliness,relevance,,,,
,,EE04,emotional_eating,loneliness,comprehensibility,,,,
,,EE04,emotional_eating,loneliness,cultural_appropriateness,,,,
,,EE04,emotional_eating,loneliness,response_recall_fit,,,,
,,EE04,emotional_eating,loneliness,safety_ethical_acceptability,,,,
,,EE04,emotional_eating,loneliness,copyright_originality_concern,,,,
,,EE05,emotional_eating,frustration,relevance,,,,
,,EE05,emotional_eating,frustration,comprehensibility,,,,
,,EE05,emotional_eating,frustration,cultural_appropriateness,,,,
,,EE05,emotional_eating,frustration,response_recall_fit,,,,
,,EE05,emotional_eating,frustration,safety_ethical_acceptability,,,,
,,EE05,emotional_eating,frustration,copyright_originality_concern,,,,
,,EE06,emotional_eating,affect_tolerance,relevance,,,,
,,EE06,emotional_eating,affect_tolerance,comprehensibility,,,,
,,EE06,emotional_eating,affect_tolerance,cultural_appropriateness,,,,
,,EE06,emotional_eating,affect_tolerance,response_recall_fit,,,,
,,EE06,emotional_eating,affect_tolerance,safety_ethical_acceptability,,,,
,,EE06,emotional_eating,affect_tolerance,copyright_originality_concern,,,,
,,EC01,external_cue_reactivity,visual_cue,relevance,,,,
,,EC01,external_cue_reactivity,visual_cue,comprehensibility,,,,
,,EC01,external_cue_reactivity,visual_cue,cultural_appropriateness,,,,
,,EC01,external_cue_reactivity,visual_cue,response_recall_fit,,,,
,,EC01,external_cue_reactivity,visual_cue,safety_ethical_acceptability,,,,
,,EC01,external_cue_reactivity,visual_cue,copyright_originality_concern,,,,
,,EC02,external_cue_reactivity,smell_cue,relevance,,,,
,,EC02,external_cue_reactivity,smell_cue,comprehensibility,,,,
,,EC02,external_cue_reactivity,smell_cue,cultural_appropriateness,,,,
,,EC02,external_cue_reactivity,smell_cue,response_recall_fit,,,,
,,EC02,external_cue_reactivity,smell_cue,safety_ethical_acceptability,,,,
,,EC02,external_cue_reactivity,smell_cue,copyright_originality_concern,,,,
,,EC03,external_cue_reactivity,availability,relevance,,,,
,,EC03,external_cue_reactivity,availability,comprehensibility,,,,
,,EC03,external_cue_reactivity,availability,cultural_appropriateness,,,,
,,EC03,external_cue_reactivity,availability,response_recall_fit,,,,
,,EC03,external_cue_reactivity,availability,safety_ethical_acceptability,,,,
,,EC03,external_cue_reactivity,availability,copyright_originality_concern,,,,
,,EC04,external_cue_reactivity,digital_cue,relevance,,,,
,,EC04,external_cue_reactivity,digital_cue,comprehensibility,,,,
,,EC04,external_cue_reactivity,digital_cue,cultural_appropriateness,,,,
,,EC04,external_cue_reactivity,digital_cue,response_recall_fit,,,,
,,EC04,external_cue_reactivity,digital_cue,safety_ethical_acceptability,,,,
,,EC04,external_cue_reactivity,digital_cue,copyright_originality_concern,,,,
,,EC05,external_cue_reactivity,preoccupation,relevance,,,,
,,EC05,external_cue_reactivity,preoccupation,comprehensibility,,,,
,,EC05,external_cue_reactivity,preoccupation,cultural_appropriateness,,,,
,,EC05,external_cue_reactivity,preoccupation,response_recall_fit,,,,
,,EC05,external_cue_reactivity,preoccupation,safety_ethical_acceptability,,,,
,,EC05,external_cue_reactivity,preoccupation,copyright_originality_concern,,,,
,,EC06,external_cue_reactivity,disengagement,relevance,,,,
,,EC06,external_cue_reactivity,disengagement,comprehensibility,,,,
,,EC06,external_cue_reactivity,disengagement,cultural_appropriateness,,,,
,,EC06,external_cue_reactivity,disengagement,response_recall_fit,,,,
,,EC06,external_cue_reactivity,disengagement,safety_ethical_acceptability,,,,
,,EC06,external_cue_reactivity,disengagement,copyright_originality_concern,,,,
,,UC01,uncontrolled_eating,stopping,relevance,,,,
,,UC01,uncontrolled_eating,stopping,comprehensibility,,,,
,,UC01,uncontrolled_eating,stopping,cultural_appropriateness,,,,
,,UC01,uncontrolled_eating,stopping,response_recall_fit,,,,
,,UC01,uncontrolled_eating,stopping,safety_ethical_acceptability,,,,
,,UC01,uncontrolled_eating,stopping,copyright_originality_concern,,,,
,,UC02,uncontrolled_eating,intended_amount,relevance,,,,
,,UC02,uncontrolled_eating,intended_amount,comprehensibility,,,,
,,UC02,uncontrolled_eating,intended_amount,cultural_appropriateness,,,,
,,UC02,uncontrolled_eating,intended_amount,response_recall_fit,,,,
,,UC02,uncontrolled_eating,intended_amount,safety_ethical_acceptability,,,,
,,UC02,uncontrolled_eating,intended_amount,copyright_originality_concern,,,,
,,UC03,uncontrolled_eating,momentum,relevance,,,,
,,UC03,uncontrolled_eating,momentum,comprehensibility,,,,
,,UC03,uncontrolled_eating,momentum,cultural_appropriateness,,,,
,,UC03,uncontrolled_eating,momentum,response_recall_fit,,,,
,,UC03,uncontrolled_eating,momentum,safety_ethical_acceptability,,,,
,,UC03,uncontrolled_eating,momentum,copyright_originality_concern,,,,
,,UC04,uncontrolled_eating,subjective_control,relevance,,,,
,,UC04,uncontrolled_eating,subjective_control,comprehensibility,,,,
,,UC04,uncontrolled_eating,subjective_control,cultural_appropriateness,,,,
,,UC04,uncontrolled_eating,subjective_control,response_recall_fit,,,,
,,UC04,uncontrolled_eating,subjective_control,safety_ethical_acceptability,,,,
,,UC04,uncontrolled_eating,subjective_control,copyright_originality_concern,,,,
,,UC05,uncontrolled_eating,unplanned_continuation,relevance,,,,
,,UC05,uncontrolled_eating,unplanned_continuation,comprehensibility,,,,
,,UC05,uncontrolled_eating,unplanned_continuation,cultural_appropriateness,,,,
,,UC05,uncontrolled_eating,unplanned_continuation,response_recall_fit,,,,
,,UC05,uncontrolled_eating,unplanned_continuation,safety_ethical_acceptability,,,,
,,UC05,uncontrolled_eating,unplanned_continuation,copyright_originality_concern,,,,
,,UC06,uncontrolled_eating,pause_capacity,relevance,,,,
,,UC06,uncontrolled_eating,pause_capacity,comprehensibility,,,,
,,UC06,uncontrolled_eating,pause_capacity,cultural_appropriateness,,,,
,,UC06,uncontrolled_eating,pause_capacity,response_recall_fit,,,,
,,UC06,uncontrolled_eating,pause_capacity,safety_ethical_acceptability,,,,
,,UC06,uncontrolled_eating,pause_capacity,copyright_originality_concern,,,,
,,RR01,restrictive_rebound,rigid_rules,relevance,,,,
,,RR01,restrictive_rebound,rigid_rules,comprehensibility,,,,
,,RR01,restrictive_rebound,rigid_rules,cultural_appropriateness,,,,
,,RR01,restrictive_rebound,rigid_rules,response_recall_fit,,,,
,,RR01,restrictive_rebound,rigid_rules,safety_ethical_acceptability,,,,
,,RR01,restrictive_rebound,rigid_rules,copyright_originality_concern,,,,
,,RR02,restrictive_rebound,prohibition,relevance,,,,
,,RR02,restrictive_rebound,prohibition,comprehensibility,,,,
,,RR02,restrictive_rebound,prohibition,cultural_appropriateness,,,,
,,RR02,restrictive_rebound,prohibition,response_recall_fit,,,,
,,RR02,restrictive_rebound,prohibition,safety_ethical_acceptability,,,,
,,RR02,restrictive_rebound,prohibition,copyright_originality_concern,,,,
,,RR03,restrictive_rebound,dichotomous_evaluation,relevance,,,,
,,RR03,restrictive_rebound,dichotomous_evaluation,comprehensibility,,,,
,,RR03,restrictive_rebound,dichotomous_evaluation,cultural_appropriateness,,,,
,,RR03,restrictive_rebound,dichotomous_evaluation,response_recall_fit,,,,
,,RR03,restrictive_rebound,dichotomous_evaluation,safety_ethical_acceptability,,,,
,,RR03,restrictive_rebound,dichotomous_evaluation,copyright_originality_concern,,,,
,,RR04,restrictive_rebound,rebound,relevance,,,,
,,RR04,restrictive_rebound,rebound,comprehensibility,,,,
,,RR04,restrictive_rebound,rebound,cultural_appropriateness,,,,
,,RR04,restrictive_rebound,rebound,response_recall_fit,,,,
,,RR04,restrictive_rebound,rebound,safety_ethical_acceptability,,,,
,,RR04,restrictive_rebound,rebound,copyright_originality_concern,,,,
,,RR05,restrictive_rebound,tightening,relevance,,,,
,,RR05,restrictive_rebound,tightening,comprehensibility,,,,
,,RR05,restrictive_rebound,tightening,cultural_appropriateness,,,,
,,RR05,restrictive_rebound,tightening,response_recall_fit,,,,
,,RR05,restrictive_rebound,tightening,safety_ethical_acceptability,,,,
,,RR05,restrictive_rebound,tightening,copyright_originality_concern,,,,
,,RR06,restrictive_rebound,flexible_return,relevance,,,,
,,RR06,restrictive_rebound,flexible_return,comprehensibility,,,,
,,RR06,restrictive_rebound,flexible_return,cultural_appropriateness,,,,
,,RR06,restrictive_rebound,flexible_return,response_recall_fit,,,,
,,RR06,restrictive_rebound,flexible_return,safety_ethical_acceptability,,,,
,,RR06,restrictive_rebound,flexible_return,copyright_originality_concern,,,,
,,HS01,hunger_satiety_awareness,early_hunger,relevance,,,,
,,HS01,hunger_satiety_awareness,early_hunger,comprehensibility,,,,
,,HS01,hunger_satiety_awareness,early_hunger,cultural_appropriateness,,,,
,,HS01,hunger_satiety_awareness,early_hunger,response_recall_fit,,,,
,,HS01,hunger_satiety_awareness,early_hunger,safety_ethical_acceptability,,,,
,,HS01,hunger_satiety_awareness,early_hunger,copyright_originality_concern,,,,
,,HS02,hunger_satiety_awareness,hunger_discrimination,relevance,,,,
,,HS02,hunger_satiety_awareness,hunger_discrimination,comprehensibility,,,,
,,HS02,hunger_satiety_awareness,hunger_discrimination,cultural_appropriateness,,,,
,,HS02,hunger_satiety_awareness,hunger_discrimination,response_recall_fit,,,,
,,HS02,hunger_satiety_awareness,hunger_discrimination,safety_ethical_acceptability,,,,
,,HS02,hunger_satiety_awareness,hunger_discrimination,copyright_originality_concern,,,,
,,HS03,hunger_satiety_awareness,late_hunger,relevance,,,,
,,HS03,hunger_satiety_awareness,late_hunger,comprehensibility,,,,
,,HS03,hunger_satiety_awareness,late_hunger,cultural_appropriateness,,,,
,,HS03,hunger_satiety_awareness,late_hunger,response_recall_fit,,,,
,,HS03,hunger_satiety_awareness,late_hunger,safety_ethical_acceptability,,,,
,,HS03,hunger_satiety_awareness,late_hunger,copyright_originality_concern,,,,
,,HS04,hunger_satiety_awareness,comfortable_fullness,relevance,,,,
,,HS04,hunger_satiety_awareness,comfortable_fullness,comprehensibility,,,,
,,HS04,hunger_satiety_awareness,comfortable_fullness,cultural_appropriateness,,,,
,,HS04,hunger_satiety_awareness,comfortable_fullness,response_recall_fit,,,,
,,HS04,hunger_satiety_awareness,comfortable_fullness,safety_ethical_acceptability,,,,
,,HS04,hunger_satiety_awareness,comfortable_fullness,copyright_originality_concern,,,,
,,HS05,hunger_satiety_awareness,satiety_clarity,relevance,,,,
,,HS05,hunger_satiety_awareness,satiety_clarity,comprehensibility,,,,
,,HS05,hunger_satiety_awareness,satiety_clarity,cultural_appropriateness,,,,
,,HS05,hunger_satiety_awareness,satiety_clarity,response_recall_fit,,,,
,,HS05,hunger_satiety_awareness,satiety_clarity,safety_ethical_acceptability,,,,
,,HS05,hunger_satiety_awareness,satiety_clarity,copyright_originality_concern,,,,
,,HS06,hunger_satiety_awareness,signal_use,relevance,,,,
,,HS06,hunger_satiety_awareness,signal_use,comprehensibility,,,,
,,HS06,hunger_satiety_awareness,signal_use,cultural_appropriateness,,,,
,,HS06,hunger_satiety_awareness,signal_use,response_recall_fit,,,,
,,HS06,hunger_satiety_awareness,signal_use,safety_ethical_acceptability,,,,
,,HS06,hunger_satiety_awareness,signal_use,copyright_originality_concern,,,,
,,SE01,eating_self_efficacy,stress,relevance,,,,
,,SE01,eating_self_efficacy,stress,comprehensibility,,,,
,,SE01,eating_self_efficacy,stress,cultural_appropriateness,,,,
,,SE01,eating_self_efficacy,stress,response_recall_fit,,,,
,,SE01,eating_self_efficacy,stress,safety_ethical_acceptability,,,,
,,SE01,eating_self_efficacy,stress,copyright_originality_concern,,,,
,,SE02,eating_self_efficacy,time_pressure,relevance,,,,
,,SE02,eating_self_efficacy,time_pressure,comprehensibility,,,,
,,SE02,eating_self_efficacy,time_pressure,cultural_appropriateness,,,,
,,SE02,eating_self_efficacy,time_pressure,response_recall_fit,,,,
