persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
SPR-SP12,SP12,1,B022,Бусадтай хооллохдоо юу идэхээ өөрөө сонгож чадна гэдэгтээ хэр итгэлтэй вэ?,Ажлын хүмүүс нэг газар хооллоход бусдын захиалгыг дагалгүй өөрт тохирох хоол сонгох.,true,Дунд зэрэг итгэлтэй,true,,false,false,true,false,4,Хамт хооллох нөхцөл ойлгомжтой бөгөөд дунд түвшний итгэлийг сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,2,B041,Өлсөж байгаагаа мэдсэн ч идэх үү үгүй юу гэдгээ шийдэхэд хэцүү байсан.,Жолоо барьж явахдаа өлссөнөө мэдсэн ч зогсож хооллох эсэхээ удаан шийдэх.,true,Заримдаа,true,,false,false,false,false,4,14 хоногийн хугацаа тодорхой бөгөөд ийм шийдвэр заримдаа хэцүү байсан гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,3,B018,Анх идэхээр бодсон хэмжээнээсээ хэтрүүлж идсэн.,Орой оройтож хооллоод төлөвлөсөн нэг порцоосоо нэмж идэх.,true,Олон удаа,true,,false,false,false,false,5,Нэг үйлдлийг асуусан бөгөөд 14 хоногт олон удаа тохиолдсон гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,4,B007,Тавгүй үедээ хоол идэлгүй өөр аргаар тайвширсан.,Хүнд өдрийн дараа юм идэхийн оронд хэсэг алхах эсвэл хөгжим сонсох.,true,Ховор,true,Таагүй мэдрэмж,false,false,true,false,3,Үйлдэл нь ойлгомжтой ч таагүй мэдрэмж гэдэг нь олон янзаар ойлгогдож болох бөгөөд ховор гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,5,B017,Төлөвлөгөөгөө бүрэн мөрдөөгүй өдрөө би бүтэлгүйтлээ гэж бодсон.,Төлөвлөөгүй хоол идсэний дараа тэр өдрийг бүхэлд нь алдсан гэж үзэх.,true,Олон удаа,true,яг дагаагүй,false,true,true,false,4,Яг дагаагүй гэдэг босго тодорхойгүй бөгөөд бүтэлгүйтсэн гэх үг шүүмжлэлтэй сонсогдсон; олон удаа гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,6,B005,Хоол хараад анхаарал татагдсан ч өөр зүйлдээ дахин төвлөрч чадсан.,Дэлгүүрийн лангуун дээрх зуушийг хараад авахгүйгээр замдаа анхаарах.,true,Ховор,true,,false,false,true,false,4,Нэг тодорхой үйлдлийг асуусан бөгөөд ийм зүйл ховор тохиолдсон гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,7,B025,Зууш сонгохдоо үнэхээр идмээр байгаа эсэхээ бодоогүй.,Шатахуун авахдаа кассны дэргэдэх зуушийг бодолгүй сагсанд хийх.,true,Ихэнхдээ тохирно,true,,false,false,false,false,5,Ерөнхий давтагддаг зан үйлийг ойлгоход хялбар байсан бөгөөд ихэнхдээ тохирно гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,8,B019,Завгүй үедээ дагахад амар хооллолтын хувилбарыг өмнө нь бэлдсэн.,Урт ээлжийн өмнө авч явах энгийн хоолоо савлаж бэлдэх.,true,Ховор,true,энгийн хувилбар,false,false,true,false,4,Энгийн хувилбарын утга бага зэрэг нээлттэй боловч үйлдлийг ялгаж болох бөгөөд ховор гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,9,B001,Маш их сульдсан хойноо л өлссөнөө мэдсэн.,Удаан жолоодсоны дараа бие сулрах үед сая хоол идээгүйгээ анзаарах.,true,Олон удаа,true,маш их сульдсаны дараа,false,false,false,false,4,Маш их сульдах босго хүн бүрт өөр байж болох ч 14 хоногт олон удаа гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,10,B013,Хооллож эхэлснээ нэлээд хойно анзаарсан.,Машинд сууж байхдаа зуушнаас хэд хэдийг идчихээд байгаагаа дараа нь мэдэх.,true,Ихэнхдээ тохирно,true,хэсэг хугацааны дараа,false,false,false,false,5,Хэсэг хугацаа гэдэг нь тодорхойгүй ч давтагддаг үйлдэлд ихэнхдээ тохирно гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,11,B021,Стресс ихтэй өдөр ч хоолны төлөвлөгөөгөө баримталж чадна гэдэгтээ хэр итгэлтэй вэ?,Замын түгжрэлтэй урт өдрийн дараа урьдчилсан хоолны сонголтоо дагах.,true,Бага зэрэг итгэлтэй,true,стресстэй өдөр,false,false,true,false,4,Стресстэй өдрийн хэмжээ тодорхойгүй ч нөхцөлийг төсөөлж бага зэрэг итгэлтэй гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
