item_key,original_text,proposed_text,change_type,issue_addressed,construct_preserved,response_scale_change,recall_period_change,adjudicator_agreement,requires_human_review,production_ready
EE02,Сэтгэл гунигтай үед хоол идэх нь түр тайвшруулна гэж мэдэрсэн.,Гунигтай үед хоол идэхээр хэсэг зуур тайвширсан мэт санагдсан.,minor_rewrite,Temporary relief can be read as outcome rather than eating motive; social-desirability cue; judgment/shame cue; construct overlap,requires_human_confirmation,none_proposed,none_proposed,3/4_same_disposition,true,false
EE05,Уурлаж эсвэл бухимдсаны дараа хоол руу хандсан.,Уурласан эсвэл бухимдсаны дараа юм идсэн.,minor_rewrite,Хоол руу хандсан can mean desire or eating; social-desirability cue; judgment/shame cue; construct overlap,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
EE06,Таагүй мэдрэмжээ хоол идэлгүй өнгөрөөж чадсан.,Таагүй мэдрэмж төрөхөд хоолоор тайвшрахгүй өнгөрөөж чадсан.,major_rewrite,Таагүй мэдрэмж and successful coping are broad; social-desirability cue; judgment/shame cue; construct overlap; reverse wording,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
EC02,Хоолны үнэр анхаарлыг минь татаж идэхээр шийдэхэд нөлөөлсөн.,Хоолны үнэрээс болж идэхээр шийдсэн.,minor_rewrite,Нөлөөлсөн is a broad causal link; construct overlap,requires_human_confirmation,none_proposed,none_proposed,3/4_same_disposition,true,false
EC04,Хоолны апп эсвэл сурталчилгаа харсны дараа хоол бодогдсоор байсан.,Хоолны сурталчилгаа харсны дараа хоолны тухай бодол үргэлжилсэн.,minor_rewrite,App use and advertising are separate triggers; construct overlap,requires_human_confirmation,none_proposed,none_proposed,3/4_same_disposition,true,false
EC06,Хоол харсан эсвэл үнэртсэн ч анхаарлаа өөр зүйлд буцааж чадсан.,Хоол харсан үед анхаарлаа өөр зүйлд буцааж чадсан.,minor_rewrite,Visual and smell cues are combined with successful redirection; social-desirability cue; construct overlap; reverse wording,requires_human_confirmation,none_proposed,none_proposed,3/4_same_disposition,true,false
UC02,Анх бодсоноосоо илүү хэмжээгээр идсэн.,Эхэндээ иднэ гэж бодсоноосоо илүү идсэн.,minor_rewrite,Анх бодсоноосоо can mean planned amount or expectation; social-desirability cue; construct overlap,requires_human_confirmation,none_proposed,none_proposed,4/4_same_disposition,true,false
UC04,Идэж байхдаа үйлдлээ өөрөө удирдаж чадахгүй мэт санагдсан.,Идэж байхдаа зогсоох эсвэл үргэлжлүүлэхээ удирдахад хэцүү байсан.,minor_rewrite,Өөрөө удирдаж чадахгүй may imply severe loss of control; social-desirability cue; judgment/shame cue; construct overlap,requires_human_confirmation,none_proposed,none_proposed,3/4_same_disposition,true,false
UC06,Идэж байхдаа түр зогсоод үргэлжлүүлэх эсэхээ бодож чадсан.,Идэж байхдаа үргэлжлүүлэх эсэхээ бодохоор түр зогсож чадсан.,minor_rewrite,Pause and deciding can be read as two actions; social-desirability cue; construct overlap; reverse wording,requires_human_confirmation,none_proposed,none_proposed,3/4_same_disposition,true,false
RR01,Өөртөө тавьсан хоолны дүрмээс багахан зөрөхөд төлөвлөгөө нурсан мэт санагдсан.,Хоолны дүрмээс багахан зөрөхөд бүх зүйл бүтэлгүйтсэн мэт санагдсан.,minor_rewrite,Rules and plan collapse are not applicable to everyone; response-scale mismatch; social-desirability cue; judgment/shame cue; construct overlap,requires_human_confirmation,evaluate_alternative,none_proposed,4/4_same_disposition,true,false
