review_run_id,role_id,role_name,prompt_variant,model_family,model_variant,item_order_index,item_key,construct,facet,construct_relevance,facet_relevance,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_cultural_appropriateness,safety_ethical_acceptability,adjacent_construct_overlap,double_barreled_risk,leading_wording_risk,social_desirability_risk,shame_moral_judgment_risk,reverse_wording_risk,likely_cross_loading,potential_copyright_similarity,suggested_disposition,observable_rationale,optional_rewrite,synthetic_review_only
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,1,UC06,uncontrolled_eating,pause_capacity,3,4,4,3,4,4,4,4,moderate,moderate,none,low,none,moderate,moderate,none,minor_rewrite,Pausing and deciding are both named; the positive behavior may also reflect mindful awareness rather than stopping difficulty.,Идэж байхдаа үргэлжлүүлэх эсэхээ бодохоор түр зогсож чадсан.,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,2,RR06,restrictive_rebound,flexible_return,4,4,4,4,4,4,4,4,low,low,none,moderate,none,moderate,low,none,retain,The item directly describes returning to a normal rhythm after a deviation and fits the intended positive facet.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,3,EE03,emotional_eating,boredom,4,4,4,3,4,4,4,4,moderate,low,low,low,low,none,moderate,none,retain,"Boredom precedes eating clearly, although choosing food instead of another activity also touches behavioral substitution.",,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,4,BI02,body_image_avoidance,mirror,4,4,4,4,4,4,4,3,low,low,none,moderate,moderate,none,low,none,retain,Body-related discomfort is explicitly linked to mirror avoidance with one situation and one behavior.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,5,SE01,eating_self_efficacy,stress,4,4,3,3,4,3,3,4,moderate,moderate,none,moderate,low,none,moderate,none,minor_rewrite,"Confidence is targeted, but a flexible eating plan may contain several behaviors and past-period confidence is temporally awkward.",Стресстэй өдөр өөрийн сонгосон уян хатан хоолны төлөвлөгөөг дагаж чадна гэдэгтээ хэр итгэлтэй байв?,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,6,AC01,response_quality,instructional_check,4,4,4,4,3,4,4,4,none,none,low,none,none,none,none,none,retain,The instruction names one response category directly; the frequency scale functions as a response interface rather than measured frequency.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,7,SE03,eating_self_efficacy,social,4,4,3,3,4,3,4,4,moderate,moderate,none,moderate,low,none,moderate,none,minor_rewrite,"Confidence in social eating is relevant, but making a choice calmly combines choice execution with emotional composure.",Бусадтай хамт хооллох үед өөрийн сонголтоо хийж чадна гэдэгтээ хэр итгэлтэй байв?,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,8,HS06,hunger_satiety_awareness,signal_use,4,4,3,3,4,4,3,4,moderate,high,none,low,none,none,moderate,none,major_rewrite,"The item combines starting and stopping decisions, which may depend on hunger and fullness as distinct signals.",Биеийн дохио тодорхой байсан ч идэх эсэхээ шийдэхдээ ашиглаж чадаагүй.,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,9,IM06,implementation_maintenance_friction,repeatability,4,4,4,4,4,4,4,4,low,low,none,low,none,none,low,none,retain,Difficulty repeating a previously completed action across subsequent days directly represents repeatability friction.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,10,HS05,hunger_satiety_awareness,satiety_clarity,4,4,4,4,4,4,4,4,low,none,none,low,none,none,low,none,retain,Uncertainty about whether one is full directly captures clarity of satiety recognition.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,11,UC03,uncontrolled_eating,momentum,4,4,4,4,4,4,4,3,moderate,low,none,moderate,moderate,none,moderate,none,retain,"Continuing after noticing fullness directly reflects eating momentum, with expected overlap with satiety-signal use.",,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,12,BI04,body_image_avoidance,social_participation,4,4,4,4,4,4,4,3,moderate,low,none,moderate,moderate,none,moderate,none,retain,Concern about appearance is explicitly linked to declining social activities; social anxiety remains an adjacent explanation.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,13,RR04,restrictive_rebound,rebound,4,4,3,3,4,4,3,3,high,low,none,moderate,moderate,none,high,none,minor_rewrite,Abandoning control for the rest of the day fits rebound but also strongly resembles uncontrolled eating; хяналтгүй орхисон is broad.,Нэг удаа төлөвлөснөөс өөр идсэний дараа үлдсэн өдрийн хоолны төлөвлөгөөгөө дагахаа больсон.,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,14,SE06,eating_self_efficacy,fatigue,4,3,3,3,4,3,3,4,moderate,low,none,moderate,low,none,moderate,none,minor_rewrite,"Confidence under fatigue is relevant, but хамгийн жижиг хувилбар lacks a specified eating action and may capture implementation planning.",Ядарсан үедээ ч өөрийн сонгосон хоолны төлөвлөгөөний боломжтой хувилбарыг хэрэгжүүлж чадна гэдэгтээ хэр итгэлтэй байв?,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,15,EE02,emotional_eating,sadness,3,3,4,3,3,4,4,3,moderate,low,low,low,low,none,moderate,none,minor_rewrite,The item assesses perceived temporary soothing from eating rather than clearly assessing desire or eating behavior prompted by sadness.,Сэтгэл гунигтай үедээ тайвшрахын тулд юм идсэн.,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,16,IM02,implementation_maintenance_friction,setup_burden,4,4,4,4,4,4,4,4,low,low,none,low,none,none,low,none,retain,Preparation burden is explicitly linked to postponing the plan and cleanly represents setup friction.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,17,UC01,uncontrolled_eating,stopping,4,4,4,4,4,4,4,3,low,none,none,moderate,moderate,none,low,none,retain,The item directly describes subjective difficulty stopping after eating begins.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,18,SE02,eating_self_efficacy,time_pressure,4,4,3,3,4,3,3,4,moderate,low,none,moderate,low,none,moderate,none,minor_rewrite,"Confidence under time pressure is relevant, but боломжит хоолны сонголт is broad and may reflect food availability rather than efficacy.",Зав багатай үед өөрт тохирох хоолыг сонгож чадна гэдэгтээ хэр итгэлтэй байв?,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,19,BI01,body_image_avoidance,photographs,4,4,4,4,4,4,4,3,low,low,none,moderate,moderate,none,low,none,retain,Appearance concern is directly linked to avoiding being photographed in a single ordinary context.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,20,RR02,restrictive_rebound,prohibition,4,4,4,4,4,4,4,3,low,low,none,moderate,moderate,none,low,none,retain,Creating a rule that completely prohibits some foods directly represents rigid prohibition.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,21,EC01,external_cue_reactivity,visual_cue,4,4,4,4,4,4,4,4,moderate,low,none,low,none,none,moderate,none,retain,Seeing food while not hungry is explicitly linked to eating desire; hunger discrimination is a limited adjacent process.,,true
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,22,HS02,hunger_satiety_awareness,hunger_discrimination,4,4,4,4,4,4,4,4,moderate,low,none,moderate,none,moderate,moderate,none,retain,"Distinguishing hunger when an eating desire occurs directly captures hunger discrimination, with some overlap with cue or emotion awareness.",,true
