review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,1,B029,4,4,4,4,4,4,4,low,moderate,moderate,pass,Links body concern to avoiding social activities.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,2,B038,4,3,4,4,4,3,4,low,none,low,pass,Identifies noticing comfortable fullness while eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,3,B024,4,3,3,3,4,4,4,moderate,moderate,moderate,revise,Combines an unplanned eating event with later plan continuation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,4,B004,4,4,3,4,4,4,4,moderate,low,moderate,pass,Describes pausing to consider whether to continue eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,5,B010,4,4,3,4,4,4,4,moderate,low,moderate,pass,Describes participation despite discomfort about the body.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,6,B027,4,4,4,4,4,4,4,low,none,moderate,pass,Specifies food smell as the immediate eating cue.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,7,B022,4,4,4,4,4,4,4,low,low,moderate,pass,Uses a specific social eating situation and confidence response.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,8,B003,4,3,3,3,4,4,4,moderate,low,moderate,pass,Contrasts tolerating an unpleasant feeling with eating.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,9,B018,4,4,4,4,4,4,4,low,moderate,moderate,pass,Compares intended and actual amount eaten.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,10,B042,4,4,4,3,4,4,4,low,low,moderate,pass,Describes automatic eating after a repeated daily action.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,11,B032,4,2,2,4,4,4,4,moderate,low,moderate,revise,Combines carrying out a plan with an unspecified partial version.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,12,B015,4,4,4,4,4,4,4,low,none,low,pass,Asks directly about perceived similarity among questionnaire items.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,13,B011,4,4,4,4,4,4,4,low,moderate,moderate,pass,Describes a failure appraisal after a small rule deviation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R1-B,R1,psychometrician,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,14,B035,4,4,4,4,4,4,4,low,low,moderate,pass,Identifies use of a preselected simple food option when busy.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
