review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,1,B006,4,3,3,4,4,4,4,low,low,low,revise,"The phrase 'one simple eating step' does not name what counts as a step.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,2,B014,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The wording gives a discrete emotion and a clear afterward sequence.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,3,B037,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The question specifies a deviation and returning at the next meal.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,4,B010,4,3,4,4,4,4,3,low,moderate,moderate,revise,"'A desired activity' can refer to many different kinds of participation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,5,B001,4,3,3,4,4,4,4,moderate,low,low,revise,"The wording joins noticing hunger with becoming very fatigued, which can be read as two bodily signals.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,6,B003,4,3,3,4,4,4,3,moderate,moderate,moderate,revise,"'Tolerated the feeling for a while' leaves both the action and duration open.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,7,B036,4,3,4,4,4,4,4,low,low,low,revise,"'Thoughts continued' does not state how long they continued.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,8,B009,4,4,4,4,4,4,4,low,low,moderate,pass,"The item names a specific impression occurring while answering the questionnaire.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,9,B008,4,3,4,4,4,4,3,low,moderate,moderate,revise,"'Normal eating' is not defined and may be interpreted differently across respondents.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,10,B021,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The question gives a recognizable stress context and asks only about confidence.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R6-A,R6,cognitive_interview_method,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,11,B029,4,4,4,4,4,4,3,low,moderate,moderate,pass,"The item states a body-related concern followed by avoiding social activity.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
