persona_code,block_order,blinded_item_id,revised_item_key,source_item_key,assignment_hash,synthetic_review_only,status_label
SP01,1,B013,HA03-V21,HA03,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,2,B016,HS06-V21-B,HS06,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,3,B033,HA01-V21,HA01,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,4,B009,AC02-V21-A,AC02,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,5,B018,UC02-V21,UC02,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,6,B036,EC04-V21,EC04,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,7,B030,IM05-V21,IM05,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,8,B032,SE06-V21-B,SE06,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,9,B001,HS03-V21,HS03,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,10,B017,RR03-V21,RR03,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP01,11,B024,RR04-V21-B,RR04,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
