source_item_key,revised_item_key,original_text,revised_text,original_response_scale,revised_response_scale,original_recall_period,revised_recall_period,change_type,issue_source,adjudication_support,construct_preserved,new_overlap_risk,decision_status,rationale,status_label
EE01,EE01-V21,Сүүлийн 14 хоногт стресстсэн үедээ өлсөөгүй байсан ч юм идсэн.,Сүүлийн 14 хоногт стресстсэн үедээ өлсөөгүй байсан ч юм идсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=15/24;synthesis=moderate,pilot_scored_candidate,Whether stress needs a specified threshold,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EE02,EE02-V21,Сэтгэл гунигтай үед хоол идэх нь түр тайвшруулна гэж мэдэрсэн.,Гунигтай үед хоол идэхээр хэсэг зуур тайвширсан мэт санагдсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=23/24;synthesis=moderate,pilot_scored_candidate,Whether relief or coping motive is intended,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EE03,EE03-V21,Уйдсан үедээ хийх зүйл хайхын оронд юм идэж эхэлсэн.,Уйдсан үедээ хийх зүйл хайхын оронд юм идэж эхэлсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=22/24;synthesis=moderate,pilot_scored_candidate,Whether behavioral substitution is part of the facet,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EE04,EE04-V21,Ганцаардсан мэдрэмж төрөхөд идэх хүсэл нэмэгдсэн.,Ганцаардсан мэдрэмж төрөхөд идэх хүсэл нэмэгдсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=11/24;synthesis=low,pilot_scored_candidate,Whether loneliness wording needs contextual anchoring,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EE05,EE05-V21,Уурлаж эсвэл бухимдсаны дараа хоол руу хандсан.,Уурласан эсвэл бухимдсаны дараа юм идсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=20/24;synthesis=moderate,pilot_scored_candidate,Whether anger and frustration should remain combined,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EE06,EE06-V21-A,Таагүй мэдрэмжээ хоол идэлгүй өнгөрөөж чадсан.,Таагүй мэдрэмж төрөхөд хоол идэхээс өөр аргаар өөрийгөө тайвшруулсан.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,major_rewrite_alternative,synthetic_panel_v2_and_authoritative_audits,major_rewrite,true,expert_moderate_or_high=24/24;synthesis=high;emotional_eating_vs_self_efficacy,pilot_scored_candidate,Whether this is affect tolerance or eating restraint,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EE06,EE06-V21-B,Таагүй мэдрэмжээ хоол идэлгүй өнгөрөөж чадсан.,Таагүй мэдрэмж төрөхөд идэхийн оронд мэдрэмжээ хэсэг хугацаанд тэсвэрлэсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,major_rewrite_alternative,synthetic_panel_v2_and_authoritative_audits,major_rewrite,true,expert_moderate_or_high=24/24;synthesis=high;emotional_eating_vs_self_efficacy,reserve_alternative_human_selection,Whether this is affect tolerance or eating restraint,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EC01,EC01-V21,Өлсөөгүй байсан ч хоол хараад идэх хүсэл төрсөн.,Өлсөөгүй байсан ч хоол хараад идэх хүсэл төрсөн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=17/24;synthesis=moderate,pilot_scored_candidate,Whether visual cue response should distinguish desire from eating,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EC02,EC02-V21,Хоолны үнэр анхаарлыг минь татаж идэхээр шийдэхэд нөлөөлсөн.,Хоолны үнэрээс болж идэхээр шийдсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=15/24;synthesis=moderate,pilot_scored_candidate,Whether attention capture is required in addition to decision,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EC03,EC03-V21,Идэх зүйл ойрхон бэлэн байснаас төлөвлөөгүй үедээ идсэн.,Идэх зүйл ойрхон бэлэн байснаас төлөвлөөгүй үедээ идсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,unchanged,synthetic_panel_v2_and_authoritative_audits,retain,pending_human_confirmation,expert_moderate_or_high=20/24;synthesis=moderate,pilot_scored_candidate,Whether unplanned eating is sufficiently defined,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EC04,EC04-V21,Хоолны апп эсвэл сурталчилгаа харсны дараа хоол бодогдсоор байсан.,Хоолны сурталчилгаа харсны дараа хоолны тухай бодол үргэлжилсэн.,0–4 frequency,frequency_14d_opportunity_0_4_na,Сүүлийн 14 хоног,Сүүлийн 14 хоног,minor_rewrite,synthetic_panel_v2_and_authoritative_audits,minor_rewrite,true,expert_moderate_or_high=17/24;synthesis=moderate,pilot_scored_candidate,Whether digital app exposure belongs in the same item as advertising,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
