persona_run_id,persona_code,model_family,model_variant,item_order_hash,input_file,output_file,item_count,synthetic_review_only,status_label
SPR-SP01,SP01,GPT-5.6,gpt-5.6-terra,525c3d66ce7bb5f5dfd6c3cbbfce947a810cdff94b36d0d85734d1bc60eef722,second-pass-persona-inputs/SP01.json,second-pass-persona-outputs/SP01.csv,11,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP02,SP02,GPT-5.6,gpt-5.6-sol,be6772eaa3d7229b5540753a3389978559da6b607b17a76cb10b618c6a1beb63,second-pass-persona-inputs/SP02.json,second-pass-persona-outputs/SP02.csv,10,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP03,SP03,GPT-5.6,gpt-5.6-terra,9e4f9a52029e42492d8659a6906a7bba3c913d541876db0f31f1c4806b70f1c5,second-pass-persona-inputs/SP03.json,second-pass-persona-outputs/SP03.csv,10,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP04,SP04,GPT-5.6,gpt-5.6-sol,2d0c36fbce867d7a9729e46b247c9656599db19422b9ae3ab33350c70fdccb17,second-pass-persona-inputs/SP04.json,second-pass-persona-outputs/SP04.csv,10,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,GPT-5.6,gpt-5.6-terra,49c9b539b1cee54b4852f6310a9281906fe22292a2a88d5146041eebfbebd7c4,second-pass-persona-inputs/SP05.json,second-pass-persona-outputs/SP05.csv,11,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP06,SP06,GPT-5.6,gpt-5.6-sol,99062e9f08288e74580ea4e2abd2b35af1f14fb9568e760b8dce648cb9cefd72,second-pass-persona-inputs/SP06.json,second-pass-persona-outputs/SP06.csv,10,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP07,SP07,GPT-5.6,gpt-5.6-terra,174b1b4dd6bb95778d137cb36de66009aa04b44e6f507509ff45d2071b8d2a93,second-pass-persona-inputs/SP07.json,second-pass-persona-outputs/SP07.csv,10,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP08,SP08,GPT-5.6,gpt-5.6-sol,5df78c0303a5da16f557ff87d509d1881bac6a5b439a8a64a6e34a6fd313a277,second-pass-persona-inputs/SP08.json,second-pass-persona-outputs/SP08.csv,11,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP09,SP09,GPT-5.6,gpt-5.6-terra,9f61f9a2d2dbe5ca947e516e28162143c9ec22bccf188cf2073edf02150424ad,second-pass-persona-inputs/SP09.json,second-pass-persona-outputs/SP09.csv,11,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP10,SP10,GPT-5.6,gpt-5.6-sol,2ac7cd9c438e6e69853bf00c6293d3e5fd770e6a29aa11eef3df9bbce7aaf0aa,second-pass-persona-inputs/SP10.json,second-pass-persona-outputs/SP10.csv,10,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP11,SP11,GPT-5.6,gpt-5.6-terra,dee3a3f24b806a46d0c06b17c14a027612080ab5f4b9beb446b99ea3b9f082f4,second-pass-persona-inputs/SP11.json,second-pass-persona-outputs/SP11.csv,11,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP12,SP12,GPT-5.6,gpt-5.6-sol,12a750fbfaad4917c491edfd26bf79d4538ca932d17868a600be46ea08f886a1,second-pass-persona-inputs/SP12.json,second-pass-persona-outputs/SP12.csv,11,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,GPT-5.6,gpt-5.6-terra,43869c7a1d960b0fff5b056699b0f24816893768a3f18ea85c7bd9967d120318,second-pass-persona-inputs/SP13.json,second-pass-persona-outputs/SP13.csv,11,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP14,SP14,GPT-5.6,gpt-5.6-sol,65ea4896ee2849c153f10bed752cc84ab1a8bcc0ae43bfc3fe31bcd42b689f64,second-pass-persona-inputs/SP14.json,second-pass-persona-outputs/SP14.csv,11,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP15,SP15,GPT-5.6,gpt-5.6-terra,842319b9188901fd52f01d228fd93a8cf24709ef8d3fda0873348a62c6a68e34,second-pass-persona-inputs/SP15.json,second-pass-persona-outputs/SP15.csv,10,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP16,SP16,GPT-5.6,gpt-5.6-sol,72a31f17c8c42770bcffb30ed912e9b5146c5702b44064f04b0ad63cc533b2c6,second-pass-persona-inputs/SP16.json,second-pass-persona-outputs/SP16.csv,10,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
