item_key,construct,exact_disposition_agreement_rate,construct_relevance_spread,maximum_rating_spread,role_disagreement_count,persona_exposure_count,persona_paraphrase_mismatch_count,response_option_mismatch_rate,recall_period_difficulty_rate,judgment_shame_flag_rate,reverse_item_confusion_proxy_rate,synthetic_review_only
EE01,emotional_eating,0.875,0,1,3,6,0,0.000,0.000,0.333,0.000,true
EE02,emotional_eating,0.417,1,2,14,6,1,0.000,0.000,0.000,0.000,true
EE03,emotional_eating,0.542,0,2,11,6,0,0.000,0.000,0.333,0.000,true
EE04,emotional_eating,1.000,0,1,0,6,0,0.000,0.000,0.000,0.000,true
EE05,emotional_eating,0.667,1,1,8,6,1,0.000,0.000,0.000,0.000,true
EE06,emotional_eating,0.375,1,2,15,6,1,0.000,0.000,0.000,0.000,true
EC01,external_cue_reactivity,1.000,0,1,0,6,0,0.000,0.000,0.000,0.000,true
EC02,external_cue_reactivity,0.667,0,2,8,6,0,0.000,0.000,0.000,0.000,true
EC03,external_cue_reactivity,0.875,0,2,3,6,0,0.000,0.000,0.000,0.000,true
EC04,external_cue_reactivity,0.667,0,1,8,6,2,0.500,0.000,0.000,0.000,true
EC05,external_cue_reactivity,0.625,1,2,9,6,0,0.000,0.000,0.000,0.000,true
EC06,external_cue_reactivity,0.542,1,2,11,6,1,0.000,0.000,0.000,0.000,true
UC01,uncontrolled_eating,0.917,0,2,2,6,0,0.000,0.000,0.333,0.000,true
UC02,uncontrolled_eating,0.583,1,2,10,6,1,0.000,0.000,0.000,0.000,true
UC03,uncontrolled_eating,0.792,1,2,5,6,0,0.000,0.000,0.333,0.000,true
UC04,uncontrolled_eating,0.625,0,2,9,6,1,0.000,0.000,0.667,0.000,true
UC05,uncontrolled_eating,0.750,1,1,6,6,0,0.000,0.000,0.167,0.000,true
UC06,uncontrolled_eating,0.625,1,2,9,6,1,0.000,0.000,0.000,0.000,true
RR01,restrictive_rebound,0.792,0,2,5,6,1,0.333,0.000,0.333,0.000,true
RR02,restrictive_rebound,0.833,1,2,4,6,0,0.000,0.000,0.333,0.000,true
RR03,restrictive_rebound,0.833,0,1,4,6,1,0.167,0.000,1.000,0.000,true
RR04,restrictive_rebound,0.500,1,2,12,6,3,0.333,0.167,0.833,0.000,true
RR05,restrictive_rebound,0.917,0,2,2,6,1,0.000,0.000,0.500,0.000,true
RR06,restrictive_rebound,0.583,1,2,10,6,2,0.500,0.000,0.000,0.500,true
HS01,hunger_satiety_awareness,0.750,0,1,6,6,1,0.167,0.000,0.000,0.167,true
HS02,hunger_satiety_awareness,0.875,0,1,3,6,1,0.000,0.000,0.000,0.000,true
HS03,hunger_satiety_awareness,0.667,1,2,8,6,1,0.000,0.000,0.000,0.000,true
HS04,hunger_satiety_awareness,0.667,0,1,8,6,1,0.000,0.000,0.000,0.000,true
HS05,hunger_satiety_awareness,0.958,0,1,1,6,0,0.000,0.000,0.000,0.000,true
HS06,hunger_satiety_awareness,0.500,0,2,12,6,3,0.500,0.000,0.167,0.000,true
SE01,eating_self_efficacy,0.708,0,1,7,6,2,0.500,0.000,0.000,0.000,true
SE02,eating_self_efficacy,0.500,0,1,12,6,1,0.167,0.000,0.000,0.000,true
SE03,eating_self_efficacy,0.750,0,1,6,6,1,0.000,0.000,0.000,0.000,true
SE04,eating_self_efficacy,0.708,0,1,7,6,1,0.000,0.000,0.000,0.000,true
SE05,eating_self_efficacy,0.500,0,1,12,6,2,0.667,0.167,0.000,0.000,true
SE06,eating_self_efficacy,0.500,2,2,12,6,2,0.333,0.000,0.000,0.000,true
HA01,habit_automaticity,0.750,0,1,6,6,1,0.000,0.000,0.000,0.000,true
HA02,habit_automaticity,0.667,0,2,8,6,3,0.333,0.000,0.000,0.000,true
HA03,habit_automaticity,0.625,1,2,9,6,1,0.000,0.000,0.000,0.000,true
HA04,habit_automaticity,0.500,0,2,12,6,1,0.000,0.000,0.000,0.000,true
HA05,habit_automaticity,0.750,1,2,6,6,1,0.167,0.000,0.000,0.000,true
HA06,habit_automaticity,0.583,1,2,10,6,1,0.167,0.000,0.000,0.167,true
BI01,body_image_avoidance,0.917,0,2,2,6,1,0.167,0.000,0.667,0.000,true
BI02,body_image_avoidance,0.917,0,1,2,6,1,0.000,0.000,0.667,0.000,true
BI03,body_image_avoidance,0.875,0,1,3,6,0,0.000,0.000,0.500,0.000,true
BI04,body_image_avoidance,0.708,0,1,7,6,1,0.000,0.000,0.833,0.000,true
BI05,body_image_avoidance,0.833,1,2,4,6,1,0.167,0.000,0.667,0.000,true
BI06,body_image_avoidance,0.667,1,2,8,6,2,0.333,0.000,0.000,0.333,true
IM01,implementation_maintenance_friction,0.875,0,1,3,6,1,0.000,0.000,0.000,0.000,true
IM02,implementation_maintenance_friction,0.750,1,1,6,6,1,0.333,0.000,0.000,0.000,true
IM03,implementation_maintenance_friction,0.500,1,2,12,6,3,0.500,0.000,0.000,0.500,true
IM04,implementation_maintenance_friction,0.792,0,2,5,6,1,0.167,0.000,0.167,0.000,true
IM05,implementation_maintenance_friction,0.833,0,1,4,6,1,0.333,0.167,0.000,0.333,true
IM06,implementation_maintenance_friction,0.792,1,2,5,6,1,0.500,0.000,0.000,0.000,true
AC01,response_quality,0.542,3,3,11,6,1,0.167,0.167,0.000,0.000,true
AC02,response_quality,0.375,2,2,15,6,2,0.167,0.000,0.000,0.000,true
