persona_code,block_order,item_key,item_text,recall_period,response_scale,response_options,sensitive,assignment_seed,assignment_hash,synthetic_review_only
P01,1,RR01,Өөртөө тавьсан хоолны дүрмээс багахан зөрөхөд төлөвлөгөө нурсан мэт санагдсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,2,UC03,Цадсанаа анзаарсан ч үргэлжлүүлэн идсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,3,EE03,Уйдсан үедээ хийх зүйл хайхын оронд юм идэж эхэлсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,4,HA05,Зууш авахдаа үнэхээр хүсэж байгаа эсэхээ бодолгүй сонгосон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,5,EC02,Хоолны үнэр анхаарлыг минь татаж идэхээр шийдэхэд нөлөөлсөн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,6,IM05,Нэг удаа алгассан ч дараагийн боломж дээрээ эргэн үргэлжлүүлсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,7,SE05,Нэг удаа төлөвлөснөөс өөр идсэн ч дараагийн боломж дээр эргэн үргэлжлүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Сүүлийн 14 хоног,0–4 confidence,Огт итгэлгүй | Бага зэрэг итгэлтэй | Дунд зэрэг итгэлтэй | Их итгэлтэй | Маш их итгэлтэй,true,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,8,EE06,Таагүй мэдрэмжээ хоол идэлгүй өнгөрөөж чадсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,9,RR06,Төлөвлөснөөс өөр идсэн ч дараагийн хоолноос хэвийн хэмнэлдээ орсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,10,BI02,Биеэ харах эвгүй санагдсанаас толиноос зайлсхийсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,11,HS04,Тав тухтай цадсан мөчөө идэж байхдаа анзаарсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,12,UC01,Идэж эхэлсний дараа хүссэн үедээ зогсоох хэцүү байсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,13,IM04,Өдрийн хуваарь өөрчлөгдөхөд төлөвлөгөө тэр чигтээ тасарсан.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P01,14,AC01,Энэ мөрөнд хариултын чанарыг шалгахын тулд «Заримдаа»-г сонгоно уу.,Одоогийн асуулт,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,96a82e6abaa3c2971c9e20d1e5e5952290757b4a34597820b57adbb04c642999,true
P02,1,EE03,Уйдсан үедээ хийх зүйл хайхын оронд юм идэж эхэлсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,2,IM02,Хэрэгжүүлэхэд олон бэлтгэл шаардсанаас төлөвлөгөө хойшилсон.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,3,IM01,Юуг яг хэзээ хийх нь тодорхойгүйгээс төлөвлөгөөгөө эхлүүлээгүй.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,false,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
P02,4,BI05,Бусад хүн биеийг минь анзаарах вий гэж бодоод хөдөлгөөн хийхээс зайлсхийсэн.,Сүүлийн 14 хоног,0–4 frequency,Огт байгаагүй | Ховор | Заримдаа | Олон удаа | Бараг үргэлж,true,2026075065,c1b4e11caee22b38395f0e57e02f46d261dfd6417fba4d671c97e01c91106020,true
