adjudicator_id,adjudicator_lens,item_key,expert_role_agreement,persona_interpretation_agreement,dominant_misunderstanding,response_scale_mismatch,recall_period_mismatch,social_desirability_concern,shame_concern,construct_overlap_concern,reverse_item_concern,proposed_disposition,revision_priority,candidate_revised_wording,unresolved_scientific_decision,observable_synthesis,synthetic_review_only
ADJ-MN,mongolian_language,EE01,high,moderate,стресстсэн гэсэн үг өргөн ойлгогдож байна,none,none,moderate,moderate,moderate,none,retain,low,,,Шинжээчид ихэнхдээ хадгалахыг санал болгосон бөгөөд персонуудын зарим нь стрессийн үгийг тодруулгагүй гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,EE02,moderate,moderate,түр тайвшруулах нь мэдрэмж үү эсвэл үр дагавар уу,low,low,moderate,moderate,moderate,none,minor_rewrite,medium,Гунигтай үед хоол идэх нь түр тайвшрах мэдрэмж төрүүлсэн.,Тайвшралын мэдрэмжийг идэх давтамжаас тусад нь хэмжих эсэх,Шинжээчдийн шийдвэр хуваагдсан ба персонууд түр тайвшруулах хэллэгийг тогтворгүй тайлбарласан,true
ADJ-MN,mongolian_language,EE03,moderate,moderate,хийх зүйл хайхын оронд гэсэн харьцуулалт,none,none,moderate,low,moderate,none,minor_rewrite,low,Уйдсан үедээ юм идэж эхэлсэн.,Өөр үйл ажиллагааг орлуулах санааг заавал хадгалах эсэх,Персонууд харьцуулсан хэсгийг олон янзаар тайлбарласан бөгөөд бусад тал нь тохирсон,true
ADJ-MN,mongolian_language,EE04,high,moderate,ганцаардсан мэдрэмжийн хүрээ,none,none,moderate,moderate,low,none,retain,low,,,Шинжээчид нэг мөр хадгалахыг санал болгосон ба цөөн персона мэдрэмжийн нэрийг тодруулгагүй гэж үзсэн,true
ADJ-MN,mongolian_language,EE05,high,moderate,хоол руу хандсан нь идэх эсвэл сонгохыг ялгахгүй,low,low,moderate,moderate,moderate,none,minor_rewrite,medium,Уурлаж эсвэл бухимдсаны дараа юм идсэн.,Уур ба бухимдлыг нэг өдөөгч болгон үлдээх эсэх,Шинжээчид хэллэгийн тодорхой байдлыг бууруулсан гэж үзсэн ба персонууд хоол руу хандсан гэдгийг давтан тэмдэглэсэн,true
ADJ-MN,mongolian_language,EE06,low,moderate,таагүй мэдрэмж болон өнгөрөөж чадсан нь өргөн бөгөөд үнэлгээтэй,low,low,high,moderate,high,high,major_rewrite,high,Таагүй мэдрэмж төрөхөд хоол идэхгүй байж чадсан.,Энэ нь сэтгэл хөдлөл даах чадвар уу эсвэл идэх хяналт уу,Шинжээчдийн шийдвэр тархсан бөгөөд бүх персонууд нийгэмд зөв хариулт илт гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,EC01,high,high,,none,none,low,low,moderate,none,retain,none,,,Шинжээчид болон персонууд хэллэг ба сонголтыг тогтвортой тохирсон гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,EC02,moderate,moderate,анхаарал татах ба шийдэхэд нөлөөлөх гэсэн хоёр шат,low,low,low,low,moderate,none,minor_rewrite,low,Хоолны үнэрээс болж идэхээр шийдсэн.,Анхаарал татахыг тусдаа шинж болгон хэмжих эсэх,Персонууд нөлөөлсөн болон анхаарал татахыг тусдаа ойлгосон ба шинжээчид ихэвчлэн хадгалахыг санал болгосон,true
ADJ-MN,mongolian_language,EC03,high,moderate,ойрхон бэлэн гэсэн байршил ба хүртээмжийн утга,none,none,low,low,moderate,none,minor_rewrite,low,Идэх зүйл бэлэн байсан үед төлөвлөөгүй идсэн.,Ойрхон гэсэн зайн шаардлага хэрэгтэй эсэх,Шинжээчид ихэнхдээ хадгалахыг санал болгосон ба персонууд ойрхон бэлэн хэллэгийг асуусан,true
ADJ-MN,mongolian_language,EC04,moderate,low,хоолны апп болон бодогдсоор байсан нь тодорхой биш бөгөөд бүх хүнд хамаарахгүй,moderate,low,low,low,moderate,none,major_rewrite,high,Хоолны сурталчилгаа харсны дараа хоолны тухай бодол үргэлжилсэн.,Дижитал өдөөгчийг апп ба сурталчилгаагаар хамтатгах эсэх болон үл хамаарах сонголт,Персонууд сонголт тохирох эсэх дээр тэнцүү хуваагдсан бөгөөд апп гэсэн үгийг давтан тэмдэглэсэн,true
ADJ-MN,mongolian_language,EC05,moderate,moderate,хийж байсан зүйл болон анхаарал сарниулахын хүрээ,none,none,low,low,moderate,none,minor_rewrite,low,Хоолны тухай бодол анхаарал сарниулсан.,Анхаарал сарниулах нь ерөнхий төвлөрөлтэй давхцах эсэх,Шинжээчид хадгалах хандлагатай боловч давхцах эрсдэлийг тэмдэглэсэн ба зарим персона өргөн хэллэгийг асуусан,true
ADJ-MN,mongolian_language,EC06,moderate,moderate,анхаарлаа буцаах болон өөр зүйлд чиглүүлэх нь тодорхой биш,low,low,moderate,low,moderate,high,minor_rewrite,medium,Хоол харах эсвэл үнэртэх үед анхаарлаа өөр зүйлд шилжүүлж чадсан.,Эерэг урвуу зүйл нь өдөөгчөөс тасрах уу эсвэл ерөнхий хяналт уу,Шинжээчид хадгалах ба дахин бичихийн хооронд хуваагдсан бөгөөд бүх персонууд нийгэмд зөв хариулт илт гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,UC01,high,moderate,хүссэн үедээ нь бодит нөхцөлийг ялгахгүй,none,low,moderate,moderate,low,none,minor_rewrite,low,Идэж эхэлсний дараа зогсоох хэцүү байсан.,Зогсоох чадварын нөхцөлт утгыг хадгалах эсэх,Шинжээчид голдуу хадгалахыг санал болгосон ба персонууд хүссэн үедээ гэсэн үгийг тэмдэглэсэн,true
ADJ-MN,mongolian_language,UC02,moderate,moderate,анх бодсоноосоо гэдэг нь хэмжээний төлөвлөгөөг тодорхой болгохгүй,none,none,moderate,moderate,moderate,none,minor_rewrite,medium,Төлөвлөснөөсөө илүү хэмжээгээр идсэн.,Төлөвлөсөн хэмжээ байгаагүй хүмүүст үл хамаарах сонголт хэрэгтэй эсэх,Шинжээчид ихэнхдээ хадгалахыг санал болгосон боловч персонууд төлөвлөсөн хэмжээний утгыг асуусан,true
ADJ-MN,mongolian_language,UC03,high,high,,none,low,moderate,moderate,moderate,none,retain,low,,,Шинжээчид голдуу хадгалахыг санал болгосон ба персонууд ойлголт болон сонголтыг тогтвортой тохирсон гэж тэмдэглэсэн,true
ADJ-MN,mongolian_language,UC04,moderate,moderate,үйлдлээ өөрөө удирдахгүй мэт нь хүчтэй өөрийн үнэлгээ болж сонсогдоно,none,low,moderate,high,moderate,none,minor_rewrite,medium,Идэж байхдаа зогсоох эсвэл үргэлжлүүлэхээ удирдахад хэцүү байсан.,Ерөнхий өөрийгөө хянах мэдрэмжийг идэхийн хяналтаас ялгах эсэх,Персонуудын олонх нь энэ хэллэгийг шүүмжилсэн мэт гэж тэмдэглэсэн ба шинжээчид давхцах эрсдэл илэрхийлсэн,true
ADJ-MN,mongolian_language,UC05,moderate,moderate,багахан болон үргэлжлүүлээд гэсэн хэмжээгүй үгс,none,none,moderate,moderate,moderate,none,minor_rewrite,low,Бага хэмжээгээр иднэ гэж эхэлсэн ч илүү идсэн.,Хэмжээний жишиггүйгээр төлөвлөгөөг хэмжих эсэх,Персонууд багахан гэсэн үгийг давтан асуусан ба шинжээчид ихэнхдээ хадгалахыг санал болгосон,true
