review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,1,B005,4,4,4,4,4,4,4,low,none,moderate,pass,"One disengagement action is stated; the 14-day frequency options include no-opportunity.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,2,B029,4,4,4,4,4,4,3,low,moderate,moderate,pass,"Avoiding activities because of body concern is one stated behavior; the 30-day frequency frame is explicit.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,3,B003,4,3,3,4,4,4,3,moderate,low,moderate,revise,"The item names tolerating an unpleasant feeling instead of eating, but 'хэсэг хугацаанд' gives no duration.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,4,B013,4,3,4,4,4,4,4,low,none,low,revise,"Noticing after eating starts is one behavior, but 'хэсэг хугацааны дараа' leaves the delay unspecified.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,5,B036,4,3,4,4,4,4,4,low,none,low,revise,"The cue and subsequent food thought are stated, but 'үргэлжилсэн' has no observable duration threshold.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,6,B025,4,4,4,4,4,4,4,low,none,low,pass,"Choosing a snack without considering desire to eat is one described automatic decision process.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,7,B019,4,3,3,4,4,4,4,moderate,none,moderate,revise,"Preparing an option in advance is observable, but the item combines planning a plan with preparing food.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,8,B015,4,4,4,4,4,4,4,low,none,low,pass,"The item asks one current-survey perception, and the agreement response options match that statement.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,9,B016,4,4,3,4,4,4,4,moderate,none,low,pass,"The item states noticing fullness and difficulty deciding whether to stop; both occur within the stated eating episode.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,10,B001,4,3,4,4,4,4,4,low,none,low,revise,"Late noticing of hunger is clear, but 'маш их сульдсан' is a subjective threshold.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,11,B032,4,3,3,4,4,4,4,moderate,none,moderate,revise,"Confidence is asked in a stated fatigue scenario, but 'хэсэгчлэн хэрэгжүүлэх' does not specify an action.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R8-A,R8,measurement_data_science,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,12,B014,4,4,4,4,4,4,3,low,moderate,moderate,pass,"Eating after anger or frustration is a single event pattern with a stated 14-day frequency frame.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
