item_key,construct,unresolved_issue,evidence_needed,possible_alternatives,decision_owner,next_gate,production_enabled,status_label
EE06-V21-B,emotional_eating,Overlap remained 15/16 and all four personas saw an obvious desirable answer.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Retain as a reserve A/B candidate for human selection.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR01-V21,restrictive_rebound,The total-failure wording remains a recurring major judgment concern.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Revise wording/format and repeat blinded response-process review.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR03-V21,restrictive_rebound,The failure label remains a recurring major shame and judgment concern.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Revise wording/format and repeat blinded response-process review.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
RR04-V21-B,restrictive_rebound,All 16 expert runs retained moderate shame risk and the plan may not apply to every respondent.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Retain as a reserve A/B candidate for human selection.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS06-V21-A,hunger_satiety_awareness,Noticing hunger remains combined with difficulty deciding whether to begin eating.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Revise wording/format and repeat blinded response-process review.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HS06-V21-B,hunger_satiety_awareness,Noticing fullness remains combined with difficulty deciding whether to stop eating.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Revise wording/format and repeat blinded response-process review.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SE06-V21-B,eating_self_efficacy,One expert purity rating was below 3 and partial implementation lacks a common threshold.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Retain as a reserve A/B candidate for human selection.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HA02-V21-B,habit_automaticity,The preceding action and the phrase automatic start remain unspecified.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Retain as a reserve A/B candidate for human selection.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
HA05-V21,habit_automaticity,The low-deliberation wording still permits systematic hunger-awareness interpretation.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Revise wording/format and repeat blinded response-process review.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
BI04-V21,body_image_avoidance,A recurring major body-related shame concern remains.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Revise wording/format and repeat blinded response-process review.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
IM02-V21,implementation_maintenance_friction,The planned action remains unspecified and overlap materially increased.,"Human Mongolian expert review, cognitive interviews, ethics review, and empirical pilot evidence.",Revise wording/format and repeat blinded response-process review.,human_scientific_language_ethics_panel,human_review_and_cognitive_interview,false,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
