review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,1,B014,3,4,3,4,4,4,4,low,low,low,revise,"Уур бухимдлын дараах идэлтийг тодорхой асуусан ч сэтгэл хөдлөл идэхэд нөлөөлснийг бус зөвхөн дарааллыг илэрхийлж байна.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,2,B021,4,4,4,4,4,4,4,none,low,moderate,pass,"Стресстэй өдрийн төлөвлөгөө дагах итгэлийг нэг нөхцөлөөр шууд асууж, итгэлийн шатлалтай сонголтуудтай таарч байна.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,3,B027,4,4,4,4,4,4,4,low,none,low,pass,"Хоолны үнэрийн дараах идэх шийдвэрийг нэг үйл явдлаар тодорхой асуусан бөгөөд 14 хоногийн давтамж тохирно.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,4,B022,4,3,3,4,4,4,4,low,low,moderate,revise,"Бусадтай хооллох үеийн итгэлийг асуусан ч “өөрийн сонголт” нь ямар сонголтыг хэлж буйг тодорхойлоогүй.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,5,B032,4,3,3,4,4,4,4,low,low,moderate,revise,"Ядарсан үеийн итгэлийг хэмжсэн ч “бүрэн биш ч хэсэгчлэн” гэсэн хоёр түвшин нэг хариултад багтсан.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,6,B016,4,4,3,4,4,4,4,moderate,low,low,pass,"Цадалтыг анзаарсны дараах зогсоох шийдвэрийн хүндрэлийг тодорхой асуусан ч дохио таних ба хяналтын агуулга ойролцоо байна.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,7,B038,4,4,4,4,4,4,4,none,none,low,pass,"Идэх үеийн таатай цадалтын мөчийг анзаарсан эсэхийг нэг утгаар асууж, давтамжийн хариулттай нийцэж байна.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,8,B007,4,4,3,4,4,4,4,moderate,low,moderate,pass,"Таагүй мэдрэмжийн үед идэхээс өөр аргаар тайвширсан үйлдлийг ойлгомжтой асуусан ч ерөнхий даван туулах чадвартай давхцана.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,9,B012,4,4,4,4,4,4,3,low,moderate,moderate,pass,"Төлөвлөгөөнөөс зөрсний дараа тухайн өдрийн төлөвлөгөөг орхисон эсэхийг тодорхой асуусан; “орхисон” нь бага зэрэг шүүмжлэлт өнгөтэй.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,10,B002,4,4,4,4,4,4,4,low,low,moderate,pass,"Гунигтай үеийн идэлт ба түр тайвшрах мэдрэмжийг шууд холбож асуусан бөгөөд хугацаа, давтамжийн сонголт тохирно.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R2-A,R2,health_psychology,GPT-5.6,gpt-5.6-terra,literal-v2-1,block_1,11,B028,4,4,4,4,4,4,4,low,low,moderate,pass,"Идэх явцад зогсоох эсвэл үргэлжлүүлэхийг удирдах хүндрэлийг нэг өгүүлбэрээр тодорхой асуусан.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
