review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,1,B003,4,4,4,4,4,4,4,low,low,moderate,pass,One coping response is stated for a defined emotional trigger and the opportunity option fits.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,2,B042,4,4,4,4,3,4,4,low,none,low,pass,The repeated-action cue and unplanned eating sequence are concrete and match typicality response options.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,3,B010,4,4,3,4,4,4,4,moderate,low,moderate,pass,Participation despite body discomfort is observable though it also reflects approach coping.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,4,B017,4,4,4,4,4,4,3,low,moderate,moderate,pass,The item directly captures all-or-nothing evaluation after a plan deviation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,5,B006,4,3,3,4,4,3,4,moderate,none,moderate,revise,The confidence target is suitable but one simple eating step is respondent-defined and may vary widely.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,6,B033,4,3,4,4,3,3,4,low,none,low,revise,The automatic reach is concrete but the phrase for being at a particular place is grammatically awkward.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,7,B037,4,4,4,4,4,4,4,low,low,moderate,pass,Confidence in returning at the next meal is a specific recovery behavior.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,8,B021,4,4,3,4,4,4,4,moderate,low,moderate,pass,The stress condition and confidence judgment are clear though plan adherence can include multiple behaviors.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,9,B004,4,4,4,4,4,4,4,low,low,moderate,pass,Pausing during eating to consider continuation is a single observable control behavior.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,10,B019,4,4,3,4,4,4,4,moderate,none,moderate,pass,Preparing a simplified plan is clear though it combines advance planning with implementation readiness.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,11,B036,4,4,3,4,4,4,4,moderate,none,low,pass,Continued food thoughts after advertising are clear but may reflect attention as well as cue reactivity.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,12,B025,4,4,4,4,3,4,4,low,none,low,pass,Choosing a snack without considering desire directly expresses low deliberation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,13,B040,4,4,4,4,3,4,4,low,none,moderate,pass,Deliberate choice before eating is a single behavior anchored to a recurring context.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,1,B034,4,4,4,4,3,4,4,low,none,low,pass,The transition from a routine action to automatic eating is explicit and singular.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,2,B039,4,4,3,4,4,4,4,moderate,none,moderate,pass,The item targets confidence under food availability though choice may reflect preference as well as control.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R8-B,R8,measurement_data_science,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_2,3,B024,4,4,4,4,4,4,3,low,moderate,moderate,pass,Failure to resume at the next meal clearly captures rebound after a deviation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
