review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,1,B038,4,4,4,4,4,4,4,low,none,low,pass,"The wording asks about noticing comfortable fullness during eating and fits a 14-day frequency response.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,2,B007,4,4,3,4,4,4,4,moderate,low,moderate,pass,"The item clearly describes using a non-eating calming response although it also reflects coping ability.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,3,B005,4,4,3,4,4,4,4,moderate,none,moderate,pass,"The visible-food cue and redirecting attention are clear but the wording also reflects attentional self-control.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,4,B002,4,4,4,4,4,4,4,low,low,low,pass,"The wording neutrally links eating while sad with temporary relief and avoids blame or diagnostic language.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,5,B010,4,4,3,4,4,4,4,moderate,low,moderate,pass,"The item describes participation despite body discomfort but also captures persistence and self-efficacy.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,6,B014,4,4,4,4,4,4,4,low,low,low,pass,"The item directly asks about eating after anger or frustration using neutral behavior-focused wording.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,7,B024,3,3,3,4,4,3,3,moderate,moderate,moderate,revise,"The double-negative description of not resuming a plan is cognitively demanding and may imply judgment after deviation.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,8,B025,4,4,4,4,4,4,4,low,none,low,pass,"The item gives a concrete snack-choice behavior and aligns with a general typicality scale.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,9,B013,4,4,4,4,4,4,4,low,none,low,pass,"The wording directly describes delayed awareness of having started eating and contains no moral framing.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,10,B033,4,4,4,4,4,4,4,low,none,low,pass,"The location cue and automatic reaching behavior are concrete and suitable for a typicality response.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SP-R7-A,R7,ethics_safety,GPT-5.6,gpt-5.6-sol,literal-v2-1,block_1,11,B032,3,3,3,4,4,3,4,moderate,none,moderate,revise,"The phrase about implementing a plan partially or fully combines two performance levels within one confidence judgment.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
