review_run_id,role_id,role_name,prompt_variant,model_family,model_variant,item_order_index,item_key,construct,facet,construct_relevance,facet_relevance,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_cultural_appropriateness,safety_ethical_acceptability,adjacent_construct_overlap,double_barreled_risk,leading_wording_risk,social_desirability_risk,shame_moral_judgment_risk,reverse_wording_risk,likely_cross_loading,potential_copyright_similarity,suggested_disposition,observable_rationale,optional_rewrite,synthetic_review_only
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,1,HA01,habit_automaticity,automatic_start,4,4,3,3,4,4,3,4,moderate,low,none,low,low,none,moderate,none,minor_rewrite,"«Бодолгүйгээр» нь автомат эхлэлийг илтгэвч «гараа сунгасан» нь зөвхөн гар хүрэх боломжтой хоолыг төсөөлүүлнэ.","Тодорхой цаг эсвэл газар болоход бодолгүйгээр идэх зүйл авч эхэлсэн.",true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,2,HA06,habit_automaticity,deliberate_choice,4,4,4,3,4,4,4,4,moderate,low,none,moderate,low,moderate,moderate,none,retain,"Өгүүлбэр ойлгомжтой боловч зориуд сонгох нь автомат бус байдлаас гадна өөрийгөө хянах чадвартай давхцаж болно.","",true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,3,HS04,hunger_satiety_awareness,comfortable_fullness,4,4,3,4,4,4,3,4,low,low,none,moderate,low,moderate,low,none,minor_rewrite,"«Тав тухтай цадсан мөч» нь орчуулгын өнгөтэй бөгөөд бүх уншигчид ижил утгаар ойлгохгүй байж болно.","Идэж байхдаа таатай хэмжээнд цадсанаа анзаарсан.",true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,4,UC06,uncontrolled_eating,pause_capacity,3,4,4,3,4,4,4,4,moderate,low,none,moderate,low,moderate,moderate,none,retain,"Түр зогсож бодох чадвар нь зогсоох хүндрэлээс гадна анхааралтай идэх болон шийдвэр гаргалтыг хэмжиж болно.","",true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,5,SE06,eating_self_efficacy,fatigue,3,3,2,2,3,3,2,4,high,moderate,none,moderate,low,none,high,none,major_rewrite,"«Хамгийн жижиг хувилбар» юуг хэлэх нь тодорхойгүй бөгөөд хоолны сонголт, порц эсвэл төлөвлөгөөний алхам гэж өөрөөр ойлгогдоно.","Ядарсан үедээ ч өөрт тохирох хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй байсан бэ?",true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,6,EE03,emotional_eating,boredom,4,4,4,3,4,4,4,4,moderate,moderate,low,moderate,low,none,moderate,none,minor_rewrite,"«Хийх зүйл хайхын оронд» нь хоёр зан үйлийг харьцуулж, завгүй бус байдал болон хооллохыг давхар асууна.","Уйдсан үедээ юм идэж эхэлсэн.",true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,7,RR03,restrictive_rebound,dichotomous_evaluation,4,4,4,4,4,4,4,3,low,low,low,moderate,moderate,none,low,none,retain,"«Бүтэлгүй» гэсэн үг нь бүхэл өдрийн туйлширсан үнэлгээг тод гаргавч өөрийгөө буруутгах өнгө аяс үүсгэж болно.","",true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,8,EC01,external_cue_reactivity,visual_cue,4,4,4,3,4,4,4,4,moderate,low,none,low,low,none,moderate,none,retain,"Харааны өдөөлт тодорхой боловч идэх хүсэл нь ердийн дуршилтай хэсэгчлэн давхцана.","",true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,9,EE04,emotional_eating,loneliness,4,4,4,4,4,4,4,4,low,low,none,moderate,moderate,none,low,none,retain,"Ганцаардал ба идэх хүслийн холбоо шууд, байгалийн хэллэгтэй; мэдрэмтгий ч буруутгасан өнгө аясгүй.","",true
ER-R5-C,R5,mongolian_language_culture,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,10,HA02,habit_automaticity,sequence,4,4,3,4,4,4,3,4,low,low,none,low,low,none,low,none,minor_rewrite,"«Автоматаар үргэлжилдэг дараалал болсон» нь хүндэвтэр, орчуулгын бүтэцтэй сонсогдоно.","Нэг үйлдлийн дараа юм идэх нь өөрийн эрхгүй дагадаг зуршил болсон.",true
