persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
SPR-SP13,SP13,1,B001,Маш их сульдсаны дараа л өлссөнөө мэдсэн.,Хичээл зааж болон гэрийн асаргаанд явж байгаад орой маш их сульдсан үедээ өлссөнөө анзаарсан.,true,Заримдаа,true,маш их сульдсан,false,false,false,false,4,Сүүлийн 14 хоногт ийм тохиолдол заримдаа байсан гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,2,B004,Идэж байхдаа цааш идэх эсэхээ бодоод түр завсарлаж чадсан.,Оройн хоолны үеэр дахин нэмж идэхийн өмнө хэсэг зогсож бодсон.,true,Заримдаа,true,үргэлжлүүлэх,false,false,true,false,4,Сүүлийн 14 хоногт хоолны үеэр түр зогсож бодсон нь заримдаа байсан гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,3,B030,Төлөвлөгөөгөө нэг удаа алгассаны дараа дараагийн удаа дахин баримталсан.,Ажлын болон асаргааны ачааллаас болж нэг хоолны төлөвлөгөө алдагдсан ч дараагийн хоолондоо буцаад төлөвлөсөн сонголт хийсэн.,true,Олон удаа,true,дараагийн удаа,false,false,true,false,4,Сүүлийн 14 хоногт төлөвлөгөө алдсаны дараа дараагийн хоолондоо эргэн орсон нь олон удаа байсан гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,4,B036,Хоолны сурталчилгаа үзсэний дараа хоолны тухай бодол удаан үргэлжилсэн.,Утсаар хоолны зар харсны дараа хичээл бэлдэх үедээ ч идэх юм бодогдсоор байсан.,true,Олон удаа,true,үргэлжилсэн,false,false,false,false,4,Сүүлийн 14 хоногт сурталчилгаа үзсэний дараах хоолны бодол олон удаа үргэлжилсэн гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,5,B015,Энэ асуултууд хоорондоо хэт адилхан санагдсан.,Асуулгын хэд хэдэн асуулт өмнөх асуулттай ижил утгатай мэт санагдсан.,true,Бага зэрэг санал нийлнэ,true,хэт төстэй,false,false,false,false,3,Одоогийн асуулгын үеэр зарим асуулт төстэй санагдсан ч бүгд давхардсан мэт биш байсан гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,6,B038,Идэж байхдаа таатай цадсан мөчөө мэдэрсэн.,Оройн хоолны үеэр цадсанаа таатайгаар мэдэрч хоолоо үргэлжлүүлэхээ түр бодсон.,true,Заримдаа,true,таатайгаар цадсан,false,false,true,false,3,Сүүлийн 14 хоногт цадсан мөчөө анзаарсан нь заримдаа байсан гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,7,B024,Төлөвлөснөөс өөр хооллосны дараа дараагийн хоолондоо төлөвлөгөөгөө үргэлжлүүлээгүй.,Айлын ажил болон ядаргаанаас болж төлөвлөөгүй зүйл идсэний дараа дараагийн хоолондоо төлөвлөгөөгөө дагаагүй.,true,Заримдаа,true,төлөвлөснөөс өөр,false,false,false,false,4,Сүүлийн 14 хоногт нэг удаагийн өөр сонголтын дараа дараагийн хоолны төлөвлөгөөгөө үргэлжлүүлээгүй нь заримдаа байсан гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,8,B042,Өдөр бүрийн нэг хэвшмэл үйлдлийн дараа бодолгүйгээр юм иддэг.,Хичээл тараад гэртээ ирсний дараа цай бэлдэхдээ автоматаар амттан авч иддэг.,true,Ихэнхдээ тохирно,true,бодолгүйгээр,false,false,false,false,4,Өдөр тутмын давтагддаг үйлдлийн дараа юм идэх нь ихэнхдээ өөрт нь тохирно гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,9,B032,Ядарсан үедээ хоолны төлөвлөгөөгөө бүрэн биш ч хэсэгчлэн мөрдөж чадна гэдэгтээ хэр итгэлтэй вэ?,Орой асаргааны ажил ихтэй үед ядарсан ч дараагийн хоолондоо төлөвлөсөн нэг сонголтыг хийхээ төсөөлөв.,true,Дунд зэрэг итгэлтэй,true,хэсэгчлэн хэрэгжүүлж,false,false,true,false,4,Ядарсан нөхцөлд төлөвлөгөөнийхөө зарим хэсгийг хэрэгжүүлэх итгэл дунд зэрэг гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,10,B013,Идэж эхэлснээ хэсэг хугацааны дараа л анзаардаг.,Ажлын дараа гэрийн ажил хийж байхдаа юм авч идсэнээ хэдэн хазалтын дараа мэдсэн.,true,Ихэнхдээ тохирно,true,хэсэг хугацааны дараа,false,false,false,false,4,Идэж эхэлснээ дараа нь анзаарах нь ихэнхдээ өөрт нь тохирно гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP13,SP13,11,B026,Зав багатай үедээ тохирох хоолны сонголт хийж чадна гэдэгтээ хэр итгэлтэй вэ?,Хичээлийн завсарлага богино бөгөөд гэр бүлийн ажил хүлээж байх үед урьдчилан бэлдсэн хоол эсвэл тохирох сонголт хийхээ төсөөлөв.,true,Дунд зэрэг итгэлтэй,true,тохирох сонголт,false,false,true,false,3,Зав багатай нөхцөлд тохирох хоол сонгох итгэл дунд зэрэг гэж сонгов.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
