interaction_id,construct_a,construct_b,hypothesized_mechanism,expected_behavior,report_interpretation,required_validation,validation_status,production_enabled
IH-001,restrictive_restraint_rebound,eating_self_efficacy,"Rigid rules may make an ordinary deviation feel unrecoverable when confidence in resuming is low.","More abandonment after a lapse than either main effect predicts.","A rigid plan and lower recovery confidence may reinforce each other; use a smaller flexible return step.","Preregistered product term; adequate power; incremental fit; calibration; independent replication; invariance review",hypothesis_only,false
IH-002,emotional_eating,stress_exposure_context,"Higher exposure to stress may create more occasions for affect-regulation eating.","More emotion-linked eating during high-stress periods.","Emotional eating may become more relevant when current stress exposure is high; stress is context, not a psychological score.","Longitudinal or intensive repeated-measures test; temporal ordering; main effects; independent replication",hypothesis_only,false
IH-003,external_cue_reactivity,habit_automaticity,"Salient food cues may trigger well-learned action sequences with little deliberation.","More unplanned eating in cue-rich recurring settings.","Environmental cues and automatic routines may combine; changing one recurring cue may be a useful starting hypothesis.","Preregistered interaction; behavioral criterion; out-of-sample prediction; replication",hypothesis_only,false
IH-004,body_image_avoidance,restrictive_restraint_rebound,"Appearance-related avoidance may increase pressure for rapid rigid change and make deviations more threatening.","More cycling between strict rules and disengagement.","Body-related avoidance and rigid rules may be linked, but neither score establishes why the other occurs.","Cross-sectional interaction followed by longitudinal confirmation; confounding review; replication",hypothesis_only,false
IH-005,implementation_maintenance_friction,prior_success_context,"A previously effective method may not persist when no low-burden maintenance version exists.","Initial success followed by difficulty resuming or maintaining after disruption.","Past success is a contextual strength; current friction may point to building a maintenance bridge.","Prospective follow-up; clearly defined success; temporal model; incremental predictive validity; replication",hypothesis_only,false
IH-006,hunger_satiety_awareness,external_cue_reactivity,"Clear internal signals may coexist with strong external pull; awareness alone may not prevent cue-triggered action.","Good signal awareness but continued cue-linked eating.","Internal awareness may be a strength even when food cues remain influential.","Profile/interaction model; criterion behavior; avoid difference-score artifacts; replication",hypothesis_only,false
IH-007,uncontrolled_eating,emotional_eating,"Affect-triggered initiation may be followed by difficulty stopping.","Greater subjective loss of control during emotionally demanding situations.","Emotion-linked starts and difficulty stopping may cluster; this is not a binge-eating diagnosis.","Event-level temporal assessment; diagnostic non-equivalence check; incremental validity; replication",hypothesis_only,false
IH-008,uncontrolled_eating,hunger_satiety_awareness,"Less usable satiety information may reduce one stopping cue after eating begins.","More continuation beyond intended amount when satiety is unclear.","Difficulty using fullness cues may accompany difficulty stopping, without implying physiological dysfunction.","Factor discriminant validity; local-dependence check; interaction test; replication",hypothesis_only,false
IH-009,implementation_maintenance_friction,eating_self_efficacy,"High setup burden may erode confidence, while low confidence may reduce attempts to simplify or resume.","Lower follow-through when both friction and low confidence are present.","A smaller implementation step may be relevant when practical friction and confidence are both unfavorable.","Longitudinal mediation-versus-moderation comparison; preregistration; replication",hypothesis_only,false
IH-010,habit_automaticity,eating_self_efficacy,"Automatic sequences may weaken the link between intention/confidence and enacted behavior.","Confidence predicts behavior less strongly when automaticity is high.","Confidence can be genuine while an automatic routine still needs a context-level change.","Moderated intention-behavior model; prospective behavior measure; out-of-sample validation",hypothesis_only,false
IH-011,restrictive_restraint_rebound,uncontrolled_eating,"Rigid restriction may increase perceived rebound risk after deviations, or both may share an unmeasured cause.","More abandonment and subjective loss of control after rule violations.","Rigid-rule and control-difficulty scores may cluster; causal direction is unknown.","Longitudinal/event-level design; confounder assessment; bidirectional models; replication",hypothesis_only,false
IH-012,body_image_avoidance,eating_self_efficacy,"Avoidance may reduce opportunities for mastery in social or movement-related situations.","Lower situation-specific confidence where body visibility is salient.","Body-related avoidance may narrow opportunities to build confidence; use non-stigmatizing options.","Prospective model; stigma and social-anxiety discriminant measures; invariance and fairness review",hypothesis_only,false
