persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
SPR-SP08,SP08,1,B031,"Өлсгөлөн маш хүчтэй болохоос өмнө би өлсөж эхэлснээ мэдэрсэн.","Ажилдаа анхаараад сууж байхдаа гэдэс бага зэрэг хонхолзож эхлэхийг анзаарч, дараа нь хооллосон.",true,"Заримдаа",true,"хэт хүчтэй",false,false,true,false,4,"14 хоногийн хугацааг ойлгомжтой хэрэглэж, тохиолдлын давтамжийг “Заримдаа” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,2,B014,"Уурлаж эсвэл бухимдсаны дараа би юм идсэн.","Ажлын захиалга гэнэт өөрчлөгдсөний дараа бухимдаж, өлсөөгүй ч зууш идсэн.",true,"Заримдаа",true,"юм идсэн",false,false,true,false,4,"Уурласан эсвэл бухимдсан үеийг хамтад нь нэг төрлийн боломж гэж авч, “Заримдаа” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,3,B011,"Хоолны дүрмээ жаахан зөрчихөд бүх оролдлого нурсан юм шиг надад санагдсан.","Төлөвлөөгүй амттан идсэний дараа тэр өдрийн хооллолтоо аль хэдийн алдсан мэт бодсон.",true,"Олон удаа",true,"бүх зүйл бүтэлгүйтсэн",false,true,true,false,5,"“Бүх зүйл бүтэлгүйтсэн” гэдэг өргөн хүрээтэй хэллэгийг тухайн өдрийн хоолны оролдлого гэж ойлгон “Олон удаа” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,4,B012,"Төлөвлөөгүй зүйл идсэнийхээ дараа тэр өдрийн үлдсэн хоолны төлөвлөгөөг дагахаа больсон.","Өдрийн хоолонд төлөвлөснөөс өөр зүйл идээд, оройн хоолоо ч төлөвлөгөөгүй сонгосон.",true,"Олон удаа",true,"хоолны төлөвлөгөөгөө орхисон",false,false,true,false,5,"“Орхисон” гэдгийг өдрийн үлдсэн төлөвлөгөөг дагахаа больсон гэж ойлгон “Олон удаа” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,5,B021,"Стресс ихтэй өдөр хоолны төлөвлөгөөгөө баримталж чадна гэдэгт би хэр итгэлтэй байна вэ?","Шахуу хугацаатай хэд хэдэн ажил давхцсан өдөр урьдчилан сонгосон хоолоо идэж байгаагаар төсөөлсөн.",true,"Бага зэрэг итгэлтэй",true,"хоолны төлөвлөгөө",false,false,true,false,4,"Төсөөлсөн стресстэй өдрийг ашиглаж, өгөгдсөн итгэлийн шатлалаас “Бага зэрэг итгэлтэй” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,6,B017,"Төлөвлөгөөгөө яг мөрдөөгүй өдрөө би бүтэлгүй өдөр гэж тооцсон.","Төлөвлөсөн цагаасаа орой хооллосныхоо дараа тэр өдрийн төлөвлөгөө амжилтгүй болсон гэж үзсэн.",true,"Олон удаа",true,"яг дагаагүй",false,true,true,false,5,"“Яг дагаагүй” гэдгийг хугацаа эсвэл сонголтоос ямар нэг зөрүү гарсан гэж ойлгон “Олон удаа” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,7,B034,"Байнга хийдэг нэг үйлдэл дуусахад би бодолгүйгээр идэж эхэлдэг.","Орой ажлын компьютераа хаасны дараа гал тогооноос зууш авах нь шууд дараагийн үйлдэл болсон.",true,"Ихэнхдээ тохирно",true,"тогтмол хийдэг нэг зүйл",false,false,true,false,4,"Нэг давтагддаг ажлын төгсгөлийг жишиг болгож, ерөнхий тохирлыг “Ихэнхдээ тохирно” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,8,B006,"Ядарсан үедээ урьдчилан сонгосон хооллолтын нэг хялбар алхмыг хийж чадна гэдэгт би хэр итгэлтэй байна вэ?","Орой ядарсан үедээ хоол захиалахын өмнө ус уух гэсэн сонгосон алхмаа хийж байгаагаар төсөөлсөн.",true,"Дунд зэрэг итгэлтэй",true,"нэг энгийн алхам",false,false,true,false,4,"Жишээ болгон нэг тодорхой алхам сонгож, итгэлийн түвшнийг “Дунд зэрэг итгэлтэй” гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,9,B030,"Төлөвлөгөөгөө нэг удаа алгассан ч дараагийн боломж дээр буцаад үргэлжлүүлсэн.","Нэг оройн хоол төлөвлөгөөнөөс гарсан ч маргааш өглөө сонгосон хооллолтоо дахин эхэлсэн.",true,"Заримдаа",true,"дараагийн удаа",false,false,true,false,5,"“Дараагийн удаа” гэдгийг дараагийн хооллох боломж гэж ойлгон “Заримдаа” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,10,B009,"Энэ асуулгыг бөглөхдөө өмнөхтэйгээ ижил хариулт сонгох хэрэгтэй юм шиг надад санагдсан.","Ойролцоо утгатай хоёр асуултыг дараалан хараад өмнөх сонголтоо давтах ёстой эсэхэд эргэлзсэн.",true,"Бага зэрэг санал нийлнэ",true,"адил сонголт",false,false,true,false,5,"Одоогийн асуулгын үеийн мэдрэмжийг шууд үнэлж, “Бага зэрэг санал нийлнэ” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP08,SP08,11,B027,"Хоолны үнэр нөлөөлж, би идэхээр шийдсэн.","Кафены хажуугаар өнгөрөхдөө шинэхэн боовны үнэр үнэртээд нэгийг авч идсэн.",true,"Олон удаа",true,"идэхээр шийдсэн",false,false,true,false,5,"Үнэрийн дараа идэх сонголт хийсэн тохиолдлыг тоолж, “Олон удаа” гэж сонгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
