persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
SPR-SP11,SP11,1,B025,"Зууш сонгохдоо үнэхээр өлсөж эсвэл идмээр байгаа эсэхээ бодолгүй сонгосон.","Гэрийн ажил дундуур цайны юм авахдаа өлсөөгүй ч шууд боорцог авсан.",true,"Дунд зэрэг тохирно",true,"идэх хүсэл",false,false,false,false,3,"Зууш ойр байх үе байдаг ч өдөр тутмын сонголт нь боломж болон айлд бэлэн байгаа хоолноос шалтгаална.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,2,B007,"Таагүй санагдсан үед хоол идэхийн оронд өөр зүйл хийж өөрийгөө тайвшруулсан.","Хүүхэд өвдөөд санаа зовсон үед хоол идэхийн оронд ус зөөж эсвэл хамаатантайгаа ярьсан.",true,"Заримдаа",true,"таагүй мэдрэмж",false,false,false,false,3,"Таагүй үе гардаг боловч тайвшруулах арга нь тухайн үед хийх ажил болон хүнтэй ярилцах боломжтой эсэхээс хамаарна.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,3,B016,"Цадсанаа мэдсэн ч хоолоо зогсоох уу гэдгээ шийдэхэд хэцүү байсан.","Оройн хоолонд цадсан ч хоол үлдээх үү эсвэл дуусгах уу гэж эргэлзсэн.",true,"Ховор",true,"цадсанаа анзаарсан",false,false,false,false,4,"Хоол ховордож болох үед үлдээхээс зайлсхийх бодол төрж болох ч ийм шийдвэр байнга гарахгүй.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,4,B020,"Бэлтгэх юм их санагдсан учраас хийхээр төлөвлөснөө хойшлуулсан.","Хоол бэлтгэхийн өмнө ус авчрах, гал түлэх хэрэгтэй болоод өөрийн хийхээр бодсон ажлыг хойшлуулсан.",true,"Олон удаа",true,"олон бэлтгэл",false,false,false,false,4,"Өндөр асаргааны ачаалал болон гэрийн ажлууд давхцахад бэлтгэл ихтэй зүйлс хойшлогдож болно.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,5,B028,"Идэж байхдаа зогсох уу үргэлжлүүлэх үү гэдгээ барихад хэцүү байсан.","Ядарсан орой хооллосныхоо дараа дахин идэх үү гэж шийдэж чадаагүй.",true,"Ховор",true,"удирдахад",false,false,false,false,3,"Идэх хэмжээ нь бэлэн хоол, өлсгөлөн, хамт хооллож буй хүмүүсээс шалтгаалж болох тул асуултын үг нь ерөнхий санагдана.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,6,B038,"Идэж байхдаа таатай сайхан цадсанаа мэдэрсэн.","Өдрийн ажил хийсний дараа хооллоод хангалттай боллоо гэж мэдэрсэн.",true,"Заримдаа",true,"таатайгаар цадсан",false,false,false,false,3,"Цадсан мэдрэмжийг анзаарах боломжтой ч ""таатайгаар"" гэдэг нь хүн бүрт өөрөөр ойлгогдож болно.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,7,B036,"Хоолны сурталчилгаа үзсэний дараа хоолны тухай бодол удаан үргэлжилсэн.","Утсаар богино бичлэг үзэхэд хоолны зар гараад дараа нь идэх юм бодогдсон.",true,"Ийм нөхцөл тохиолдоогүй",true,"сурталчилгаа",false,false,false,false,5,"Интернет, телевизийн хэрэглээ бага тул сүүлийн 14 хоногт хоолны сурталчилгаа үзэх нөхцөл гараагүй гэж сонгосон.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,8,B002,"Гунигтай үед хоол идэхэд түр зуур арай тайвширсан мэт санагдсан.","Санаа зовсон өдөр цайтай хоол идсэний дараа түр арай дээрдсэн мэт санагдсан.",true,"Ховор",true,"гунигтай",false,false,false,false,4,"Хоолыг таагүй мэдрэмжээ намжаахын тулд сонгох нь энэ дүрд ховор тохиолдол гэж сонгосон.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,9,B006,"Ядарсан үедээ хооллолттой холбоотой нэг амархан хийх зүйлээ хийж чадна гэдэгтээ хэр итгэлтэй вэ?","Ядарсан орой ус уух эсвэл хоолны хэмжээгээ багасгах зэрэг нэг энгийн зүйлийг хийхээр бодсон.",true,"Дунд зэрэг итгэлтэй",true,"хооллолтын нэг энгийн алхам",false,false,true,false,3,"Ядарсан үед өөрийн сонгосон энгийн алхам юу болох нь тодорхойгүй тул итгэлээ дунд зэрэг гэж сонгосон.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,10,B023,"Танил газар байхдаа бодолгүйгээр идэж эхэлсэн.","Гэртээ цай бэлдэж байхдаа өлсөөгүй ч ширээн дээрх идээнээс авч идэж эхэлсэн.",true,"Бага зэрэг тохирно",true,"танил орчин",false,false,false,false,3,"Гэрийн танил орчинд идэх зүйл бэлэн байвал шууд амсах үе байж болох ч тогтмол биш.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP11,SP11,11,B012,"Төлөвлөснөөсөө өөр хоол идсэний дараа тухайн өдрийн хоолны төлөвлөгөөгөө болисон.","Зочин ирээд төлөвлөөгүй хоол идсэний дараа тэр өдрийн хоолны бодсоноо дагахгүй болсон.",true,"Ховор",true,"хоолны төлөвлөгөө",false,false,false,false,3,"Өдөр тутам нарийн хоолны төлөвлөгөө гаргадаг эсэх нь тодорхой биш ч төлөвлөгөө байсан тохиолдлыг бодож хариулж болно.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
