source_item_key,revised_item_key,original_misinterpretation_count,revised_misinterpretation_count,original_scale_mismatch_count,revised_scale_mismatch_count,original_recall_problem_count,revised_recall_problem_count,original_judgment_flag_count,revised_judgment_flag_count,original_overlap_flags,revised_overlap_flags,construct_preserved,synthetic_improvement,remaining_issue,pilot_candidate,synthetic_review_only,status_label
EE02,EE02-V21,1,0,0,0,0,0,0,0,expert_moderate_or_high=23/24;synthesis=moderate,expert_moderate_or_high=8/16,true,no_clear_synthetic_change,Moderate shame risk appeared in 10/16 expert runs.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EE05,EE05-V21,1,0,0,0,0,0,0,0,expert_moderate_or_high=20/24;synthesis=moderate,expert_moderate_or_high=7/16,true,no_clear_synthetic_change,Moderate shame risk appeared in 10/16 expert runs and 3/4 personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EE06,EE06-V21-A,1,0,0,0,0,0,0,0,expert_moderate_or_high=24/24;synthesis=high,expert_moderate_or_high=15/16,true,no_clear_synthetic_change,Overlap remained 15/16 and the alternative coping method stayed broad.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EE06,EE06-V21-B,1,0,0,0,0,0,0,0,expert_moderate_or_high=24/24;synthesis=high,expert_moderate_or_high=15/16,true,no_clear_synthetic_change,Overlap remained 15/16 and all four personas saw an obvious desirable answer.,false,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EC02,EC02-V21,0,0,0,0,0,0,0,0,expert_moderate_or_high=15/24;synthesis=moderate,expert_moderate_or_high=7/16,true,no_clear_synthetic_change,One persona saw an obvious desirable answer and the causal phrase remains broad.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EC04,EC04-V21,2,0,3,0,0,0,0,0,expert_moderate_or_high=17/24;synthesis=moderate,expert_moderate_or_high=7/16,true,synthetic_rate_improved,The duration of continued thought and the boundary of advertising remain unspecified.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
EC06,EC06-V21,1,0,0,0,0,0,0,0,expert_moderate_or_high=19/24;synthesis=moderate,expert_moderate_or_high=10/16,true,no_clear_synthetic_change,Overlap remained 10/16 and 3/4 personas saw an obvious desirable answer.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
UC02,UC02-V21,1,0,0,0,0,0,0,0,expert_moderate_or_high=20/24;synthesis=moderate,expert_moderate_or_high=5/16,true,no_clear_synthetic_change,Moderate shame risk appeared in 12/16 expert runs.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
UC04,UC04-V21,1,0,0,0,0,0,4,0,expert_moderate_or_high=19/24;synthesis=moderate,expert_moderate_or_high=7/16,true,synthetic_rate_improved,Moderate shame risk appeared in 12/16 expert runs and control remains somewhat broad.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
UC06,UC06-V21,1,0,0,0,0,0,0,0,expert_moderate_or_high=20/24;synthesis=moderate,expert_moderate_or_high=9/16,true,no_clear_synthetic_change,Overlap remained 9/16 and pausing is still linked to deliberation.,true,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
