persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
SPR-SP14,SP14,1,B012,"Төлөвлөөгүй зүйл идчихээрээ тэр өдрийн хоолны дэглэмээ цааш бариагүй.","Ажил сунжраад төлөвлөөгүй хоол идсэний дараа оройн төлөвлөгөөгөө дагахаа больсон өдөр.",true,"Заримдаа",true,"",false,false,true,false,4,"14 хоногийн хугацааг ашиглан заримдаа гэж сонгов; төлөвлөснөөс өөр идэх ба тухайн өдрийн үлдсэн төлөвлөгөөг орхихыг нэг дараалсан нөхцөлөөр ойлгов.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,2,B020,"Хийхэд их бэлтгэл ордог болохоор төлөвлөсөн зүйлээ дараа болгосон.","Хоол бэлтгэхэд олон юм базаах хэрэгтэй санагдаж, ажлын дараа хийхээ хойшлуулсан.",true,"Олон удаа",true,"Олон бэлтгэл",false,false,true,false,4,"14 хоногийн хугацаанд олон удаа гэж сонгов; бэлтгэл их шаардах гэсэн утгыг ойлгосон ч яг ямар бэлтгэлийг хэлснийг тодорхой бус гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,3,B030,"Нэг удаа хийх ёстойгоо хийгээгүй ч дараагийн боломж дээрээ дахин үргэлжлүүлсэн.","Нэг орой төлөвлөсөн хоолоо бариагүй ч маргааш нь төлөвлөгөөндөө буцсан.",true,"Заримдаа",true,"Дараагийн удаа",true,false,true,false,3,"14 хоногийг санаж заримдаа гэж сонгов; алгассан үйлдэл болон дараа нь эргэн үргэлжлүүлсэн үйлдлийг хамтад нь асууж байна гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,4,B017,"Төлөвлөгөөгөө ягштал бариагүй өдрөө би бүтэлгүйтлээ гэж бодсон.","Төлөвлөсөн хоолноосоо өөр зүйл идээд тэр өдрийг амжилтгүй болсон гэж үзсэн.",true,"Ховор",true,"Бүтэлгүйтсэн",false,true,true,false,4,"14 хоногийн хугацаанд ховор гэж сонгов; бүтэлгүйтсэн гэдэг үгийг шүүмжилсэн өнгөтэй бөгөөд хүсүүштэй хариу илэрхий гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,5,B010,"Биеэсээ болж тавгүй санагдсан ч хүссэн ажилдаа оролцсон.","Хүмүүстэй хийх ажилд очих үед биеийн төрхдөө эвгүйрхсэн ч оролцсон.",true,"Ийм нөхцөл тохиолдоогүй",true,"Биеийнхээ талаар тавгүй; хийхийг хүссэн зүйл",false,false,true,false,3,"30 хоногийн хугацаанд ийм нөхцөл тохиолдоогүй гэж сонгов; биеийн төрхөөс эвгүйрхэхийг гэмтлийн биеийн зовиураас ялгахад үг нь өргөн гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,6,B029,"Биеийн төрхөндөө санаа зовж, хүмүүс оролцдог ажлаас хол байсан.","Биеийнхээ харагдах байдалд санаа зовсноос баяр ёслол эсвэл нийтийн ажилд очоогүй.",true,"Огт байгаагүй",true,"Хүмүүсийн дунд хийх үйл ажиллагаа",false,false,true,false,4,"30 хоногийн хугацаанд огт байгаагүй гэж сонгов; олон нийтийн ямар үйл ажиллагааг хамруулж байгааг өргөн гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,7,B022,"Бусадтай хооллохдоо өөрийнхөөрөө хоолоо сонгож чадна гэдэгтээ хэр итгэлтэй байна вэ?","Айлын найр эсвэл хамтын хоолон дээр өөрт тохирох хоолоо сонгох нөхцөлийг төсөөлсөн.",true,"Дунд зэрэг итгэлтэй",true,"Өөрийн сонголт",false,false,true,false,3,"Төсөөлсөн нөхцөлд дунд зэрэг итгэлтэй гэж сонгов; өөрийн сонголт гэдэг нь хоолны төрөл, хэмжээ эсвэл татгалзахыг хэлж байгаа эсэх тодорхой бус гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,8,B042,"Өдөр бүр хийдэг нэг зүйлийнхээ араас өөрөө ч анзааралгүй юм иддэг.","Өдрийн ажлаа дуусгаад гэрт орох бүрдээ бодолгүйгээр жижиг зүйл идэх.",true,"Бага зэрэг тохирно",true,"Нэг үйлдэл; бодолгүйгээр",false,false,true,false,3,"Ерөнхий хэв маягийг бодож бага зэрэг тохирно гэж сонгов; ямар давтагддаг үйлдэл болон ямар хэмжээнд анзаараагүй идэхийг хэлснийг тодорхой бус гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,9,B015,"Энэ асуулгын зарим асуулт бараг адилхан санагдсан.","Одоогийн асуулгад төлөвлөгөөг алгасах, орхих тухай хэд хэдэн асуултыг хооронд нь төстэй гэж мэдэрсэн.",true,"Дунд зэрэг санал нийлнэ",true,"Хэт төстэй",false,false,false,false,4,"Одоогийн асуулгын туршлагад тулгуурлан дунд зэрэг санал нийлнэ гэж сонгов; хэт төстэй байх босго нь хүн бүрт өөр байж болохыг тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,10,B031,"Өлсгөлөн маш их болохоос өмнө өлсөж эхэлснээ мэдсэн.","Ажлын зав гарахаас өмнө өлсөж байгаагаа анзаарсан ч хооллох цаг нь тогтмол биш байсан.",true,"Заримдаа",true,"Хэт хүчтэй",false,false,true,false,3,"14 хоногийн хугацаанд заримдаа гэж сонгов; өлсөлт хэзээ хэт хүчтэйд тооцогдох нь тодорхой бус гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
SPR-SP14,SP14,11,B040,"Байнга давтагддаг үед идэхийн өмнө юу сонгохоо боддог.","Ажлын дараа хооллох бүрдээ гарын дор байгааг шууд идэхээс өмнө сонголтоо нэг бодох.",true,"Дунд зэрэг тохирно",true,"Давтагддаг нөхцөл; сонголтоо бодож хийсэн",false,false,true,false,3,"Ерөнхий хэв маягийг бодож дунд зэрэг тохирно гэж сонгов; ямар нөхцөл давтагдах болон бодож сонгосны шалгуур тодорхой бус гэж тэмдэглэв.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
