adjudicator_id,adjudicator_lens,item_key,expert_role_agreement,persona_interpretation_agreement,dominant_misunderstanding,response_scale_mismatch,recall_period_mismatch,social_desirability_concern,shame_concern,construct_overlap_concern,reverse_item_concern,proposed_disposition,revision_priority,candidate_revised_wording,unresolved_scientific_decision,observable_synthesis,synthetic_review_only
"ADJ-E","ethics_safety","EE01","high","high","Стресстсэн үеийн босго өргөн ойлгогдож болно.","none","none","moderate","moderate","moderate","none","retain","low","","Стрессийн босго өөр өөр хариулагчид ижил утгатай эсэх нь шийдэгдээгүй.","20/24 synthetic roles rated safety 3 and 2/6 personas flagged judgment; the behavior itself was consistently understood.","true"
"ADJ-E","ethics_safety","EE02","low","high","Түр тайвшрах мэдрэмжийг гунигийн улмаас идсэн үйлдэлтэй адилтгаж болно.","low","none","moderate","moderate","moderate","none","minor_rewrite","medium","Сэтгэл гунигтай үедээ тайвшрахын тулд юм идсэн.","Тайвшрах хүлээлт эсвэл бодит идэх үйлдлийн алийг хэмжих нь шийдэгдээгүй.","Roles split 10 retain, 10 minor rewrite, and 4 major rewrite; 5/6 personas marked түр тайвшруулна ambiguous.","true"
"ADJ-E","ethics_safety","EE03","moderate","moderate","Өөр зүйл хийхийн оронд гэсэн харьцуулалт нь идэхээс илүү өргөн сонголт хэмжиж болно.","none","none","moderate","low","moderate","none","minor_rewrite","low","Уйдсан үедээ юм идэж эхэлсэн.","Зан үйлийн орлуулалтыг facet-д заавал хадгалах эсэх нь шийдэгдээгүй.","13/24 roles retained and 10/24 preferred a minor rewrite; 2/6 personas flagged judgment but all could use the scale.","true"
"ADJ-E","ethics_safety","EE04","high","high","Ганцаардсан мэдрэмжийн босго хувь хүн бүрт өөр байж болно.","none","none","moderate","moderate","low","none","retain","low","","Идэх хүсэл ба бодит идэх үйлдлийн ялгааг тусад нь шалгах эсэх нь шийдэгдээгүй.","All 24 roles retained; 20/24 rated safety 3 while no persona flagged shame or an obvious desirable answer.","true"
"ADJ-E","ethics_safety","EE05","moderate","moderate","Хоол руу хандсан хэллэг нь хүсэл, шийдвэр, идэх үйлдлийн аль нь болохыг бүдгэрүүлнэ.","none","none","moderate","moderate","moderate","none","minor_rewrite","medium","Уурласан эсвэл бухимдсан үедээ юм идсэн.","Уур ба бухимдлыг нэг өдөөгч болгон үлдээх эсэх нь шийдэгдээгүй.","16/24 roles preferred a minor rewrite and 4/6 personas marked хоол руу хандсан ambiguous.","true"
"ADJ-E","ethics_safety","EE06","low","moderate","Таагүй мэдрэмж өргөн бөгөөд чадсан гэдэг нь өөрийгөө хянахыг зөв хариулт мэт болгоно.","low","none","high","moderate","high","high","major_rewrite","high","Таагүй мэдрэмж төрөх үедээ хоол идэхгүй өнгөрөөсөн.","Эерэг чиглэлтэй энэ зан үйлийг ичгүүр нэмэхгүйгээр хэмжиж болох эсэх нь шийдэгдээгүй.","All 6 personas saw an obvious desirable answer; roles split across five dispositions and 23/24 flagged moderate or high reverse risk.","true"
"ADJ-E","ethics_safety","EC01","high","high","none","none","none","low","low","moderate","none","retain","none","","Харааны дохионоос үүссэн хүсэл нь ердийн сонирхлоос ялгарах босго шийдэгдээгүй.","All 24 roles rated safety 4 and retained; no persona flagged shame, desirability, or option mismatch.","true"
"ADJ-E","ethics_safety","EC02","moderate","high","Анхаарал татах ба идэхээр шийдэх хоёр үе шатыг нэг шалтгаант хэлхээ болгож болно.","none","none","low","low","moderate","none","retain","low","","Анхаарал эсвэл шийдвэрийн нөлөөг гол facet болгох нь шийдэгдээгүй.","All 24 roles rated safety 4; no persona flagged shame or desirability, though roles differed on wording precision.","true"
"ADJ-E","ethics_safety","EC03","high","high","Ойрхон бэлэн байдал ба төлөвлөөгүй цагийн аль нөлөөг голчлон хариулах нь бүдэг.","none","none","moderate","low","moderate","none","retain","low","","Төлөвлөгөөгүй хариулагчид planned timing-ийг хэрхэн тайлбарлах нь шийдэгдээгүй.","All 24 roles rated safety 4 and 21/24 retained; 3/6 personas saw an obvious desirable answer but none flagged shame.","true"
"ADJ-E","ethics_safety","EC04","moderate","moderate","Апп ба сурталчилгаа нь өртөлтийн өөр нөхцөл бөгөөд заримд нь хамаарахгүй.","moderate","none","low","low","moderate","none","minor_rewrite","medium","Хоолны зураг эсвэл сурталчилгаа харсны дараа хоол бодогдсоор байсан.","Дижитал аппыг тусгайлан хэмжих шаардлагатай эсэх нь шийдэгдээгүй.","All roles rated safety 4, but 3/6 personas reported missing non-applicability and 3/6 said the response options did not fit.","true"
