review_run_id,role_id,role_name,prompt_variant,model_family,model_variant,seed,item_order_hash,input_file,output_file,synthetic_review_only
ER-R1-A,R1,psychometrician,strict-content-v2,GPT-5.6,gpt-5.6-sol,3216930683355608887,51cef98d536fcece233908066d4cbcf2dae42334f1d0c7516e11648eeebc6a2e,expert-run-inputs/ER-R1-A.json,expert-run-outputs/ER-R1-A.csv,true
ER-R1-B,R1,psychometrician,plain-language-v2,GPT-5.6,gpt-5.6-terra,7725637779443691615,af2fe1769344c638e4f14fe281064a40557d6c5b57e24384e1db39cf55b66bf4,expert-run-inputs/ER-R1-B.json,expert-run-outputs/ER-R1-B.csv,true
ER-R1-C,R1,psychometrician,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,4597390225304591387,348d725c9fd3d53403f64c1e014ad956ca16c695c82b7e7cd6bf745a6461b074,expert-run-inputs/ER-R1-C.json,expert-run-outputs/ER-R1-C.csv,true
ER-R2-A,R2,health_psychology,strict-content-v2,GPT-5.6,gpt-5.6-terra,13126958091326569286,530365faa2df5e37f7f918d795a2e7e55e1a705b19f02bd76691d2650199f5ce,expert-run-inputs/ER-R2-A.json,expert-run-outputs/ER-R2-A.csv,true
ER-R2-B,R2,health_psychology,plain-language-v2,GPT-5.6,gpt-5.6-sol,10393728492432069018,7c68019c82ce30e12c99d426d8c7a08191153392a60c83a0b58a8b4dd71723c0,expert-run-inputs/ER-R2-B.json,expert-run-outputs/ER-R2-B.csv,true
ER-R2-C,R2,health_psychology,boundary-stress-v2,GPT-5.6,gpt-5.6-terra,18276833165537952965,56ef9b5be6496098fa902c61971357c219d68708e471d4c7acf2600474d33fa8,expert-run-inputs/ER-R2-C.json,expert-run-outputs/ER-R2-C.csv,true
ER-R3-A,R3,behavioral_science,strict-content-v2,GPT-5.6,gpt-5.6-sol,9569361081778834781,94d62cadb55286b7fc14daf4e746f1c69869fe284f3fe33f2574287a6fac9eb7,expert-run-inputs/ER-R3-A.json,expert-run-outputs/ER-R3-A.csv,true
ER-R3-B,R3,behavioral_science,plain-language-v2,GPT-5.6,gpt-5.6-terra,259429655014730764,5c21417f8238b8966e92ab39b3b864591331553fae3b9a92df15a3b3f6895724,expert-run-inputs/ER-R3-B.json,expert-run-outputs/ER-R3-B.csv,true
ER-R3-C,R3,behavioral_science,boundary-stress-v2,GPT-5.6,gpt-5.6-sol,14180661797548349086,59845f7db818fd8a2c13a8dbf344e33d000e45d45c4581507e9ee1656c814644,expert-run-inputs/ER-R3-C.json,expert-run-outputs/ER-R3-C.csv,true
ER-R4-A,R4,dietitian_weight_management,strict-content-v2,GPT-5.6,gpt-5.6-terra,8293591035697968378,2fc27019922780d0ce033c8d98d4be2df7fdbad571717b4d3f105b6f0a6bb219,expert-run-inputs/ER-R4-A.json,expert-run-outputs/ER-R4-A.csv,true
