review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,1,B006,4,4,4,4,4,4,4,low,none,low,pass,Names one feasible eating step under fatigue and matches a confidence scale.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,2,B037,4,4,4,4,4,4,4,low,low,low,pass,Asks confidence in returning at the next meal after an unplanned choice without moralized wording.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,3,B039,4,4,4,4,4,4,4,low,none,low,pass,Directly presents nearby food as a cue and asks confidence in making an eating decision.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,4,B009,3,3,3,4,4,4,4,moderate,low,moderate,revise,Perceived pressure to repeat a prior response is clear but is not the same as semantic consistency.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,5,B031,4,4,4,4,4,4,4,low,none,low,pass,Describes noticing early hunger within a defined 14-day period and fits frequency response options.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,6,B004,4,4,4,4,4,4,4,low,none,low,pass,Uses an observable pause during eating as a focused indicator of capacity to interrupt continuation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,7,B018,4,4,4,4,4,4,4,low,low,low,pass,Compares actual intake with the respondent's initial intended amount in one concise behavior statement.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,8,B042,4,4,4,4,4,4,4,low,none,low,pass,Links eating without deliberation to a repeated preceding action and includes a no-context option.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,9,B041,3,4,3,4,4,4,4,moderate,none,low,revise,Combines noticing hunger with difficulty deciding to begin eating so awareness and decision conflict may overlap.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,10,B023,4,4,4,4,4,4,4,low,none,low,pass,Identifies a familiar setting as the trigger for starting to eat without deliberation.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R4-B,R4,dietitian_weight_management,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,11,B019,4,4,4,4,4,4,4,low,none,low,pass,Specifies advance preparation of a simpler plan version for busy days within the recall window.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
