persona_code,block_order,item_key,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only
P01,1,RR01,Хоолны дүрмээс жаахан зөрөхөд бүх төлөвлөгөө бүтэлгүйтсэн мэт санагдсан.,Найзтайгаа гадуур нэг амттан идсэний дараа хоолны дэглэмээ бүхэлд нь алдсан мэт бодох.,true,not_applicable,false,хоолны дүрэм,false,false,false,true,4,Өмнө нь хоолны дэглэм барьж байгаагүй тул сонголт тохирохгүй.,true
P01,2,UC03,Цадсан гэдгээ мэдсэн ч идсээр байсан.,Оройн хоолны дараа цадсан ч ширээн дээрх үлдсэн хоолноос дахин идэх.,true,Ховор,true,,false,false,false,false,4,Сүүлийн 14 хоногийн энгийн хооллолтоор хариулах боломжтой.,true
P01,3,EE03,Уйдахдаа өөр зүйл хийхийн оронд юм идэж эхэлсэн.,Автобус хүлээхдээ уйдаад дэлгүүрээс жижиг зууш авах.,true,Ховор,true,,false,false,false,false,4,Уйдах үе болон идэх үйлдэл ойлгомжтой.,true
P01,4,HA05,Зууш авахдаа үнэхээр идмээр байгаа эсэхээ бодолгүй сонгосон.,Хичээлийн завсарлагаар өлсөөгүй ч кассны дэргэдэх чипсийг авах.,true,Заримдаа,true,үнэхээр хүсэж байгаа,false,false,false,false,3,Хүсэлтэй эсэхээ яаж бодох нь бага зэрэг тодорхойгүй.,true
P01,5,EC02,Хоолны үнэр идэхээр шийдэхэд нөлөөлсөн.,Метронд ойр талхны газрын үнэр үнэртээд талх авах.,true,Заримдаа,true,,false,false,false,false,5,Үнэр болон идэх шийдвэрийн холбоо тодорхой.,true
P01,6,IM05,Нэг удаа алгассан ч дараагийн удаа буцаад үргэлжлүүлсэн.,Төлөвлөсөн хоолоо нэг удаа алгассан ч дараагийн хоолондоо төлөвлөгөөгөө дагах.,true,not_applicable,false,алгассан,false,false,false,true,4,Тогтсон төлөвлөгөө байхгүй тул сонголт тохирохгүй.,true
P01,7,SE05,Төлөвлөөгүй хооллосны дараа дараагийн удаа буцаад үргэлжлүүлж чадна гэдэгтээ хэр итгэлтэй байсан бэ?,Найзын төрсөн өдөрт бялуу идсэний дараа дараагийн хоолоо төлөвлөснөөрөө идэж чадна гэж бодох.,true,not_applicable,false,дараагийн боломж,false,false,false,true,4,Хоолны төлөвлөгөөний туршлагагүй тул итгэлийн шатлал тохирохгүй.,true
P01,8,EE06,Таагүй мэдрэмж төрөхөд хоол идэхгүйгээр давж гарсан.,Шалгалтын дүнгээс болж санаа зовсон ч хоол авч идэхийн оронд алхах.,true,Олон удаа,true,таагүй мэдрэмж,false,false,true,false,3,Таагүй мэдрэмж өргөн утгатай бөгөөд сайн хариулт мэт сонсогдоно.,true
P01,9,RR06,Төлөвлөснөөс өөр идсэн ч дараагийн хоолондоо ердийн хэмнэлдээ орсон.,Нэг өдөр гадуур хооллосны дараа дараагийн хоолондоо энгийн хооллолтдоо орох.,true,not_applicable,false,хэвийн хэмнэл,false,false,false,true,4,Төлөвлөсөн хооллолтгүй учир хариулах нөхцөл бүрдээгүй.,true
P01,10,BI02,Биеэ харахад эвгүй санагдаад толь харахаас зайлсхийсэн.,Өглөө хувцаслахдаа толинд харахгүй байхыг хичээх.,true,Огт байгаагүй,true,биеэ харах эвгүй,false,true,false,false,5,Өөрийн сүүлийн үеийн үйлдлээр шууд хариулж болно.,true
P01,11,HS04,Идэж байхдаа тав тухтай цадсан үеэ мэдэрсэн.,Өдрийн хоолны үеэр хангалттай болсон гэдгээ анзаараад идэхээ болих.,true,Заримдаа,true,тав тухтай цадсан,false,false,true,false,3,Цадсан мэдрэмж ойлгомжтой ч сайн хариулт мэт санагдаж болно.,true
P01,12,UC01,Идэж эхэлсний дараа хүссэн үедээ зогсоох хэцүү байсан.,Кино үзэж байхдаа попкорн идээд болиод тавихад хэцүү санагдах.,true,Ховор,true,,false,false,false,false,5,Үйлдэл болон хугацаа тодорхой.,true
P01,13,IM04,Өдрийн хуваарь өөрчлөгдөхөд төлөвлөгөө бүрэн тасарсан.,Хичээлийн цаг солигдоход урьдчилан бодсон хоолны цаг бүхэлдээ алдагдах.,true,not_applicable,false,төлөвлөгөө тэр чигтээ,false,false,false,true,4,Тогтсон хоолны төлөвлөгөөгүй тул хамаарахгүй сонголт хэрэгтэй.,true
P01,14,AC01,Энэ асуултад чанар шалгахын тулд «Заримдаа»-г сонгоно.,Асуултын зааврыг уншаад заасан хариултыг тэмдэглэх.,true,Заримдаа,true,,false,false,false,false,5,Заавар тодорхой бөгөөд заасан сонголт байна.,true
P02,1,EE03,Уйдахаараа өөр юм хийхийн оронд идсэн,Ээлж нам гүм үед хийх ажилгүй болоод амттан авсан,true,Заримдаа,true,,false,false,false,false,4,Уйдсан үеэ санаж давтамжаар сонгож чадна,true
P02,2,IM02,Бэлтгэх юм их байсан болохоор төлөвлөгөөгөө хойшлуулсан,Ажилдаа авч явах хоол бэлтгэх цаггүй тул эхлэх өдрөө хойшлуулсан,true,Олон удаа,true,олон бэлтгэл,false,false,false,false,4,Ээлжийн хуваарьтай үед хойшилсон тохиолдол амархан санаанд орно,true
P02,3,IM01,Хэзээ юу хийхээ мэдээгүй болохоор төлөвлөгөөгөө эхлүүлээгүй,Аль өдөр дасгал эхлэхээ шийдээгүй тул огт эхлээгүй,true,Заримдаа,true,төлөвлөгөө,false,false,false,false,4,Тодорхойгүйгээс эхлээгүй өдрүүдээр хариулсан,true
P02,4,BI05,Хүмүүс миний биеийг харах байх гэж санаа зовоод хөдөлгөөн хийгээгүй,Олон хүнтэй зааланд дасгал хийхээс татгалзсан,true,Огт байгаагүй,true,,false,false,true,false,5,Ийм санаа зовнил байгаагүй тул шууд сонголт хийсэн,true
P02,5,HS06,Биеийн мэдрэмжээ анзаарсан ч хэзээ эхлэх эсвэл болихоо шийдэж чадаагүй,Цадсанаа мэдсэн ч тавагт үлдсэн хоолоо үргэлжлүүлэн идсэн,true,Заримдаа,true,биеийн дохио,true,false,false,false,3,Эхлэх ба зогсох гэсэн хоёр шийдвэрийг нэг дор асуусан,true
P02,6,EE01,Стресстэй үед өлсөөгүй ч идсэн,Ачаалалтай ээлжийн дараа өлсөөгүй мөртлөө чипс идсэн,true,Олон удаа,true,,false,false,false,false,5,Стресстэй холбоотой тодорхой тохиолдлуудыг санаж сонгосон,true
P02,7,RR04,Төлөвлөөгүй юм нэг идчихээд тэр өдрийн үлдсэн хооллолтоо хянахаа больсон,Өдрийн хоолонд төлөвлөөгүй хуушуур идээд орой хүссэнээ идсэн,true,Заримдаа,true,хяналтгүй орхисон,true,true,true,false,4,Нэг удаагийн өөрчлөлт болон үлдсэн өдрийн зан үйлийг хамтад нь үнэлсэн,true
P02,8,HA02,Нэг юм хийсний дараа идэх нь өөрийн эрхгүй дагадаг зуршил болсон,Оройн ээлжээс буугаад гэрт орох бүрдээ зууш авсан,true,Олон удаа,true,нэг үйлдэл,false,false,false,false,4,Ямар үйлдэл гэдгийг өөрөө сонгон санах шаардлагатай ч давтамж өгч чадна,true
P02,9,EC03,Хоол гарын дор байсан болохоор төлөвлөөгүй үед идсэн,Лангуун дээрх амттанаас завсарлагаар төлөвлөөгүй авч идсэн,true,Олон удаа,true,,false,false,false,false,5,Ойр байсан хоолонд татагдсан тохиолдол олон байсан,true
P02,10,SE05,Төлөвлөгөөнөөс зөрсний дараа дараагийн удаа буцаад дагаж чадна гэдэгтээ хэр итгэсэн,Орой төлөвлөөгүй хоол идсэн ч маргааш өглөө төлөвлөгөөндөө орсон,true,Дунд зэрэг итгэлтэй,false,дараагийн боломж,false,false,true,true,3,Төлөвлөгөөнөөс зөрсөн бодит тохиолдолгүй хүнд тохирох сонголт алга,true
P02,11,RR03,Төлөвлөгөөг яг мөрдөөгүй бол бүтэн өдрийг бүтэлгүйд тооцсон,Өдрийн хоол өөр болсноос болж тэр өдөр төлөвлөгөө нурсан гэж бодсон,true,Заримдаа,true,яг дагаагүй,false,true,true,false,4,Хатуу үнэлгээтэй үг боловч тохиолдлын давтамжийг сонгож чадна,true
P02,12,UC06,Идэж байхдаа азнаад цааш идэх үү гэдгээ бодож чадсан,Хоолны дундуур халбагаа тавиад цадсан эсэхээ бодсон,true,Ховор,true,,false,false,true,false,4,Ээлжийн завсарлага богино үед түр зогсдог тохиолдол цөөн байсан,true
P02,13,HS03,Маш их сульдсан хойноо л өлссөнөө мэдсэн,Завгүй ээлж дуусах үед гар салганасны дараа хоол идээгүйгээ анзаарсан,true,Заримдаа,true,бие их сульдсаны дараа л,false,false,false,false,4,Завгүй ажлын өдрүүдийн тодорхой тохиолдлоор хариулсан,true
P02,14,SE04,Хоол ойр байсан ч идэх эсэхээ бодоод сонгож чадна гэдэгтээ хэр итгэсэн,Ажлын ширээн дээр амттан байхад авахгүй өнгөрөхөөр шийдсэн,true,Бага зэрэг итгэлтэй,true,,false,false,true,false,4,Ойр хоолны нөлөөнд амархан ордог тул итгэл бага гэж сонгосон,true
P03,1,HA02,Нэг үйлдлийн дараа идэх нь өөрөө үргэлжилдэг зуршил болсон.,Ажил дуусаад цай уусны дараа зууш идэж эхлээд үргэлжлүүлсэн.,true,Олон удаа,true,нэг үйлдэл,false,false,false,false,4,Давтагдсан өдрийн дарааллыг санаж ангилж чадна.,true
P03,2,UC04,Идэж байхдаа өөрийгөө зогсоож чадахгүй юм шиг санагдсан.,Оройн хоолны үеэр хангалттай идсэн ч идсээр байсан.,true,Заримдаа,true,өөрөө удирдаж чадахгүй,false,false,false,false,4,Мэдрэмжийг 14 хоногийн жишээгээр давтамжлан хариулж чадна.,true
P03,3,RR04,Төлөвлөөгүй юм идсэний дараа тэр өдрийн хооллолтоо хяналтгүй орхисон.,Төлөвлөөгүй амттан идээд үлдсэн өдөр хоолоо төлөвлөөгүй.,true,Заримдаа,true,хяналтгүй орхисон,true,false,false,false,3,Нэг үйл явдлын дараах өдрийг санаж болох ч хэллэг өргөн байна.,true
P03,4,SE02,Завтай биш үед өөрт тохирох хоол сонгож чадна гэдэгтээ хэр итгэлтэй байснаа асууж байна.,Уулзалттай өдөр ойролцоох газраас тохирох хоол сонгосон.,true,Дунд зэрэг итгэлтэй,true,өөрт тохирох,false,false,false,false,4,Сүүлийн 14 хоногийн завгүй өдрүүдээр итгэлээ үнэлж чадна.,true
P03,5,IM02,Олон юм бэлтгэх шаардлагатай болохоор төлөвлөгөөгөө хойшлуулсан.,Хоол бэлтгэх олон алхамтай санагдаад дараа болгоно гэж шийдсэн.,true,Олон удаа,true,төлөвлөгөө,false,false,false,false,4,Бэлтгэлийн ачааллаас болсон хойшлуулалтыг давтамжаар хариулж чадна.,true
P03,6,EE03,Уйдахдаа өөр зүйл хийхийн оронд идэж эхэлсэн.,Гэрээс ажиллах завсар уйдаад бичлэг үзэхийн оронд зууш авсан.,true,Заримдаа,true,хийх зүйл хайх,false,false,false,false,5,Уйдсан үеийн тодорхой үйлдлийг санаж ангилж чадна.,true
P03,7,BI03,Биеийн төрхөөсөө болоод өмсмөөр байсан хувцсаа сонгоогүй.,Гадуур гарахдаа хүссэн бариу цамцаа өмсөөгүй.,true,Олон удаа,true,,false,true,false,false,5,Сонгосонгүй гэсэн үйлдэл тодорхой бөгөөд 14 хоногийн жишээ бий.,true
