persona_code,block_order,item_key,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only
P11,1,EC01,Өлсөөгүй ч хоол харахаар идмээр санагдсан.,"Айлаар ороход боов хараад идмээр болсон.",true,Ховор,true,,false,false,false,false,3,Хоол хараад төрсөн хүслийг 14 хоногт санаж хариулж чадна.,true
P11,2,BI01,Биеийнхээ төрхөд санаа зовоод зурагт орохоос зайлсхийсэн.,"Наадмын зураг авахад хажууд нь зогссон.",true,Ховор,true,биеийн төрх,false,true,true,false,3,Зураг авах тохиолдол цөөн тул ховор гэж сонгов.,true
P11,3,EC05,Хоол бодогдоод хийж байсан ажилдаа төвлөрч чадаагүй.,"Гэр цэвэрлэж байхдаа хоол бодоод ажил тасалдсан.",true,Ховор,true,анхаарал сарниулсан,false,false,false,false,3,Ажлын үеийн бодлоо санаж хариулж болно.,true
P11,4,EE04,Ганцаардахад идэх хүсэл ихэссэн.,"Хүүхдүүд унтсаны дараа ганцаараа суухад идмээр санагдсан.",true,Огт байгаагүй,true,ганцаардсан мэдрэмж,false,false,false,false,2,Ганцаардалтай идэх хүслээ холбож санахад тодорхой биш байна.,true
P11,5,IM05,Нэг удаа алгассан ч дараа нь дахин үргэлжлүүлсэн.,"Төлөвлөсөн хоолоо нэг өдөр бариагүй ч маргааш нь дахин хийсэн.",false,not_applicable,false,алгассан,false,false,true,true,4,Өмнө нь жин хасах оролдлого хийгээгүй тул үргэлжлүүлэх зүйлгүй.,true
P11,6,SE05,Төлөвлөгөөнөөс өөр идсэний дараа дахин үргэлжлүүлж чадна гэж хэр итгэсэн бэ?,"Төлөвлөөгүй боов идсэний дараа маргааш нь хоолоо өөрчлөх талаар бодсон.",false,not_applicable,false,дараагийн боломж,false,false,true,true,4,Тодорхой хоолны төлөвлөгөө байхгүй тул итгэлээ үнэлэхгүй.,true
P11,7,BI02,Биеэ харахаар эвгүй санагдаад толиноос зайлсхийсэн.,"Өглөө хувцаслахдаа толь руу удаан хараагүй.",true,Ховор,true,эвгүй,false,true,true,false,3,Эвгүй гэсэн үг нь ерөнхий боловч толинд харахаас зайлсхийснээ санаж болно.,true
P11,8,EE01,Стресстээд өлсөөгүй ч юм идсэн.,"Малын ажил ихсэхэд цайтай боов идсэн.",true,Ховор,true,стресстсэн,false,false,false,false,3,Стресс болон идсэнийг хамт санах шаардлагатай.,true
P11,9,RR02,Зарим хоолыг өөртөө огт идэхгүй гэж дүрэм болгосон.,"Чихэр огт идэхгүй гэж өөртөө хэлсэн.",true,Огт байгаагүй,true,бүрэн хориглох,false,false,true,false,4,Ийм дүрэм гаргаагүй гэж тодорхой хариулж байна.,true
P11,10,RR04,Төлөвлөснөөс өөр идсэний дараа тэр өдрөө хоолоо хянахаа больсон.,"Бууз идсэний дараа үлдсэн хоолоо тоохгүй идсэн.",false,not_applicable,false,хяналтгүй орхисон,true,true,true,true,3,Төлөвлөгөө болон үлдсэн өдрөө хянах хоёр санаа зэрэг орсон бөгөөд төлөвлөгөөгүй.,true
P11,11,HA06,Дахин давтагддаг үед идэхийнхээ өмнө юу идэхээ санаатай сонгосон.,"Орой цай уухдаа боовны оронд тараг сонгосон.",true,Заримдаа,false,давтагддаг нөхцөл,false,false,true,false,3,Давтагддаг нөхцөл гэдэг нь яг ямар үе болох нь ойлгомжгүй байна.,true
P11,12,HS01,Хэт их өлсөхөөсөө өмнө биеийнхээ дохиог анзаарсан.,"Өлсөж эхлэхэд гэдэс хонхолзож байгааг мэдэрсэн.",true,Заримдаа,false,биеийн дохио,false,false,true,false,3,Биеийн дохио нь яг ямар шинжийг хэлэх нь тодорхой биш байна.,true
P11,13,UC04,Идэж байхдаа өөрийгөө зогсоож удирдаж чадахгүй юм шиг санагдсан.,"Амттан идэж эхлээд зогсох хэцүү санагдсан.",true,Огт байгаагүй,true,үйлдлээ өөрөө удирдах,false,true,true,false,3,Хариулт нь ичгэвтэр санагдаж болох ч утга нь ойлгогдоно.,true
P11,14,HA02,Нэг юм хийсний дараа юм идэх нь өөрөө аяндаа үргэлжилдэг болсон.,"Цай чанасны дараа дандаа боов иддэг болсон.",true,Заримдаа,false,нэг үйлдлийн дараа,false,false,false,false,3,Ямар үйлдлийн дараа гэдэг нь тодорхойгүй ч жишээгээр бодож хариулж болно.,true
