persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
SPR-SP05,SP05,1,B018,Эхэндээ идэхээр бодсоноосоо илүү идсэн.,Орой ажил тараад нэг порц авсан ч идэж дуусаад дахин нэмээд идсэн.,true,Олон удаа,true,байхгүй,false,false,false,false,5,Хариултын сонголтууд давтамжийг ойлгомжтой ялгаж байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,2,B019,Завгүй өдөрт зориулж хоолны төлөвлөгөөнийхөө амархан хувилбарыг урьдчилж бэлдсэн.,Ажлын ачаалалтай өдөр идэхээр салат эсвэл бэлэн хоолоо өмнөх орой нь бэлдсэн.,true,Заримдаа,true,энгийн хувилбар,false,false,true,false,4,Урьдчилж бэлдэх үйлдэл тодорхой боловч энгийн гэдэг нь хүн бүрт өөр байж болно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,3,B032,Ядарсан үедээ төлөвлөгөөгөө бүрэн биш ч хэсэгчлэн дагаж чадна гэдэгтээ хэр итгэлтэй вэ?,Ажлын дараа ядарсан ч оройн хоолноосоо зөвхөн төлөвлөсөн хэмжээгээр идэж чадна гэж бодох.,true,Дунд зэрэг итгэлтэй,true,хэсэгчлэн хэрэгжүүлэх,false,false,true,false,4,Ядарсан үеийн төсөөлсөн нөхцөл болон итгэлийн түвшнийг сонгож болно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,4,B003,Таагүй мэдрэмж төрөхөд идэхгүйгээр тэр мэдрэмжээ хэсэг тэвчсэн.,Сэтгэл дундуур үедээ зууш авахын оронд хэдэн минут өөр зүйл хийж өнгөрөөсөн.,true,Ховор,true,таагүй мэдрэмж,false,false,true,false,4,Нэг үйл явдлын давтамжийг асууж байгаа ч таагүй мэдрэмжийн утга өргөн байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,5,B011,Хоолны дүрмээс жаахан зөрөхөд бүх зүйл талаар боллоо гэж санагдсан.,Төлөвлөөгүй амттан идсэний дараа өнөөдрийн хооллолт бүхэлдээ алдагдлаа гэж бодсон.,true,Олон удаа,true,хоолны дүрэм,false,false,false,false,5,Жижиг зөрчил гарсны дараах мэдрэмжийг давтамжаар хариулахад ойлгомжтой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,6,B042,Өдөр бүрийн нэг давтагддаг үйлдлийн дараа өөрөө ч анзааралгүй юм иддэг.,Компьютерийн өмнө ажлаа дуусгасны дараа шууд амттан авдаг.,true,Ихэнхдээ тохирно,true,бодолгүйгээр,false,false,false,false,5,Давтагддаг үйлдлийн дараах идэх үйлдлийг ерөнхий байдлаар үнэлэхэд тохиромжтой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,7,B021,Стресстэй өдөр хоолны төлөвлөгөөгөө дагаж чадна гэдэгтээ хэр итгэлтэй вэ?,Ажил дээр дарамттай өдөр байсан ч төлөвлөсөн оройн хоолоо идэж чадна гэж бодох.,true,Бага зэрэг итгэлтэй,true,стресстэй өдөр,false,false,true,false,5,Төсөөлсөн нөхцөлд итгэлийн түвшнийг сонгох сонголтууд тодорхой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,8,B038,Идэж байхдаа таатай цадсан үеэ анзаарсан.,Хоол идэж байхдаа хангалттай боллоо гэж мэдрээд зогссон.,true,Заримдаа,true,таатайгаар цадсан,false,false,true,false,4,Идэж байх үеийн мэдрэмжийг эргэн санаж давтамжаар хариулж болно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,9,B008,Төлөвлөснөөс өөр хооллосон ч дараагийн хоолондоо хэвийн байдлаар хооллосон.,Өдрийн хоолондоо төлөвлөөгүй зүйл идсэн ч оройн хоолондоо дахин төлөвлөгөөндөө орсон.,true,Ховор,true,хэвийн хооллолт,false,false,true,false,4,Дараагийн хоолонд юу хийснээ давтамжаар хариулахад ойлгомжтой боловч хэвийн гэдэг нь өргөн утгатай.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,10,B027,Хоолны үнэр үнэртээд идэхээр шийдсэн.,Кафены хоолны үнэр үнэртээд өлсөөгүй байсан ч юм идэхээр авсан.,true,Олон удаа,true,байхгүй,false,false,false,false,5,Үнэрийн дараа идэх шийдвэр гарсан эсэхийг давтамжаар хариулахад ойлгомжтой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SPR-SP05,SP05,11,B025,Зууш сонгохдоо үнэхээр идэх хүсэлтэй эсэхээ бодолгүй авсан.,Дэлгүүрийн кассан дээр шоколад хараад идмээр байгаа эсэхээ бодолгүй авсан.,true,Ихэнхдээ тохирно,true,идэх хүсэл,false,false,false,false,5,Зууш сонгох үеийн ердийн үйлдлийг сонголтуудаар тодорхой үнэлж болно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
