item_key,construct,facet,behavioral_context,intended_direction,reverse_coded,recall_period,response_scale,reading_level,sensitive,clinical_risk,copyright_source,original_or_adapted,status,rationale
EE01,emotional_eating,stress,Стресстэй мөч,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,low,None,original,candidate,"Стрессийн дараах идэх үйлдлийг нэг санаагаар асууна: Сүүлийн 14 хоногт стресстсэн үедээ өлсөөгүй байсан ч юм идсэн."
EE02,emotional_eating,sadness,Гунигтай мөч,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,low,None,original,candidate,"Сэтгэл гунигтай үед хоол идэх нь түр тайвшруулна гэж мэдэрсэн."
EE03,emotional_eating,boredom,Уйдсан мөч,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Уйдсан үедээ хийх зүйл хайхын оронд юм идэж эхэлсэн."
EE04,emotional_eating,loneliness,Ганцаардсан мөч,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,low,None,original,candidate,"Ганцаардсан мэдрэмж төрөхөд идэх хүсэл нэмэгдсэн."
EE05,emotional_eating,frustration,Уур бухимдал,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,low,None,original,candidate,"Уурлаж эсвэл бухимдсаны дараа хоол руу хандсан."
EE06,emotional_eating,affect_tolerance,Таагүй мэдрэмж,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,low,None,original,candidate,"Таагүй мэдрэмжээ хоол идэлгүй өнгөрөөж чадсан."
EC01,external_cue_reactivity,visual_cue,Хоол харагдах,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Өлсөөгүй байсан ч хоол хараад идэх хүсэл төрсөн."
EC02,external_cue_reactivity,smell_cue,Хоолны үнэр,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Хоолны үнэр анхаарлыг минь татаж идэхээр шийдэхэд нөлөөлсөн."
EC03,external_cue_reactivity,availability,Ойр бэлэн хоол,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Идэх зүйл ойрхон бэлэн байснаас төлөвлөөгүй үедээ идсэн."
EC04,external_cue_reactivity,digital_cue,Апп ба сурталчилгаа,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Хоолны апп эсвэл сурталчилгаа харсны дараа хоол бодогдсоор байсан."
EC05,external_cue_reactivity,preoccupation,Өдөр тутмын ажил,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,low,None,original,candidate,"Хоолны тухай бодол хийж байсан зүйлээс минь анхаарал сарниулсан."
EC06,external_cue_reactivity,disengagement,Хоолны дохионы дараа,barrier,true,Сүүлийн 14 хоног,0–4 frequency,Энгийн,false,low,None,original,candidate,"Хоол харсан эсвэл үнэртсэн ч анхаарлаа өөр зүйлд буцааж чадсан."
UC01,uncontrolled_eating,stopping,Идэж эхэлсний дараа,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Идэж эхэлсний дараа хүссэн үедээ зогсоох хэцүү байсан."
UC02,uncontrolled_eating,intended_amount,Ердийн хооллолт,barrier,false,Сүүлийн 14 хоног,0–4 frequency,Энгийн,true,moderate,None,original,candidate,"Анх бодсоноосоо илүү хэмжээгээр идсэн."
