"adjudicator_id","adjudicator_lens","item_key","expert_role_agreement","persona_interpretation_agreement","dominant_misunderstanding","response_scale_mismatch","recall_period_mismatch","social_desirability_concern","shame_concern","construct_overlap_concern","reverse_item_concern","proposed_disposition","revision_priority","candidate_revised_wording","unresolved_scientific_decision","observable_synthesis","synthetic_review_only"
"ADJ-P","psychometric","EE01","high","moderate","Some personas treated “stressed” as an undefined threshold rather than a specific state.","none","none","high","moderate","moderate","none","retain","low","","Human review must decide whether a brief stress anchor is needed.","21/24 expert roles retained the item; all 6 personas used the scale, while 4/6 marked “stressed” as ambiguous.","true"
"ADJ-P","psychometric","EE02","low","high","Temporary relief was read as an expected consequence of eating rather than eating desire or behavior.","none","none","high","moderate","high","none","major_rewrite","high","Сэтгэл гунигтай үедээ түр тайвшрахын тулд юм идсэн.","Human review must decide whether this facet targets eating behavior, urge, or perceived soothing.","Expert dispositions split 10 retain, 10 minor rewrite, and 4 major rewrite; all 6 personas paraphrased temporary soothing.","true"
"ADJ-P","psychometric","EE03","moderate","high","The comparison with finding another activity was read as behavioral substitution as well as boredom-linked eating.","none","none","moderate","low","high","none","minor_rewrite","medium","Уйдсан үедээ юм идэж эхэлсэн.","Human review must decide whether the intended facet requires the alternative-activity comparison.","13/24 expert roles retained and 10/24 requested minor rewrite; all 6 personas used the scale.","true"
"ADJ-P","psychometric","EE04","high","high","Loneliness was interpreted consistently, with minor variation in what intensity counts.","none","none","high","moderate","moderate","none","retain","low","","Human review must decide whether intensity anchoring is needed for loneliness.","All 24 expert roles retained the item; all 6 personas used the scale and none flagged multiple meanings.","true"
"ADJ-P","psychometric","EE05","moderate","moderate","“Turned to food” was read variably as eating, wanting food, or seeking food.","none","none","high","moderate","high","none","minor_rewrite","medium","Уурлаж эсвэл бухимдсаны дараа юм идсэн.","Human review must decide whether anger and frustration should remain combined.","16/24 expert roles requested minor rewrite; 4/6 personas marked “turned to food” as ambiguous.","true"
"ADJ-P","psychometric","EE06","low","moderate","Not eating during unpleasant feelings was read as emotion regulation, restraint, or self-control rather than emotional eating frequency.","none","none","high","moderate","high","high","major_rewrite","high","Таагүй мэдрэмж төрөхөд түүнийг намжаахын тулд хоол идээгүй.","Human review must decide whether affect tolerance belongs in this construct and whether a reverse item is necessary.","Expert dispositions spanned all categories except remove; all 6 personas saw an obvious desirable answer and 5/6 marked the affect wording ambiguous.","true"
"ADJ-P","psychometric","EC01","high","high","Visual cue reactivity was understood consistently, with occasional overlap with appetite.","none","none","low","none","moderate","none","retain","low","","Human review must decide whether non-hunger wording sufficiently separates appetite from cue reactivity.","All 24 expert roles retained the item; all 6 personas used the scale without ambiguity flags.","true"
"ADJ-P","psychometric","EC02","moderate","high","Attention capture and the decision to eat were treated as two stages of cue response.","none","none","none","none","moderate","none","minor_rewrite","medium","Хоолны үнэрээс болж идэх хүсэл төрсөн.","Human review must select attention, desire, or eating decision as the target response.","16/24 expert roles retained and 7/24 requested minor rewrite; all 6 personas used the scale.","true"
"ADJ-P","psychometric","EC03","high","high","Availability was sometimes interpreted as opportunity or convenience rather than cue reactivity.","none","none","moderate","none","high","none","retain","low","","Human review must decide whether availability is part of cue reactivity or a separate opportunity facet.","21/24 expert roles retained the item; all 6 personas used the scale and none flagged multiple meanings.","true"
"ADJ-P","psychometric","EC04","moderate","moderate","“Food app” and thoughts that “kept occurring” were interpreted inconsistently across access and persistence meanings.","moderate","low","low","none","moderate","none","minor_rewrite","medium","Хоол захиалгын апп эсвэл хоолны сурталчилгаа харсны дараа хоолны тухай бодол үргэлжилсэн.","Human review must decide whether app and advertising cues can share one item.","16/24 expert roles retained and 8/24 requested minor rewrite; only 3/6 personas found the options fully fitting and 2/6 flagged more than one thing.","true"
"ADJ-P","psychometric","EC05","moderate","high","Food preoccupation was read without a specific external cue and could reflect hunger, rumination, or emotion.","none","none","moderate","moderate","high","none","hold","high","Хоол харсан эсвэл үнэртсэний дараа хоолны тухай бодол хийж байсан зүйлээс минь анхаарал сарниулсан.","Human review must decide whether preoccupation without an external antecedent belongs in external cue reactivity.","15/24 expert roles retained, 6/24 requested minor rewrite, and 3/24 held the item; all 6 personas used the scale.","true"
"ADJ-P","psychometric","EC06","moderate","moderate","Redirecting attention was read as attentional control or self-regulation rather than low cue reactivity.","none","none","moderate","none","moderate","high","major_rewrite","high","Хоол харсан үед анхаарлаа өөр зүйлд буцааж чадсан.","Human review must decide whether attentional disengagement belongs in cue reactivity and whether cue modalities should be separated.","Expert dispositions included 13 retain, 8 minor rewrite, 2 major rewrite, and 1 hold; all 6 personas saw an obvious desirable answer.","true"
"ADJ-P","psychometric","UC01","high","high","“When I wanted” was interpreted as either intention to stop or an external opportunity to stop.","none","none","high","high","moderate","none","retain","low","","Human review must decide whether the stopping criterion needs a more concrete anchor.","22/24 expert roles retained the item; all 6 personas used the scale and 3/6 saw an obvious desirable answer.","true"
"ADJ-P","psychometric","UC02","moderate","moderate","Eating more than initially intended was read as planning error or hunger as well as loss of control.","none","none","high","high","high","none","minor_rewrite","medium","Идэж эхэлсний дараа анх бодсоноосоо илүү хэмжээгээр идсэн.","Human review must decide whether intended amount alone represents uncontrolled eating.","14/24 expert roles retained, 8/24 requested minor rewrite, and 2/24 requested major rewrite; all 6 personas used the scale.","true"
"ADJ-P","psychometric","UC03","high","high","Continuing after noticing fullness was interpreted consistently, with overlap with satiety-signal use.","none","none","high","high","high","none","retain","low","","Human review must decide whether overlap with hunger-satiety awareness is acceptable.","19/24 expert roles retained the item; all 6 personas used the scale without ambiguity flags.","true"
"ADJ-P","psychometric","UC04","moderate","high","“Unable to control myself” was read as a broad or diagnostic self-judgment rather than a specific stopping difficulty.","none","none","high","high","moderate","none","minor_rewrite","high","Идэж байхдаа хүссэн үедээ зогсооход хэцүү санагдсан.","Human review must decide whether the facet requires global subjective loss of control or a specific behavior.","15/24 expert roles retained and 9/24 requested rewrite; 4/6 personas flagged judgment or shame.","true"
"ADJ-P","psychometric","UC05","high","high","“A little” varied by person but the unplanned continuation sequence was understood consistently.","none","none","high","high","moderate","none","retain","low","","Human review must decide whether an amount anchor is needed for “a little.”","18/24 expert roles retained and 6/24 requested minor rewrite; all 6 personas used the scale.","true"
"ADJ-P","psychometric","UC06","moderate","high","Pausing and deciding whether to continue were read as mindful self-regulation as well as control capacity.","none","none","high","moderate","high","high","major_rewrite","high","Идэж байхдаа үргэлжлүүлэх эсэхээ бодохоор түр зогсож чадсан.","Human review must decide whether pause capacity is part of uncontrolled eating and whether both actions should remain.","Expert dispositions included 15 retain, 5 minor rewrite, 2 major rewrite, and 2 hold; 5/6 personas saw an obvious desirable answer.","true"
