interview_wave,participant_code,interview_mode,item_key,construct,facet,item_version,paraphrase_summary,recall_period_used,retrieval_strategy,judgment_process,selected_response,response_selection_reason,unclear_terms,double_barrel_observed,leading_or_shame_observed,cultural_fit_note,scale_fit_note,distress_action_code,interviewer_observation,proposed_action,suggested_rewrite,review_status
,,,EE01,emotional_eating,stress,V2-candidate,,,,,,,,,,,,,,,,
,,,EE02,emotional_eating,sadness,V2-candidate,,,,,,,,,,,,,,,,
,,,EE03,emotional_eating,boredom,V2-candidate,,,,,,,,,,,,,,,,
,,,EE04,emotional_eating,loneliness,V2-candidate,,,,,,,,,,,,,,,,
,,,EE05,emotional_eating,frustration,V2-candidate,,,,,,,,,,,,,,,,
,,,EE06,emotional_eating,affect_tolerance,V2-candidate,,,,,,,,,,,,,,,,
,,,EC01,external_cue_reactivity,visual_cue,V2-candidate,,,,,,,,,,,,,,,,
,,,EC02,external_cue_reactivity,smell_cue,V2-candidate,,,,,,,,,,,,,,,,
,,,EC03,external_cue_reactivity,availability,V2-candidate,,,,,,,,,,,,,,,,
,,,EC04,external_cue_reactivity,digital_cue,V2-candidate,,,,,,,,,,,,,,,,
,,,EC05,external_cue_reactivity,preoccupation,V2-candidate,,,,,,,,,,,,,,,,
,,,EC06,external_cue_reactivity,disengagement,V2-candidate,,,,,,,,,,,,,,,,
,,,UC01,uncontrolled_eating,stopping,V2-candidate,,,,,,,,,,,,,,,,
,,,UC02,uncontrolled_eating,intended_amount,V2-candidate,,,,,,,,,,,,,,,,
,,,UC03,uncontrolled_eating,momentum,V2-candidate,,,,,,,,,,,,,,,,
,,,UC04,uncontrolled_eating,subjective_control,V2-candidate,,,,,,,,,,,,,,,,
,,,UC05,uncontrolled_eating,unplanned_continuation,V2-candidate,,,,,,,,,,,,,,,,
,,,UC06,uncontrolled_eating,pause_capacity,V2-candidate,,,,,,,,,,,,,,,,
,,,RR01,restrictive_rebound,rigid_rules,V2-candidate,,,,,,,,,,,,,,,,
,,,RR02,restrictive_rebound,prohibition,V2-candidate,,,,,,,,,,,,,,,,
,,,RR03,restrictive_rebound,dichotomous_evaluation,V2-candidate,,,,,,,,,,,,,,,,
,,,RR04,restrictive_rebound,rebound,V2-candidate,,,,,,,,,,,,,,,,
,,,RR05,restrictive_rebound,tightening,V2-candidate,,,,,,,,,,,,,,,,
,,,RR06,restrictive_rebound,flexible_return,V2-candidate,,,,,,,,,,,,,,,,
,,,HS01,hunger_satiety_awareness,early_hunger,V2-candidate,,,,,,,,,,,,,,,,
,,,HS02,hunger_satiety_awareness,hunger_discrimination,V2-candidate,,,,,,,,,,,,,,,,
,,,HS03,hunger_satiety_awareness,late_hunger,V2-candidate,,,,,,,,,,,,,,,,
,,,HS04,hunger_satiety_awareness,comfortable_fullness,V2-candidate,,,,,,,,,,,,,,,,
,,,HS05,hunger_satiety_awareness,satiety_clarity,V2-candidate,,,,,,,,,,,,,,,,
,,,HS06,hunger_satiety_awareness,signal_use,V2-candidate,,,,,,,,,,,,,,,,
,,,SE01,eating_self_efficacy,stress,V2-candidate,,,,,,,,,,,,,,,,
,,,SE02,eating_self_efficacy,time_pressure,V2-candidate,,,,,,,,,,,,,,,,
,,,SE03,eating_self_efficacy,social,V2-candidate,,,,,,,,,,,,,,,,
,,,SE04,eating_self_efficacy,cues,V2-candidate,,,,,,,,,,,,,,,,
,,,SE05,eating_self_efficacy,recovery,V2-candidate,,,,,,,,,,,,,,,,
,,,SE06,eating_self_efficacy,fatigue,V2-candidate,,,,,,,,,,,,,,,,
,,,HA01,habit_automaticity,automatic_start,V2-candidate,,,,,,,,,,,,,,,,
,,,HA02,habit_automaticity,sequence,V2-candidate,,,,,,,,,,,,,,,,
,,,HA03,habit_automaticity,awareness_lag,V2-candidate,,,,,,,,,,,,,,,,
,,,HA04,habit_automaticity,context_trigger,V2-candidate,,,,,,,,,,,,,,,,
,,,HA05,habit_automaticity,low_deliberation,V2-candidate,,,,,,,,,,,,,,,,
,,,HA06,habit_automaticity,deliberate_choice,V2-candidate,,,,,,,,,,,,,,,,
,,,BI01,body_image_avoidance,photographs,V2-candidate,,,,,,,,,,,,,,,,
,,,BI02,body_image_avoidance,mirror,V2-candidate,,,,,,,,,,,,,,,,
,,,BI03,body_image_avoidance,clothing,V2-candidate,,,,,,,,,,,,,,,,
,,,BI04,body_image_avoidance,social_participation,V2-candidate,,,,,,,,,,,,,,,,
,,,BI05,body_image_avoidance,movement_participation,V2-candidate,,,,,,,,,,,,,,,,
,,,BI06,body_image_avoidance,participation_despite_discomfort,V2-candidate,,,,,,,,,,,,,,,,
,,,IM01,implementation_maintenance_friction,action_clarity,V2-candidate,,,,,,,,,,,,,,,,
,,,IM02,implementation_maintenance_friction,setup_burden,V2-candidate,,,,,,,,,,,,,,,,
,,,IM03,implementation_maintenance_friction,minimum_version,V2-candidate,,,,,,,,,,,,,,,,
,,,IM04,implementation_maintenance_friction,disruption,V2-candidate,,,,,,,,,,,,,,,,
,,,IM05,implementation_maintenance_friction,resumption,V2-candidate,,,,,,,,,,,,,,,,
,,,IM06,implementation_maintenance_friction,repeatability,V2-candidate,,,,,,,,,,,,,,,,
,,,AC01,response_quality,instructional_check,V2-candidate,,,,,,,,,,,,,,,,
,,,AC02,response_quality,semantic_consistency,V2-candidate,,,,,,,,,,,,,,,,
