adjudicator_id,adjudicator_lens,item_key,expert_role_agreement,persona_interpretation_agreement,persona_correct_paraphrase_count,persona_misinterpretation_count,dominant_misunderstanding,response_scale_mismatch,recall_period_mismatch,social_desirability_concern,shame_concern,construct_overlap_concern,reverse_item_concern,proposed_disposition,revision_priority,candidate_revised_wording,unresolved_scientific_decision,observable_synthesis,synthetic_review_only
ADJ-S,synthesis,EE01,high,moderate,6,0,Stress boundary differs across paraphrases,none,none,moderate,moderate,moderate,none,retain,none,,Whether stress needs a specified threshold,All six paraphrases preserved stress-linked eating without hunger; experts mainly retained the item,true
ADJ-S,synthesis,EE02,moderate,moderate,5,1,Temporary relief can be read as outcome rather than eating motive,low,low,moderate,moderate,moderate,none,minor_rewrite,medium,Гунигтай үед хоол идэхээр хэсэг зуур тайвширсан мэт санагдсан.,Whether relief or coping motive is intended,All personas linked sadness and eating but all marked temporary relief as unclear; expert dispositions split,true
ADJ-S,synthesis,EE03,moderate,high,6,0,Alternative activity phrase is variably broad,none,none,moderate,low,moderate,none,retain,none,,Whether behavioral substitution is part of the facet,All paraphrases preserved boredom-related eating; experts mostly retained with overlap noted,true
ADJ-S,synthesis,EE04,high,high,6,0,none,none,none,moderate,moderate,low,none,retain,none,,Whether loneliness wording needs contextual anchoring,All six personas gave a direct loneliness-to-appetite paraphrase and experts uniformly retained,true
ADJ-S,synthesis,EE05,moderate,moderate,5,1,Хоол руу хандсан can mean desire or eating,low,low,moderate,moderate,moderate,none,minor_rewrite,medium,Уурласан эсвэл бухимдсаны дараа юм идсэн.,Whether anger and frustration should remain combined,Four personas marked the action phrase ambiguous and experts favored minor rewrite,true
ADJ-S,synthesis,EE06,low,moderate,5,1,Таагүй мэдрэмж and successful coping are broad,low,low,high,moderate,high,high,major_rewrite,high,Таагүй мэдрэмж төрөхөд хоолоор тайвшрахгүй өнгөрөөж чадсан.,Whether this is affect tolerance or eating restraint,All personas identified a socially desirable positive response; expert dispositions were dispersed with reverse concern,true
ADJ-S,synthesis,EC01,high,high,6,0,none,none,none,low,low,moderate,none,retain,none,,Whether visual cue response should distinguish desire from eating,All persona paraphrases preserved the visual-cue appetite meaning and experts uniformly retained,true
ADJ-S,synthesis,EC02,moderate,high,6,0,Нөлөөлсөн is a broad causal link,low,low,low,low,moderate,none,minor_rewrite,low,Хоолны үнэрээс болж идэхээр шийдсэн.,Whether attention capture is required in addition to decision,Personas consistently linked smell to deciding to eat; several experts preferred a simpler causal phrase,true
ADJ-S,synthesis,EC03,high,high,6,0,Ойрхон бэлэн has slightly variable everyday wording,none,none,low,low,moderate,none,retain,none,,Whether unplanned eating is sufficiently defined,All personas retained availability and unplanned eating; expert disposition was strongly retain,true
ADJ-S,synthesis,EC04,moderate,moderate,4,2,App use and advertising are separate triggers,low,low,low,low,moderate,none,minor_rewrite,medium,Хоолны сурталчилгаа харсны дараа хоолны тухай бодол үргэлжилсэн.,Whether digital app exposure belongs in the same item as advertising,Three personas reported app non-applicability and two treated the item as double-triggered,true
