persona_run_id,persona_code,block_order,blinded_item_id,paraphrase_mn,example_situation_mn,recall_period_usable,selected_response,response_options_fit,ambiguous_word_or_phrase,asks_more_than_one_thing,judgmental_or_shaming,socially_desirable_answer_obvious,missing_not_applicable_option,response_confidence_1_5,observable_decision_summary,synthetic_review_only,status_label
"SPR-SP10","SP10",1,"B028","Хооллож байхдаа хэзээ болихоо шийдэж, тэр шийдвэрээ дагахад надад хэцүү байсан.","Оройн хоолны үеэр цадсанаа анзаарсан ч үргэлжлүүлэн идэх эсэхээ шийдэхэд төвөгтэй байх.",true,"Огт байгаагүй",true,"""удирдахад"" гэдэг нь шийдвэр гаргах уу, үйлдлээ зогсоох уу гэдгийг ялгахгүй байна",false,false,true,false,4,"“Огт байгаагүй” сонголтыг тэмдэглэв; 14 хоногийн хугацаа тодорхой, харин хүсэмжит хариултын чиглэл шууд харагдана.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
"SPR-SP10","SP10",2,"B008","Төлөвлөөгүй зүйл идсэн ч дараагийн хоолноосоо ердийн төлөвлөгөөндөө буцсан.","Өдрийн цайгаар төлөвлөөгүй амттан идээд оройн хоолоо урьдын төлөвлөгөөний дагуу идэх.",true,"Олон удаа",true,"""хэвийн хооллолт"" нь яг ямар хооллолтыг хэлж байгааг тодорхойлоогүй",false,false,true,false,4,"“Олон удаа” сонголтыг тэмдэглэв; үйл явдал ба дараагийн хоолны дараалал ойлгомжтой ч “хэвийн” гэсэн үг тодорхой бус.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
"SPR-SP10","SP10",3,"B031","Маш их өлсөхөөсөө өмнө өлсөж эхэлснээ мэдэрсэн.","Үдийн хоолноос өмнө ходоод хонхолзож эхлэхийг анзаараад өлсгөлөн хүчтэй болохоос өмнө хооллох.",true,"Олон удаа",true,"""хэт хүчтэй"" өлсөлтийн босго хүн бүрт өөр байж болно",false,false,true,false,4,"“Олон удаа” сонголтыг тэмдэглэв; хугацаа болон давтамжийн сонголтууд хэрэглэж болохоор, эерэг чиглэл нь ил байна.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
"SPR-SP10","SP10",4,"B037","Төлөвлөгөөнөөсөө өөр зүйл идсэн бол дараагийн хоолноосоо буцаад хэвийн горимдоо орж чадна гэдэгтээ хэр итгэлтэй байна вэ?","Зочны дайллагад төлөвлөөгүй хоол идсэний дараа дараагийн хоолоо төлөвлөсөн байдлаар иднэ гэж төсөөлөх.",true,"Их итгэлтэй",false,"""эргэн орж"" гэдэг нь ямар тодорхой төлөвлөгөө, үйлдэлд буцахыг заагаагүй",false,false,true,false,4,"“Их итгэлтэй” сонголтыг тэмдэглэв; төсөөлөх заавар ойлгомжтой боловч “тохиолдоогүй” сонголт нь төсөөлөн хариулах заавартай нийцэхгүй.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
"SPR-SP10","SP10",5,"B019","Ажил ихтэй үед дагахад амархан, хялбаршуулсан хоолны төлөвлөгөөгөө урьдчилан бэлдсэн.","Хурал олонтой өдрийн өмнө авч явах энгийн өдрийн хоол бэлдэх.",true,"Заримдаа",true,"""энгийн хувилбар"" гэж яг юуг өөрчлөхийг тодорхойлоогүй",false,false,true,false,4,"“Заримдаа” сонголтыг тэмдэглэв; 14 хоногийн хугацаа хэрэглэхэд хялбар ч бэлтгэсэн хувилбарын утга өргөн.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
"SPR-SP10","SP10",6,"B021","Дарамт ихтэй өдөр ч хоолны төлөвлөгөөгөө мөрдөж чадна гэдэгтээ хэр итгэлтэй байна вэ?","Ажил дээр яаралтай асуудал гарсан өдөр төлөвлөсөн хоолоо идэж чадна гэж төсөөлөх.",true,"Дунд зэрэг итгэлтэй",false,"""стресстэй өдөр"" болон дагах ""хоолны төлөвлөгөө""-ний хүрээ тодорхойгүй",false,false,true,false,4,"“Дунд зэрэг итгэлтэй” сонголтыг тэмдэглэв; төсөөлөх нөхцөл хэрэглэж болохоор боловч “тохиолдоогүй” сонголт заавартай нийцэхгүй.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
"SPR-SP10","SP10",7,"B033","Нэг танил газарт очихоороо сайн бодолгүйгээр идэх зүйл шууд авдаг.","Телевизийн өрөөнд орох бүрдээ ширээн дээрх зуушнаас өөрийн эрхгүй авах.",true,"Бага зэрэг тохирно",true,"""тодорхой газар"" болон ""бодолгүйгээр"" гэдэг нь олон янзаар ойлгогдоно",false,false,true,false,4,"“Бага зэрэг тохирно” сонголтыг тэмдэглэв; ерөнхий давтагддаг байдлыг үнэлэх сонголтууд тохирч байгаа ч хүсэмжит чиглэл ил.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
"SPR-SP10","SP10",8,"B005","Хоол нүдэнд өртөхөд анхаарлаа түүнээс салгаж, хийж байсан зүйлдээ төвлөрч чадсан.","Ажлын ширээн дээр амттан харагдсан ч дэлгэц дээрх ажилдаа дахин анхаарах.",true,"Олон удаа",true,"""буцааж"" гэдэг нь анхаарал өмнө нь юунд байсан тухай далд нөхцөл шаардана",false,false,true,false,4,"“Олон удаа” сонголтыг тэмдэглэв; 14 хоногийн хүрээ ойлгомжтой, хүсэмжит хариултын чиглэл шууд харагдана.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
"SPR-SP10","SP10",9,"B034","Байнга хийдэг нэг үйлдэл дуусахад араас нь юм идэх дадал автоматаар эхэлдэг.","Орой мэдээ үзэж дуусмагц өлссөн эсэхээ бодолгүй зууш авах.",true,"Бага зэрэг тохирно",true,"""тогтмол хийдэг нэг зүйл"" болон үйлдэл ""өөрөө эхэлдэг"" гэсэн хэллэг тодорхой бус",false,false,true,false,4,"“Бага зэрэг тохирно” сонголтыг тэмдэглэв; давтагддаг нөхцөлд зориулсан хариултууд тохирч байгаа ч хүсэмжит чиглэл ил.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
"SPR-SP10","SP10",10,"B007","Таагүй санагдсан үедээ хоол идэлгүй өөр аргаар тайвширсан.","Ажлын маргааны дараа зууш идэхийн оронд алхах эсвэл ойрын хүнтэйгээ ярилцах.",true,"Олон удаа",true,"""таагүй мэдрэмж"" болон ""өөр аргаар"" гэдэг нь маш өргөн хүрээтэй",false,false,true,false,4,"“Олон удаа” сонголтыг тэмдэглэв; 14 хоногийн хүрээ хэрэглэж болохоор ч хүсэмжит хариултын чиглэл ил байна.",true,"AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS"
