review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,1,B034,4,4,4,4,4,4,4,low,low,low,pass,Өгүүлбэр нь тогтмол үйлдлийн дараах автоматаар эхлэх идэлтийг шууд дүрсэлсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,2,B008,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Төлөвлөгөөнөөс өөр идсэний дараах дараагийн хоолны эргэн оролтыг нэг үйлдлээр асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,3,B039,4,4,4,4,4,4,4,low,low,moderate,pass,Ойрхон идэх зүйлтэй нөхцөлд сонголт хийх итгэлийг тодорхой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,4,B021,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Стресстэй өдрийн нөхцөл болон төлөвлөгөөг дагах итгэл тодорхой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,5,B026,4,3,3,4,4,4,4,moderate,low,moderate,revise,Тохирох сонголт гэсэн хэллэг нь оролцогч бүрт өөрөөр ойлгогдож болно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,6,B025,4,4,4,4,4,4,4,moderate,low,moderate,pass,Зууш сонгох үеийн бодолгүй үйлдлийг нэг тодорхой зан үйлээр илэрхийлсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,7,B002,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Гуниг ба идсэний дараах түр тайвшрах мэдрэмжийг хамтад нь тодорхойлсон.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,8,B004,4,4,4,4,4,4,4,moderate,low,moderate,pass,Үргэлжлүүлэх эсэхийг бодохын тулд түр зогсох чадварыг ажиглагдах үйлдлээр асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,9,B041,4,4,4,4,4,4,4,moderate,low,low,pass,Өлсгөлөнг анзаарсны дараах шийдвэрийн хүндрэл тодорхой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,10,B007,4,4,3,4,4,4,4,moderate,moderate,moderate,pass,Таагүй мэдрэмжийн үед идэхээс өөр тайвшрах аргыг асуусан боловч аргын төрөл өргөн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R2-B,R2,health_psychology,GPT-5.6,gpt-5.6-sol,boundary-v2-1,block_1,11,B014,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Уур эсвэл бухимдлын дараах идэлтийг энгийн цагийн дарааллаар асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
