review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,1,B019,4,4,4,4,4,4,4,low,low,low,pass,Энгийн хувилбарыг урьдчилж бэлдэх нэг үйлдлийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,2,B009,4,4,4,4,4,4,4,low,low,moderate,pass,Өмнөх хариулттай адил байх ёстой гэсэн мэдрэмжийг шууд асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,3,B034,4,4,4,4,3,4,4,low,low,low,pass,Давтагддаг үйлдлийн дараах автоматаар идэх эхлэлийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,4,B016,4,4,3,4,4,4,3,moderate,moderate,low,revise,Цадах дохио ба зогсоох шийдвэрийг нэг өгүүлбэрт хамтатгасан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,5,B037,4,4,4,4,4,4,3,low,moderate,moderate,revise,Төлөвлөгөөнд эргэн орох итгэлийг асуусан бөгөөд өөрийгөө үнэлэх дарамт үүсгэж болно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,6,B021,4,4,4,4,4,4,3,low,moderate,moderate,revise,Стресстэй өдөр төлөвлөгөө дагах итгэлийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,7,B007,4,4,3,4,4,4,3,moderate,moderate,moderate,revise,Таагүй мэдрэмж ба тайвшруулах аргыг хамтатган асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,8,B028,4,4,3,4,4,4,3,moderate,moderate,low,revise,Зогсоох болон үргэлжлүүлэх удирдлагыг нэгтгэн асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,9,B033,4,4,4,4,3,4,4,low,low,low,pass,Тодорхой газар дахь автоматаар идэх үйлдлийг тодорхой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,10,B017,4,4,4,4,4,4,3,low,high,moderate,revise,Бүтэлгүйтсэн гэсэн шүүлттэй үг нь ичгүүрийн эрсдэлтэй.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R7-B,R7,ethics_safety,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,11,B032,4,4,4,4,4,4,4,low,low,moderate,pass,Ядарсан үеийн хэсэгчилсэн хэрэгжилтийн итгэлийг асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
