review_run_id,role_id,role_name,model_family,model_variant,prompt_variant,block_id,item_order_index,blinded_item_id,intended_meaning_retention,clarity,single_construct_purity,response_scale_suitability,recall_period_suitability,mongolian_appropriateness,safety_acceptability,construct_overlap_risk,shame_judgment_risk,social_desirability_risk,suggested_gate,observable_rationale,synthetic_review_only,status_label
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,1,B013,4,4,4,4,4,4,4,low,low,low,pass,Өгүүлбэр нь идэж эхэлснээ хожуу анзаарах нэг үйл явдлыг тодорхой илэрхийлсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,2,B021,4,4,4,4,4,4,4,low,moderate,moderate,pass,Стресстэй өдөрт төлөвлөгөө дагах итгэлийг шууд асуусан бөгөөд сонголтууд итгэлийн хэмжээнд таарч байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,3,B037,4,4,4,4,4,4,4,low,moderate,moderate,pass,Төлөвлөгөөнөөс өөр идсэний дараах дараагийн хоол руу буцах итгэлийг нэг нөхцөлд асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,4,B020,4,4,4,4,4,4,4,low,low,low,pass,Олон бэлтгэл шаардсан шалтгаан болон хойшлуулсан үйлдэл ойлгомжтой холбоотой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,5,B016,4,4,3,4,4,4,4,moderate,low,low,pass,Цадсан дохиог анзаарах ба зогсоох шийдвэрийг нэг өгүүлбэрт холбосон ч утга нь ойлгомжтой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,6,B040,4,4,4,4,4,4,4,moderate,low,moderate,pass,Давтагддаг нөхцөлд идэхийн өмнөх бодож сонгох үйлдлийг энгийнээр илэрхийлсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,7,B027,4,4,4,4,4,4,4,moderate,low,low,pass,Хоолны үнэр болон идэх шийдвэрийн холбоог товч бөгөөд тодорхой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,8,B028,4,4,4,4,4,4,4,moderate,moderate,moderate,pass,Зогсоох эсвэл үргэлжлүүлэхийг удирдах хүндрэл нэг зан үйлийг тодорхой заасан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,9,B031,4,4,4,4,4,4,4,low,low,low,pass,Өлсөлт хүчтэй болохоос өмнө анзаарах хугацааг тодорхой илэрхийлсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,10,B026,4,4,4,4,4,4,4,low,low,moderate,pass,Зав багатай нөхцөлд тохирох сонголт хийх итгэлийг шууд асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,11,B009,4,3,3,4,4,4,4,moderate,low,low,pass,Өмнөх хариулттай адил сонгох ёстой мэт санагдсан эсэхийг асуусан ч өгүүлбэр урт байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_1,12,B019,4,4,4,4,4,4,4,moderate,low,moderate,pass,Завгүй өдөрт урьдчилж бэлдсэн энгийн хувилбар гэсэн үйлдэл тодорхой байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,1,B005,4,4,3,4,4,4,4,moderate,low,moderate,pass,Хоол харах дохионы дараах анхаарлаа шилжүүлэх үйлдлийг ойлгомжтой илэрхийлсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,2,B022,4,4,4,4,4,4,4,low,moderate,moderate,pass,Бусадтай хамт хооллох үед өөрийн сонголт хийх итгэлийг тодорхой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,3,B032,4,3,3,4,4,4,4,moderate,low,moderate,pass,Хэсэгчлэн хэрэгжүүлэх санаа тодорхой боловч бүрэн биш ч гэсэн хэллэг урт сонсогдоно.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,4,B035,4,4,4,4,4,4,4,moderate,low,moderate,pass,Завгүй болсон үед энгийн хоолны хувилбар ашиглах үйлдлийг шууд заасан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,5,B010,4,4,4,4,4,4,4,low,moderate,moderate,pass,Биеийн талаар тавгүй мэдрэмжтэй үед хүссэн үйл ажиллагаанд оролцохыг тодорхой асуусан.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,6,B025,4,4,4,4,4,4,4,moderate,low,low,pass,Зууш сонгох үед хүсэлээ бодоогүй үйлдлийг нэг утгаар илэрхийлсэн.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,7,B042,4,4,4,4,4,4,4,moderate,low,low,pass,Өдөр бүрийн дараалсан үйлдлийн дараа бодолгүй идэх хэвшлийг тодорхойлсон.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
SP-R5-B,R5,mongolian_language_culture,GPT-5.6,gpt-5.6-terra,boundary-v2-1,block_2,8,B033,4,3,4,4,4,3,4,moderate,low,low,revise,Тодорхой газар болоход гэсэн хэллэг нь байршилтай холбоог бүрэн тодорхой болгохгүй байна.,true,AI-REVISED CANDIDATE ITEM BANK ONLY | NOT HUMAN-REVIEWED | NOT PSYCHOMETRICALLY VALIDATED | NOT A CLINICAL OR PSYCHOLOGICAL DIAGNOSIS | NOT READY FOR PRODUCTION PSYCHOMETRIC CLAIMS
